Trial,Startframe,Eindframe,Starttijd (s),Eindtijd (s),Target,Duur (s)
1,578,741.0,4.515625,5.7890625,Tar1,1.2734375
2,1124,1238.0,8.78125,9.671875,Tar3,0.890625
3,1555,1685.0,12.1484375,13.1640625,Tar2,1.015625
4,2049,2177.0,16.0078125,17.0078125,Tar2,1.0
5,2517,2671.0,19.6640625,20.8671875,Tar1,1.203125
6,3019,3123.0,23.5859375,24.3984375,Tar3,0.8125
7,3447,3567.0,26.9296875,27.8671875,Tar3,0.9375
8,3895,4019.0,30.4296875,31.3984375,Tar2,0.96875
9,4306,4487.0,33.640625,35.0546875,Tar1,1.4140625
10,4832,4952.0,37.75,38.6875,Tar2,0.9375
11,5323,5425.0,41.5859375,42.3828125,Tar3,0.796875
12,5770,5910.0,45.078125,46.171875,Tar1,1.09375
13,6279,6423.0,49.0546875,50.1796875,Tar2,1.125
14,6751,6877.0,52.7421875,53.7265625,Tar1,0.984375
15,7111,7293.0,55.5546875,56.9765625,Tar3,1.421875
16,7644,7749.0,59.71875,60.5390625,Tar3,0.8203125
17,8025,8171.0,62.6953125,63.8359375,Tar1,1.140625
18,8502,8642.0,66.421875,67.515625,Tar2,1.09375
19,9050,9167.0,70.703125,71.6171875,Tar2,0.9140625
20,9521,9626.0,74.3828125,75.203125,Tar3,0.8203125
21,10001,10106.0,78.1328125,78.953125,Tar3,0.8203125
22,10411,10579.0,81.3359375,82.6484375,Tar1,1.3125
23,10899,11051.0,85.1484375,86.3359375,Tar1,1.1875
24,11408,11537.0,89.125,90.1328125,Tar2,1.0078125
25,11764,11958.0,91.90625,93.421875,Tar3,1.515625
26,12284,12414.0,95.96875,96.984375,Tar2,1.015625
27,12759,12857.0,99.6796875,100.4453125,Tar3,0.765625
28,13159,13307.0,102.8046875,103.9609375,Tar1,1.15625
29,13502,13689.0,105.484375,106.9453125,Tar2,1.4609375
30,13923,14095.0,108.7734375,110.1171875,Tar1,1.34375
