1745416921.940993  N:    0, t: 28099582, dt: 28099582, ENC_DEG: 60.43, REF:  0.00, VEL_RAW:  2.15, VEL_AVG:  0.18, I: -0.18, D: -0.18, VEL_OUT: -3.94, MS_MPC: 29583.15, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.52, gy:  0.31, gz:  0.92, OX:  0.02
1745416921.9472475 N:    1, t: 28118914, dt: 19332, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  3.41, VEL_AVG:  0.46, I: -0.64, D: -0.28, VEL_OUT: -8.76, MS_MPC: 29581.39, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.27, gy:  0.37, gz:  0.85, OX:  0.00
1745416921.9542282 N:    2, t: 28138061, dt: 19147, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.46, I: -1.11, D:  0.00, VEL_OUT: -6.85, MS_MPC: 29581.39, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.27, gy:  0.12, gz:  0.37, OX: -0.00
1745416921.95921   N:    3, t: 28158315, dt: 20254, ENC_DEG: 60.47, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.37, I: -1.48, D:  0.09, VEL_OUT: -5.78, MS_MPC: 29581.98, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.34, gy:  0.18, gz:  0.24, OX:  0.02
1745416922.061232  N:    4, t: 28179065, dt: 20750, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.37, I: -1.85, D:  0.00, VEL_OUT: -7.43, MS_MPC: 29581.98, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.27, gy: -0.24, gz: -0.24, OX: -0.01
1745416922.0684922 N:    5, t: 28199328, dt: 20263, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.37, I: -2.22, D:  0.00, VEL_OUT: -8.18, MS_MPC: 29581.98, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.21, gy: -0.49, gz: -0.49, OX: -0.01
1745416922.0744314 N:    6, t: 28218399, dt: 19071, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.28, I: -2.50, D:  0.10, VEL_OUT: -6.81, MS_MPC: 29582.57, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.27, gy: -0.31, gz: -0.43, OX:  0.00
1745416922.08241   N:    7, t: 28239751, dt: 21352, ENC_DEG: 60.40, REF:  0.00, VEL_RAW: -2.06, VEL_AVG:  0.11, I: -2.61, D:  0.17, VEL_OUT: -4.55, MS_MPC: 29583.74, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.27, gy: -0.18, gz: -0.43, OX:  0.02
1745416922.0873995 N:    9, t: 28278892, dt: 16160, ENC_DEG: 60.45, REF:  0.00, VEL_RAW:  5.44, VEL_AVG:  0.40, I: -3.06, D: -0.35, VEL_OUT: -13.57, MS_MPC: 29582.57, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.34, gy: -0.12, gz: -0.06, OX: -0.00
1745416922.093382  N:   10, t: 28298168, dt: 19276, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.49, I: -3.55, D: -0.10, VEL_OUT: -13.00, MS_MPC: 29581.98, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.27, gy: -0.06, gz: -0.12, OX:  0.00
1745416922.1200652 N:   11, t: 28319078, dt: 20910, ENC_DEG: 60.40, REF:  0.00, VEL_RAW: -3.15, VEL_AVG:  0.23, I: -3.79, D:  0.26, VEL_OUT: -7.26, MS_MPC: 29583.74, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.09, gy: -0.12, gz: -0.18, OX: -0.03
1745416922.1797762 N:   12, t: 28341600, dt: 22522, ENC_DEG: 60.45, REF:  0.00, VEL_RAW:  1.95, VEL_AVG:  0.21, I: -4.00, D:  0.02, VEL_OUT: -9.99, MS_MPC: 29582.57, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.03, gy:  0.24, gz: -0.18, OX: -0.02
1745416922.1862838 N:   13, t: 28358592, dt: 16992, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  1.29, VEL_AVG:  0.04, I: -4.04, D:  0.18, VEL_OUT: -6.70, MS_MPC: 29581.98, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.03, gy:  0.18, gz:  0.06, OX: -0.01
1745416922.192101  N:   14, t: 28379607, dt: 21015, ENC_DEG: 60.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -4.08, D:  0.00, VEL_OUT: -8.54, MS_MPC: 29581.98, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.09, gy:  0.18, gz: -0.06, OX: -0.00
1745416922.1979585 N:   15, t: 28400069, dt: 20462, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.22, I: -4.30, D: -0.18, VEL_OUT: -12.58, MS_MPC: 29581.39, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.15, gy:  0.12, gz:  0.24, OX:  0.02
1745416922.240073  N:   16, t: 28418803, dt: 18734, ENC_DEG: 60.45, REF:  0.00, VEL_RAW: -2.35, VEL_AVG:  0.02, I: -4.32, D:  0.20, VEL_OUT: -6.91, MS_MPC: 29582.57, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.03, gy: -0.31, gz: -0.24, OX:  0.02
1745416922.2456658 N:   17, t: 28443313, dt: 24510, ENC_DEG: 60.43, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.05, I: -4.37, D: -0.03, VEL_OUT: -9.55, MS_MPC: 29583.15, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.03, gy: -0.61, gz: -0.55, OX: -0.02
1745416922.2520616 N:   18, t: 28462550, dt: 19237, ENC_DEG: 60.43, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -4.42, D:  0.01, VEL_OUT: -9.20, MS_MPC: 29583.15, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.15, gy: -0.43, gz: -0.61, OX: -0.01
1745416922.2997537 N:   19, t: 28478193, dt: 15643, ENC_DEG: 60.49, REF:  0.00, VEL_RAW:  4.21, VEL_AVG:  0.57, I: -4.98, D: -0.52, VEL_OUT: -20.86, MS_MPC: 29581.39, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.21, gy: -0.43, gz: -0.85, OX: -0.03
1745416922.306279  N:   20, t: 28499624, dt: 21431, ENC_DEG: 60.40, REF:  0.00, VEL_RAW: -4.10, VEL_AVG:  0.38, I: -5.37, D:  0.18, VEL_OUT: -12.75, MS_MPC: 29583.74, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.15, gy: -0.43, gz: -0.73, OX: -0.00
