1745417320.2251065 N:    0, t: 42984408, dt: 42984408, ENC_DEG: 29.20, REF:  0.00, VEL_RAW:  0.68, VEL_AVG:  0.06, I: -0.06, D: -0.06, VEL_OUT: -1.25, MS_MPC: 26973.63, ax:  0.00, ay:  0.01, az:  0.99, gx:  1.16, gy:  1.22, gz:  0.73, OX: -0.06
1745417320.2303283 N:    1, t: 43006896, dt: 22488, ENC_DEG: 29.29, REF:  0.00, VEL_RAW:  3.91, VEL_AVG:  0.38, I: -0.44, D: -0.33, VEL_OUT: -7.96, MS_MPC: 26987.84, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.67, gy:  0.98, gz:  0.37, OX: -0.02
1745417320.2363167 N:    2, t: 43024216, dt: 17320, ENC_DEG: 29.25, REF:  0.00, VEL_RAW: -2.54, VEL_AVG:  0.17, I: -0.61, D:  0.21, VEL_OUT: -0.81, MS_MPC: 26980.74, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.31, gy:  0.92, gz:  0.12, OX: -0.07
1745417320.2422943 N:    3, t: 43050527, dt: 26311, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -0.84, VEL_AVG:  0.10, I: -0.71, D:  0.07, VEL_OUT: -1.74, MS_MPC: 26977.19, ax:  0.02, ay: -0.00, az:  0.99, gx: -0.67, gy:  0.73, gz:  0.31, OX: -0.01
1745417320.3429458 N:    4, t: 43064424, dt: 13897, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  1.58, VEL_AVG:  0.23, I: -0.94, D: -0.13, VEL_OUT: -5.54, MS_MPC: 26980.74, ax:  0.02, ay:  0.00, az:  0.99, gx: -1.28, gy:  0.31, gz:  0.43, OX:  0.08
1745417320.4040074 N:    5, t: 43086881, dt: 22457, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.23, I: -1.18, D:  0.00, VEL_OUT: -4.68, MS_MPC: 26980.74, ax:  0.02, ay:  0.01, az:  0.99, gx: -1.40, gy: -0.12, gz:  0.55, OX:  0.03
1745417320.408804  N:    6, t: 43105179, dt: 18298, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.13, I: -1.31, D:  0.10, VEL_OUT: -2.95, MS_MPC: 26977.19, ax:  0.01, ay:  0.01, az:  1.00, gx: -1.46, gy: -0.61, gz:  0.12, OX:  0.03
1745417320.4147875 N:    7, t: 43124402, dt: 19223, ENC_DEG: 29.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -1.44, D:  0.00, VEL_OUT: -4.22, MS_MPC: 26977.19, ax:  0.01, ay:  0.02, az:  1.00, gx: -1.16, gy: -0.79, gz: -0.06, OX:  0.05
1745417320.420771  N:    9, t: 43164302, dt: 14431, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -3.04, VEL_AVG:  0.02, I: -1.74, D:  0.25, VEL_OUT: -1.18, MS_MPC: 26977.19, ax:  0.01, ay:  0.02, az:  0.99, gx:  0.55, gy: -1.40, gz: -1.28, OX: -0.06
1745417320.4261308 N:   12, t: 43226709, dt: 21613, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.05, I: -1.84, D: -0.03, VEL_OUT: -4.47, MS_MPC: 26980.74, ax:  0.01, ay: -0.00, az:  1.00, gx:  1.95, gy: -1.83, gz: -1.89, OX: -0.04
1745417320.4642293 N:   13, t: 43244409, dt: 17700, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  1.24, VEL_AVG: -0.17, I: -2.01, D: -0.12, VEL_OUT: -6.93, MS_MPC: 26984.29, ax:  0.01, ay: -0.01, az:  1.00, gx:  1.65, gy: -1.83, gz: -1.71, OX: -0.11
1745417320.4707344 N:   14, t: 43269127, dt: 24718, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -2.05, D:  0.13, VEL_OUT: -3.20, MS_MPC: 26984.29, ax:  0.01, ay: -0.02, az:  1.01, gx:  1.22, gy: -1.34, gz: -1.34, OX: -0.08
1745417320.519525  N:   15, t: 43285786, dt: 16659, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -2.16, D: -0.07, VEL_OUT: -6.12, MS_MPC: 26984.29, ax:  0.02, ay: -0.02, az:  1.01, gx:  0.43, gy: -1.16, gz: -0.67, OX: -0.01
1745417320.525506  N:   16, t: 43304598, dt: 18812, ENC_DEG: 29.29, REF:  0.00, VEL_RAW:  1.17, VEL_AVG:  0.08, I: -2.24, D:  0.03, VEL_OUT: -4.88, MS_MPC: 26987.84, ax:  0.02, ay: -0.01, az:  1.01, gx: -0.37, gy: -1.28, gz: -0.06, OX:  0.04
1745417320.5314908 N:   17, t: 43325918, dt: 21320, ENC_DEG: 29.27, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.01, I: -2.25, D:  0.07, VEL_OUT: -3.95, MS_MPC: 26984.29, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.67, gy: -0.79, gz:  0.31, OX:  0.03
1745417320.5376754 N:   18, t: 43346403, dt: 20485, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -2.14, VEL_AVG: -0.09, I: -2.34, D: -0.08, VEL_OUT: -6.34, MS_MPC: 26977.19, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.79, gy: -0.49, gz:  0.49, OX:  0.02
1745417320.5843892 N:   19, t: 43364805, dt: 18402, ENC_DEG: 29.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -2.42, D:  0.00, VEL_OUT: -5.74, MS_MPC: 26977.19, ax:  0.01, ay: -0.00, az:  1.01, gx: -1.04, gy: -0.06, gz:  0.85, OX: -0.01
1745417320.5904715 N:   20, t: 43384038, dt: 19233, ENC_DEG: 29.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -2.66, D: -0.14, VEL_OUT: -9.08, MS_MPC: 26977.19, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.73, gy:  0.43, gz:  1.34, OX:  0.01
1745417320.6454086 N:   21, t: 43408952, dt: 24914, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  1.76, VEL_AVG:  0.17, I: -2.83, D:  0.06, VEL_OUT: -6.69, MS_MPC: 26984.29, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.79, gy:  0.49, gz:  1.34, OX:  0.06
1745417320.6513903 N:   22, t: 43425562, dt: 16610, ENC_DEG: 29.20, REF:  0.00, VEL_RAW: -3.97, VEL_AVG: -0.16, I: -2.99, D:  0.01, VEL_OUT: -7.55, MS_MPC: 26973.63, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.85, gy:  0.61, gz:  1.40, OX:  0.02
1745417320.6573749 N:   23, t: 43449149, dt: 23587, ENC_DEG: 29.33, REF:  0.00, VEL_RAW:  5.59, VEL_AVG:  0.30, I: -3.29, D: -0.14, VEL_OUT: -11.02, MS_MPC: 26994.94, ax: -0.00, ay:  0.00, az:  1.01, gx: -0.55, gy:  0.73, gz:  1.04, OX: -0.01
