1745417418.9258783 N:    0, t: 32190861, dt: 32190861, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  0.99, VEL_AVG:  0.08, I: -0.08, D: -0.08, VEL_OUT: -1.82, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.31, gz:  0.64, OX:  0.00
1745417418.9318414 N:    1, t: 32213254, dt: 22393, ENC_DEG: 31.82, REF:  0.00, VEL_RAW: -2.94, VEL_AVG: -0.16, I: -0.25, D: -0.08, VEL_OUT: -2.92, MS_MPC: 27383.89, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.24, gz:  0.58, OX: -0.01
1745417418.9378319 N:    2, t: 32231407, dt: 18153, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  2.42, VEL_AVG:  0.04, I: -0.28, D:  0.12, VEL_OUT:  0.28, MS_MPC: 27390.57, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.24, gz:  0.70, OX:  0.00
1745417418.9849796 N:    3, t: 32250767, dt: 19360, ENC_DEG: 31.91, REF:  0.00, VEL_RAW:  2.27, VEL_AVG:  0.23, I: -0.51, D: -0.19, VEL_OUT: -5.20, MS_MPC: 27397.23, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.00, gz:  0.03, OX: -0.00
1745417418.9912405 N:    4, t: 32271803, dt: 21036, ENC_DEG: 31.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.23, I: -0.74, D:  0.00, VEL_OUT: -3.76, MS_MPC: 27397.23, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.12, gz: -0.03, OX: -0.01
1745417419.0440462 N:    5, t: 32292014, dt: 20211, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -2.17, VEL_AVG:  0.05, I: -0.79, D:  0.18, VEL_OUT: -0.23, MS_MPC: 27390.57, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.00, gz:  0.15, OX:  0.01
1745417419.049787  N:    6, t: 32311210, dt: 19196, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.12, I: -0.91, D: -0.08, VEL_OUT: -3.80, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.43, gy:  0.12, gz:  0.09, OX: -0.00
1745417419.0556433 N:    7, t: 32334873, dt: 23663, ENC_DEG: 31.84, REF:  0.00, VEL_RAW: -2.36, VEL_AVG: -0.07, I: -0.98, D:  0.05, VEL_OUT: -2.22, MS_MPC: 27387.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.43, gy:  0.12, gz: -0.03, OX:  0.00
1745417419.1057956 N:    8, t: 32352878, dt: 18005, ENC_DEG: 31.93, REF:  0.00, VEL_RAW:  4.88, VEL_AVG:  0.33, I: -1.32, D: -0.26, VEL_OUT: -8.55, MS_MPC: 27400.56, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.31, gz: -0.03, OX: -0.02
1745417419.1622374 N:   10, t: 32390916, dt: 17921, ENC_DEG: 31.80, REF:  0.00, VEL_RAW: -3.68, VEL_AVG: -0.25, I: -1.62, D: -0.19, VEL_OUT: -7.59, MS_MPC: 27380.56, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.24, gz:  0.09, OX: -0.01
1745417419.1681757 N:   11, t: 32415195, dt: 24279, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  2.72, VEL_AVG: -0.02, I: -1.64, D:  0.23, VEL_OUT: -1.23, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.31, gz:  0.46, OX:  0.03
