1745420225.4593701 N:    0, t: 35712338, dt: 35712338, ENC_DEG: 31.44, REF:  0.00, VEL_RAW:  0.88, VEL_AVG:  0.07, I: -0.07, D: -0.07, VEL_OUT: -1.61, MS_MPC: 27326.89, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.12, gy: -0.95, gz: -0.18, OX:  0.06
1745420225.4653552 N:    1, t: 35731380, dt: 19042, ENC_DEG: 31.40, REF:  0.00, VEL_RAW: -2.31, VEL_AVG: -0.12, I: -0.19, D: -0.05, VEL_OUT: -2.03, MS_MPC: 27320.15, ax:  0.02, ay:  0.02, az:  0.99, gx:  0.37, gy: -1.13, gz: -0.31, OX: -0.01
1745420225.5192103 N:    2, t: 35753062, dt: 21682, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.01, VEL_AVG: -0.20, I: -0.40, D: -0.08, VEL_OUT: -3.67, MS_MPC: 27316.77, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.18, gy: -0.89, gz: -0.55, OX: -0.00
1745420225.5251951 N:    3, t: 35774107, dt: 21045, ENC_DEG: 31.44, REF:  0.00, VEL_RAW:  3.13, VEL_AVG:  0.06, I: -0.45, D:  0.15, VEL_OUT: -0.03, MS_MPC: 27326.89, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.43, gy: -0.58, gz: -0.85, OX: -0.02
1745420225.5311842 N:    4, t: 35792203, dt: 18096, ENC_DEG: 31.40, REF:  0.00, VEL_RAW: -2.43, VEL_AVG: -0.14, I: -0.60, D: -0.09, VEL_OUT: -3.51, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  1.00, gx:  0.37, gy: -0.21, gz: -0.73, OX:  0.01
1745420225.5371895 N:    5, t: 35815142, dt: 22939, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -1.91, VEL_AVG: -0.30, I: -0.90, D: -0.16, VEL_OUT: -6.44, MS_MPC: 27313.40, ax:  0.03, ay:  0.01, az:  1.00, gx:  0.37, gy: -0.03, gz: -0.49, OX:  0.00
1745420225.5790558 N:    6, t: 35832003, dt: 16861, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  1.31, VEL_AVG: -0.20, I: -1.10, D:  0.11, VEL_OUT: -3.06, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.34, gz: -0.37, OX: -0.04
1745420225.5850332 N:    7, t: 35851021, dt: 19018, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  2.31, VEL_AVG: -0.00, I: -1.10, D:  0.19, VEL_OUT: -0.30, MS_MPC: 27323.52, ax:  0.03, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.76, gz: -0.37, OX:  0.00
1745420225.6388917 N:    8, t: 35874967, dt: 23946, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.84, VEL_AVG: -0.16, I: -1.26, D: -0.15, VEL_OUT: -5.60, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.18, gy:  0.89, gz:  0.18, OX:  0.02
1745420225.6448736 N:    9, t: 35892957, dt: 17990, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  1.22, VEL_AVG: -0.05, I: -1.31, D:  0.10, VEL_OUT: -2.14, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.24, gy:  0.89, gz:  0.24, OX:  0.02
1745420225.650859  N:   10, t: 35911133, dt: 18176, ENC_DEG: 31.47, REF:  0.00, VEL_RAW:  3.63, VEL_AVG:  0.25, I: -1.56, D: -0.19, VEL_OUT: -7.54, MS_MPC: 27330.26, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.06, gy:  0.52, gz:  0.43, OX:  0.02
1745420225.6568415 N:   11, t: 35933092, dt: 21959, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -4.00, VEL_AVG: -0.09, I: -1.64, D:  0.16, VEL_OUT: -2.51, MS_MPC: 27316.77, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.31, gy:  0.34, gz:  0.12, OX:  0.00
1745420225.7537334 N:   12, t: 35952714, dt: 19622, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  1.12, VEL_AVG: -0.07, I: -1.71, D:  0.02, VEL_OUT: -3.87, MS_MPC: 27320.15, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.31, gy:  0.15, gz: -0.06, OX:  0.02
1745420225.7597182 N:   13, t: 35971724, dt: 19010, ENC_DEG: 31.33, REF:  0.00, VEL_RAW: -3.47, VEL_AVG: -0.16, I: -1.87, D: -0.10, VEL_OUT: -6.33, MS_MPC: 27310.02, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.55, gy: -0.09, gz: -0.18, OX:  0.00
1745420225.7657022 N:   14, t: 35990860, dt: 19136, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  3.44, VEL_AVG:  0.21, I: -2.08, D: -0.05, VEL_OUT: -6.73, MS_MPC: 27320.15, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.67, gy: -0.58, gz: -0.55, OX: -0.05
1745420225.7716851 N:   15, t: 36010879, dt: 20019, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.10, VEL_AVG: -0.14, I: -2.22, D:  0.07, VEL_OUT: -5.21, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.73, gy: -0.82, gz: -0.61, OX: -0.02
1745420225.7776709 N:   17, t: 36055539, dt: 23851, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.31, I: -2.68, D: -0.16, VEL_OUT: -10.02, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.37, gy: -1.07, gz: -0.67, OX: -0.02
1745420225.818585  N:   18, t: 36072741, dt: 17202, ENC_DEG: 31.44, REF:  0.00, VEL_RAW:  2.55, VEL_AVG:  0.41, I: -3.09, D: -0.10, VEL_OUT: -11.33, MS_MPC: 27326.89, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.12, gy: -1.13, gz: -0.49, OX:  0.01
1745420225.8255475 N:   19, t: 36091800, dt: 19059, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -3.46, VEL_AVG: -0.07, I: -3.16, D:  0.34, VEL_OUT: -3.60, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.06, gy: -1.01, gz: -0.55, OX:  0.01
1745420225.8793979 N:   20, t: 36111691, dt: 19891, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  2.21, VEL_AVG:  0.27, I: -3.43, D: -0.20, VEL_OUT: -11.50, MS_MPC: 27323.52, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.06, gy: -1.01, gz: -0.61, OX:  0.01
1745420225.8844166 N:   21, t: 36132024, dt: 20333, ENC_DEG: 31.40, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.08, I: -3.50, D:  0.19, VEL_OUT: -5.84, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.06, gy: -0.95, gz: -0.31, OX:  0.00
1745420225.890376  N:   22, t: 36151031, dt: 19007, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -3.73, D: -0.15, VEL_OUT: -11.24, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.18, gy: -0.82, gz: -0.12, OX:  0.00
1745420225.897351  N:   23, t: 36171056, dt: 20025, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -2.19, VEL_AVG: -0.08, I: -3.80, D:  0.15, VEL_OUT: -6.86, MS_MPC: 27313.40, ax:  0.03, ay:  0.01, az:  1.00, gx:  0.18, gy: -0.58, gz: -0.43, OX: -0.02
1745420225.9382722 N:   24, t: 36195128, dt: 24072, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  1.83, VEL_AVG: -0.02, I: -3.82, D:  0.06, VEL_OUT: -7.23, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.31, gy: -0.03, gz: -0.24, OX: -0.00
1745420225.9452207 N:   25, t: 36211258, dt: 16130, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.27, I: -4.09, D: -0.25, VEL_OUT: -13.44, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.31, gy:  0.03, gz: -0.31, OX: -0.00
1745420225.9990773 N:   26, t: 36231556, dt: 20298, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -4.11, D:  0.26, VEL_OUT: -5.81, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.31, gy:  0.09, gz: -0.18, OX:  0.00
1745420226.0050616 N:   27, t: 36251717, dt: 20161, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.17, I: -4.28, D: -0.15, VEL_OUT: -11.73, MS_MPC: 27323.52, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.37, gy:  0.09, gz: -0.18, OX:  0.01
1745420226.0110457 N:   28, t: 36271984, dt: 20267, ENC_DEG: 31.40, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.01, I: -4.29, D:  0.16, VEL_OUT: -7.14, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.31, gy:  0.27, gz:  0.00, OX: -0.00
1745420226.0170293 N:   29, t: 36291432, dt: 19448, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.11, I: -4.39, D: -0.09, VEL_OUT: -10.78, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.00, gy: -0.09, gz: -0.12, OX:  0.04
1745420226.0589187 N:   30, t: 36312528, dt: 21096, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.23, I: -4.62, D: -0.13, VEL_OUT: -12.83, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.00, gy: -0.15, gz:  0.06, OX: -0.01
1745420226.0649006 N:   31, t: 36333636, dt: 21108, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.03, I: -4.65, D:  0.20, VEL_OUT: -7.60, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.18, gy: -0.21, gz: -0.18, OX:  0.01
1745420226.118757  N:   32, t: 36353393, dt: 19757, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  1.11, VEL_AVG: -0.12, I: -4.78, D: -0.09, VEL_OUT: -11.68, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.06, gy: -0.52, gz: -0.37, OX:  0.00
1745420226.1247413 N:   33, t: 36373640, dt: 20247, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.12, I: -4.90, D: -0.00, VEL_OUT: -11.02, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.06, gy: -0.70, gz: -0.37, OX:  0.00
1745420226.1307266 N:   34, t: 36391736, dt: 18096, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.22, I: -5.12, D: -0.10, VEL_OUT: -13.49, MS_MPC: 27313.40, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.06, gy: -0.58, gz: -0.37, OX: -0.00
1745420226.137706  N:   35, t: 36415653, dt: 23917, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  0.92, VEL_AVG:  0.04, I: -5.16, D:  0.19, VEL_OUT: -8.80, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.12, gy: -0.70, gz: -0.43, OX:  0.00
1745420226.1795945 N:   36, t: 36432524, dt: 16871, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -5.27, D: -0.08, VEL_OUT: -12.51, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.24, gy: -0.64, gz: -0.31, OX:  0.01
1745420226.1846173 N:   37, t: 36452651, dt: 20127, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.07, I: -5.34, D:  0.05, VEL_OUT: -10.84, MS_MPC: 27323.52, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.18, gy: -0.70, gz: -0.31, OX:  0.02
1745420226.2388544 N:   38, t: 36471408, dt: 18757, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -5.41, D:  0.00, VEL_OUT: -11.47, MS_MPC: 27323.52, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.31, gy: -0.58, gz: -0.18, OX:  0.00
1745420226.244837  N:   39, t: 36492658, dt: 21250, ENC_DEG: 31.40, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.11, I: -5.52, D: -0.05, VEL_OUT: -12.60, MS_MPC: 27320.15, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.37, gy: -0.82, gz: -0.31, OX: -0.03
1745420226.2508214 N:   40, t: 36511402, dt: 18744, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.17, VEL_AVG: -0.12, I: -5.64, D: -0.01, VEL_OUT: -12.53, MS_MPC: 27316.77, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.37, gy: -0.82, gz: -0.31, OX:  0.00
1745420226.2578273 N:   41, t: 36530847, dt: 19445, ENC_DEG: 31.40, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.07, I: -5.70, D:  0.05, VEL_OUT: -11.62, MS_MPC: 27320.15, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.24, gy: -0.64, gz: -0.49, OX:  0.00
1745420226.2986953 N:   42, t: 36551500, dt: 20653, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.11, I: -5.81, D: -0.04, VEL_OUT: -13.03, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  1.00, gx:  0.18, gy: -0.34, gz: -0.31, OX: -0.02
1745420226.3046794 N:   43, t: 36571720, dt: 20220, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.16, I: -5.97, D: -0.06, VEL_OUT: -14.14, MS_MPC: 27323.52, ax:  0.03, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.21, gz: -0.43, OX:  0.01
1745420226.359532  N:   44, t: 36594970, dt: 23250, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -2.84, VEL_AVG: -0.17, I: -6.14, D: -0.00, VEL_OUT: -13.99, MS_MPC: 27313.40, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.24, gy: -0.27, gz: -0.24, OX: -0.00
1745420226.3645172 N:   45, t: 36612233, dt: 17263, ENC_DEG: 31.44, REF:  0.00, VEL_RAW:  5.09, VEL_AVG:  0.35, I: -6.49, D: -0.18, VEL_OUT: -18.27, MS_MPC: 27326.89, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.18, gy:  0.03, gz: -0.24, OX: -0.01
1745420226.3710563 N:   46, t: 36632457, dt: 20224, ENC_DEG: 31.40, REF:  0.00, VEL_RAW: -2.17, VEL_AVG:  0.27, I: -6.76, D:  0.08, VEL_OUT: -15.39, MS_MPC: 27320.15, ax:  0.03, ay:  0.02, az:  0.99, gx: -0.18, gy: -0.03, gz: -0.12, OX:  0.02
