1745420131.7378056 N:    0, t: 26744656, dt: 26744656, ENC_DEG:  4.53, REF:  0.00, VEL_RAW:  0.17, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.31, MS_MPC: 22024.77, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.43, gz: -0.18, OX:  0.02
1745420131.7437901 N:    1, t: 26769981, dt: 25325, ENC_DEG:  4.53, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -0.03, D:  0.00, VEL_OUT: -0.20, MS_MPC: 22024.77, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.43, gz:  0.18, OX:  0.09
1745420131.7507713 N:    2, t: 26788041, dt: 18060, ENC_DEG:  4.51, REF:  0.00, VEL_RAW: -1.22, VEL_AVG: -0.09, I: -0.12, D: -0.07, VEL_OUT: -1.84, MS_MPC: 22019.63, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.06, gz:  0.00, OX:  0.00
1745420131.7976546 N:    3, t: 26804816, dt: 16775, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  3.93, VEL_AVG:  0.24, I: -0.36, D: -0.15, VEL_OUT: -4.64, MS_MPC: 22035.04, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.55, gy:  0.06, gz:  0.18, OX: -0.01
1745420131.8564887 N:    4, t: 26824018, dt: 19202, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.34, I: -0.69, D: -0.10, VEL_OUT: -5.69, MS_MPC: 22040.17, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.79, gy:  0.00, gz:  0.06, OX: -0.03
1745420131.862471  N:    5, t: 26845442, dt: 21424, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.25, I: -0.94, D:  0.09, VEL_OUT: -3.53, MS_MPC: 22035.04, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.49, gy:  0.06, gz:  0.00, OX: -0.01
1745420131.8684561 N:    6, t: 26865037, dt: 19595, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.16, I: -1.10, D:  0.09, VEL_OUT: -2.83, MS_MPC: 22029.90, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.61, gy:  0.00, gz:  0.12, OX: -0.03
1745420131.8744388 N:    7, t: 26883756, dt: 18719, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -1.25, D:  0.00, VEL_OUT: -4.08, MS_MPC: 22029.90, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.24, gy:  0.31, gz:  0.12, OX: -0.01
1745420131.914334  N:    8, t: 26903812, dt: 20056, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.10, VEL_AVG:  0.07, I: -1.32, D:  0.09, VEL_OUT: -2.38, MS_MPC: 22024.77, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.18, gz:  0.18, OX:  0.01
1745420132.0933158 N:    9, t: 26923257, dt: 19445, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.16, I: -1.48, D: -0.09, VEL_OUT: -5.50, MS_MPC: 22029.90, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.49, gz:  0.24, OX:  0.01
1745420132.0993013 N:   10, t: 26943541, dt: 20284, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.25, I: -1.73, D: -0.09, VEL_OUT: -6.86, MS_MPC: 22035.04, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.43, gz:  0.18, OX:  0.02
