1746089229.5523007 N:    0, t: 37558643, dt: 37558643, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  0.45, VEL_AVG:  0.04, I: -0.04, D: -0.04, VEL_OUT: -0.82, MS_MPC: 24721.43, ax: -0.03, ay: -0.01, az:  0.98, gx: -5.80, gy:  6.53, gz:  9.34, OX:  0.43
1746089229.5594761 N:    1, t: 37578210, dt: 19567, ENC_DEG: 16.83, REF:  0.00, VEL_RAW: -2.25, VEL_AVG: -0.15, I: -0.19, D: -0.11, VEL_OUT: -2.99, MS_MPC: 24712.56, ax: -0.04, ay:  0.03, az:  0.97, gx: -5.07, gy:  7.20, gz:  7.93, OX:  0.31
1746089229.5644636 N:    2, t: 37599572, dt: 21362, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  1.03, VEL_AVG: -0.06, I: -0.25, D:  0.09, VEL_OUT: -0.29, MS_MPC: 24717.00, ax: -0.05, ay:  0.04, az:  0.97, gx: -2.99, gy:  6.96, gz:  5.80, OX:  0.06
1746089229.5711575 N:    3, t: 37619013, dt: 19441, ENC_DEG: 16.83, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.16, I: -0.41, D: -0.09, VEL_OUT: -3.34, MS_MPC: 24712.56, ax: -0.07, ay:  0.03, az:  0.96, gx: -1.83, gy:  6.29, gz:  1.22, OX: -0.12
1746089229.6128268 N:    4, t: 37643286, dt: 24273, ENC_DEG: 16.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -0.57, D:  0.00, VEL_OUT: -2.72, MS_MPC: 24712.56, ax: -0.04, ay:  0.03, az:  0.94, gx: -0.31, gy:  6.41, gz: -0.55, OX:  0.11
1746089229.6188102 N:    5, t: 37659426, dt: 16140, ENC_DEG: 16.79, REF:  0.00, VEL_RAW: -2.72, VEL_AVG: -0.39, I: -0.95, D: -0.23, VEL_OUT: -8.02, MS_MPC: 24703.68, ax: -0.01, ay:  0.04, az:  0.94, gx:  1.10, gy:  6.10, gz: -0.24, OX:  0.07
1746089229.6726677 N:    6, t: 37678909, dt: 19483, ENC_DEG: 16.83, REF:  0.00, VEL_RAW:  2.26, VEL_AVG: -0.20, I: -1.15, D:  0.19, VEL_OUT: -2.39, MS_MPC: 24712.56, ax:  0.01, ay:  0.05, az:  0.94, gx:  2.81, gy:  4.76, gz: -0.18, OX:  0.08
1746089229.678684  N:    7, t: 37699240, dt: 20331, ENC_DEG: 16.88, REF:  0.00, VEL_RAW:  2.16, VEL_AVG: -0.02, I: -1.17, D:  0.18, VEL_OUT: -0.70, MS_MPC: 24721.43, ax:  0.03, ay:  0.08, az:  0.94, gx:  5.37, gy:  0.92, gz: -1.16, OX:  0.35
1746089229.6846333 N:    8, t: 37718606, dt: 19366, ENC_DEG: 16.81, REF:  0.00, VEL_RAW: -3.40, VEL_AVG: -0.30, I: -1.47, D: -0.28, VEL_OUT: -8.78, MS_MPC: 24708.12, ax:  0.02, ay:  0.06, az:  0.99, gx:  6.16, gy: -1.46, gz: -4.82, OX: -0.28
1746089229.7343402 N:    9, t: 37741199, dt: 22593, ENC_DEG: 16.77, REF:  0.00, VEL_RAW: -1.94, VEL_AVG: -0.46, I: -1.93, D: -0.16, VEL_OUT: -10.11, MS_MPC: 24699.23, ax:  0.02, ay:  0.00, az:  0.99, gx:  5.98, gy: -3.30, gz: -4.94, OX: -0.22
1746089229.7403233 N:   10, t: 37758652, dt: 17453, ENC_DEG: 16.74, REF:  0.00, VEL_RAW: -1.26, VEL_AVG: -0.57, I: -2.50, D: -0.10, VEL_OUT: -11.72, MS_MPC: 24694.79, ax:  0.04, ay:  0.03, az:  1.03, gx:  5.00, gy: -3.54, gz: -4.94, OX:  0.04
1746089229.7463124 N:   11, t: 37784009, dt: 25357, ENC_DEG: 16.72, REF:  0.00, VEL_RAW: -0.87, VEL_AVG: -0.64, I: -3.14, D: -0.07, VEL_OUT: -13.40, MS_MPC: 24690.34, ax:  0.06, ay:  0.04, az:  0.98, gx:  4.39, gy: -4.52, gz: -4.88, OX:  0.08
1746089229.7927563 N:   12, t: 37799698, dt: 15689, ENC_DEG: 16.74, REF:  0.00, VEL_RAW:  1.40, VEL_AVG: -0.56, I: -3.70, D:  0.08, VEL_OUT: -12.21, MS_MPC: 24694.79, ax:  0.07, ay:  0.07, az:  0.98, gx:  5.19, gy: -8.12, gz: -8.54, OX: -0.04
1746089229.798735  N:   13, t: 37819200, dt: 19502, ENC_DEG: 16.81, REF:  0.00, VEL_RAW:  3.38, VEL_AVG: -0.09, I: -3.79, D:  0.47, VEL_OUT: -3.81, MS_MPC: 24708.12, ax:  0.06, ay:  0.04, az:  1.00, gx:  5.00, gy: -11.35, gz: -12.45, OX: -0.42
1746089229.8046923 N:   14, t: 37838646, dt: 19446, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.01, I: -3.80, D:  0.08, VEL_OUT: -6.90, MS_MPC: 24717.00, ax:  0.03, ay:  0.02, az:  1.03, gx:  3.60, gy: -13.49, gz: -15.75, OX: -0.20
1746089229.852358  N:   15, t: 37858378, dt: 19732, ENC_DEG: 16.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -3.91, D: -0.09, VEL_OUT: -9.80, MS_MPC: 24717.00, ax:  0.02, ay: -0.01, az:  1.03, gx:  1.71, gy: -11.41, gz: -15.87, OX: -0.08
1746089229.8593392 N:   16, t: 37879010, dt: 20632, ENC_DEG: 16.94, REF:  0.00, VEL_RAW:  4.26, VEL_AVG:  0.46, I: -4.37, D: -0.35, VEL_OUT: -16.88, MS_MPC: 24734.74, ax:  0.04, ay: -0.00, az:  0.99, gx:  1.16, gy: -9.83, gz: -15.38, OX:  0.05
1746089229.864325  N:   17, t: 37898425, dt: 19415, ENC_DEG: 16.90, REF:  0.00, VEL_RAW: -2.26, VEL_AVG:  0.50, I: -4.86, D: -0.04, VEL_OUT: -15.09, MS_MPC: 24725.87, ax:  0.02, ay:  0.03, az:  0.98, gx:  3.30, gy: -12.51, gz: -18.07, OX:  0.25
1746089229.9140933 N:   18, t: 37918383, dt: 19958, ENC_DEG: 16.92, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.40, I: -5.27, D:  0.10, VEL_OUT: -13.59, MS_MPC: 24730.30, ax:  0.00, ay: -0.04, az:  1.00, gx:  4.64, gy: -12.57, gz: -20.94, OX: -0.63
1746089229.9200547 N:   19, t: 37940964, dt: 22581, ENC_DEG: 16.90, REF:  0.00, VEL_RAW: -0.97, VEL_AVG:  0.14, I: -5.41, D:  0.26, VEL_OUT: -9.61, MS_MPC: 24725.87, ax: -0.02, ay: -0.02, az:  1.02, gx:  3.48, gy: -10.68, gz: -15.56, OX:  0.63
1746089229.926029  N:   20, t: 37958259, dt: 17295, ENC_DEG: 16.92, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.53, I: -5.94, D: -0.39, VEL_OUT: -21.07, MS_MPC: 24730.30, ax: -0.02, ay: -0.04, az:  1.04, gx:  3.17, gy: -8.85, gz: -14.59, OX: -0.00
1746089229.9736176 N:   21, t: 37978770, dt: 20511, ENC_DEG: 16.90, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.60, I: -6.54, D: -0.07, VEL_OUT: -19.84, MS_MPC: 24725.87, ax: -0.00, ay: -0.08, az:  1.03, gx:  2.32, gy: -5.55, gz: -10.56, OX: -0.23
1746089229.9794304 N:   22, t: 37998649, dt: 19879, ENC_DEG: 16.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.71, I: -7.25, D: -0.10, VEL_OUT: -22.63, MS_MPC: 24725.87, ax:  0.02, ay: -0.07, az:  1.03, gx:  1.40, gy: -3.30, gz: -2.75, OX:  0.07
