1746089489.7760477 N:    0, t: 25544092, dt: 25544092, ENC_DEG: 42.91, REF:  0.00, VEL_RAW:  1.68, VEL_AVG:  0.14, I: -0.14, D: -0.14, VEL_OUT: -3.08, MS_MPC: 28803.49, ax:  0.02, ay: -0.05, az:  0.99, gx: -0.18, gy: -0.98, gz: -1.71, OX: -0.07
1746089489.782032  N:    1, t: 25563634, dt: 19542, ENC_DEG: 42.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -0.28, D:  0.00, VEL_OUT: -1.96, MS_MPC: 28803.49, ax:  0.02, ay: -0.05, az:  0.99, gx: -0.61, gy: -1.83, gz: -1.89, OX: -0.01
1746089489.7880306 N:    2, t: 25582806, dt: 19172, ENC_DEG: 42.83, REF:  0.00, VEL_RAW: -4.58, VEL_AVG: -0.24, I: -0.52, D: -0.10, VEL_OUT: -4.48, MS_MPC: 28794.54, ax:  0.02, ay: -0.06, az:  1.00, gx: -0.79, gy: -2.38, gz: -2.32, OX: -0.06
1746089489.7939067 N:    3, t: 25603122, dt: 20316, ENC_DEG: 42.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -0.76, D:  0.00, VEL_OUT: -3.95, MS_MPC: 28794.54, ax:  0.01, ay: -0.06, az:  1.00, gx: -0.92, gy: -1.95, gz: -1.40, OX:  0.06
1746089489.8359792 N:    4, t: 25623660, dt: 20538, ENC_DEG: 42.76, REF:  0.00, VEL_RAW: -3.21, VEL_AVG: -0.51, I: -1.27, D: -0.27, VEL_OUT: -10.32, MS_MPC: 28787.81, ax: -0.00, ay: -0.05, az:  1.00, gx: -0.79, gy: -1.16, gz: -0.18, OX:  0.11
1746089489.8415117 N:    5, t: 25643350, dt: 19690, ENC_DEG: 42.74, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.60, I: -1.88, D: -0.09, VEL_OUT: -10.71, MS_MPC: 28785.56, ax:  0.01, ay: -0.04, az:  0.99, gx: -0.31, gy: -0.61, gz:  0.24, OX:  0.06
1746089489.8485723 N:    6, t: 25662786, dt: 19436, ENC_DEG: 42.74, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.60, I: -2.48, D:  0.00, VEL_OUT: -10.98, MS_MPC: 28785.56, ax:  0.01, ay: -0.04, az:  0.99, gx:  0.37, gy: -1.16, gz: -0.06, OX:  0.03
1746089489.895532  N:    7, t: 25688292, dt: 25506, ENC_DEG: 42.76, REF:  0.00, VEL_RAW:  0.86, VEL_AVG: -0.53, I: -3.01, D:  0.07, VEL_OUT: -10.61, MS_MPC: 28787.81, ax:  0.01, ay: -0.05, az:  1.01, gx:  1.10, gy: -2.50, gz: -0.79, OX: -0.02
1746089489.9504418 N:    8, t: 25705384, dt: 17092, ENC_DEG: 42.80, REF:  0.00, VEL_RAW:  2.57, VEL_AVG: -0.32, I: -3.33, D:  0.21, VEL_OUT: -7.67, MS_MPC: 28792.30, ax:  0.01, ay: -0.07, az:  1.03, gx:  1.28, gy: -2.62, gz: -0.49, OX: -0.17
1746089490.015241  N:    9, t: 25724448, dt: 19064, ENC_DEG: 42.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.32, I: -3.64, D:  0.00, VEL_OUT: -10.45, MS_MPC: 28792.30, ax:  0.01, ay: -0.07, az:  1.03, gx:  0.67, gy: -2.01, gz:  0.85, OX: -0.04
1746089490.0202277 N:   10, t: 25748055, dt: 23607, ENC_DEG: 42.83, REF:  0.00, VEL_RAW:  0.93, VEL_AVG: -0.24, I: -3.88, D:  0.08, VEL_OUT: -9.37, MS_MPC: 28794.54, ax:  0.01, ay: -0.06, az:  1.01, gx: -0.24, gy: -0.98, gz:  4.21, OX:  0.16
1746089490.0262258 N:   11, t: 25763394, dt: 15339, ENC_DEG: 42.87, REF:  0.00, VEL_RAW:  2.86, VEL_AVG: -0.00, I: -3.88, D:  0.24, VEL_OUT: -5.38, MS_MPC: 28799.02, ax:  0.01, ay: -0.05, az:  1.00, gx: -0.61, gy: -1.16, gz:  5.43, OX:  0.22
1746089490.0323894 N:   12, t: 25782782, dt: 19388, ENC_DEG: 42.83, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.33, I: -4.21, D: -0.33, VEL_OUT: -15.00, MS_MPC: 28794.54, ax:  0.00, ay: -0.04, az:  1.00, gx: -0.85, gy: -1.46, gz:  5.68, OX:  0.06
1746089490.0754123 N:   16, t: 25866991, dt: 24207, ENC_DEG: 42.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.55, I: -5.34, D: -0.27, VEL_OUT: -18.83, MS_MPC: 28799.02, ax: -0.02, ay: -0.03, az:  1.01, gx: -0.37, gy: -1.34, gz:  2.81, OX:  0.01
1746089490.0820613 N:   17, t: 25883035, dt: 16044, ENC_DEG: 42.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.64, I: -5.98, D: -0.09, VEL_OUT: -19.30, MS_MPC: 28799.02, ax: -0.02, ay: -0.03, az:  1.01, gx: -0.24, gy: -1.28, gz:  2.20, OX: -0.06
