1746089638.4545476 N:    0, t: 29470190, dt: 29470190, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  0.97, VEL_AVG:  0.08, I: -0.08, D: -0.08, VEL_OUT: -1.79, MS_MPC: 26891.38, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.24, gz:  0.46, OX: -0.01
1746089638.4605358 N:    1, t: 29491778, dt: 21588, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -0.16, D:  0.00, VEL_OUT: -1.14, MS_MPC: 26891.38, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.49, gz:  0.46, OX: -0.02
1746089638.4665167 N:    2, t: 29510757, dt: 18979, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.02, I: -0.18, D:  0.07, VEL_OUT:  0.15, MS_MPC: 26887.78, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.49, gz:  0.52, OX: -0.01
1746089638.4715018 N:    3, t: 29533032, dt: 22275, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -0.99, VEL_AVG: -0.10, I: -0.28, D: -0.08, VEL_OUT: -2.35, MS_MPC: 26884.18, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.37, gz:  0.82, OX: -0.01
1746089638.5158873 N:    4, t: 29550254, dt: 17222, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  2.55, VEL_AVG:  0.12, I: -0.39, D: -0.02, VEL_OUT: -2.11, MS_MPC: 26891.38, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.37, gz:  0.58, OX:  0.01
1746089638.5228524 N:    5, t: 29610720, dt: 60466, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -0.36, VEL_AVG:  0.08, I: -0.48, D:  0.03, VEL_OUT: -1.50, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.61, gz:  0.46, OX:  0.00
1746089638.528821  N:    6, t: 29630224, dt: 19504, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  2.25, VEL_AVG:  0.27, I: -0.75, D: -0.19, VEL_OUT: -6.10, MS_MPC: 26894.98, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.55, gz: -0.09, OX: -0.00
1746089638.5348074 N:    7, t: 29652447, dt: 22223, ENC_DEG: 28.70, REF:  0.00, VEL_RAW: -0.99, VEL_AVG:  0.19, I: -0.94, D:  0.08, VEL_OUT: -2.95, MS_MPC: 26891.38, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.55, gz:  0.15, OX: -0.05
1746089638.5777235 N:    8, t: 29674625, dt: 22178, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -0.99, VEL_AVG:  0.11, I: -1.05, D:  0.08, VEL_OUT: -2.34, MS_MPC: 26887.78, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.61, gz:  0.40, OX: -0.01
1746089638.5837016 N:    9, t: 29692697, dt: 18072, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.31, I: -1.36, D: -0.20, VEL_OUT: -7.84, MS_MPC: 26894.98, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.37, gz:  0.46, OX:  0.00
1746089638.589658  N:   10, t: 29710020, dt: 17323, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.31, I: -1.67, D:  0.00, VEL_OUT: -6.43, MS_MPC: 26894.98, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.00, gy: -0.31, gz:  0.46, OX: -0.02
1746089638.639484  N:   11, t: 29733971, dt: 23951, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -1.83, VEL_AVG:  0.16, I: -1.82, D:  0.15, VEL_OUT: -3.69, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.06, gy: -0.37, gz:  0.40, OX:  0.00
1746089638.6444726 N:   12, t: 29751089, dt: 17118, ENC_DEG: 28.74, REF:  0.00, VEL_RAW:  3.85, VEL_AVG:  0.40, I: -2.22, D: -0.24, VEL_OUT: -10.81, MS_MPC: 26898.57, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.18, gy: -0.12, gz:  0.52, OX:  0.00
1746089638.650493  N:   13, t: 29770329, dt: 19240, ENC_DEG: 28.74, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.40, I: -2.62, D:  0.00, VEL_OUT: -9.21, MS_MPC: 26898.57, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.18, gz:  0.64, OX:  0.02
1746089638.6981668 N:   14, t: 29793748, dt: 23419, ENC_DEG: 28.63, REF:  0.00, VEL_RAW: -4.69, VEL_AVG:  0.10, I: -2.72, D:  0.29, VEL_OUT: -3.52, MS_MPC: 26880.58, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.18, gy: -0.24, gz:  0.64, OX:  0.01
