1746089779.6395202 N:    0, t: 35133268, dt: 35133268, ENC_DEG: 38.08, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.09, I: -0.09, D: -0.09, VEL_OUT: -1.99, MS_MPC: 28253.98, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.58, gy:  0.37, gz: -0.46, OX: -0.03
1746089779.645203  N:    1, t: 35153810, dt: 20542, ENC_DEG: 38.08, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -0.18, D:  0.00, VEL_OUT: -1.26, MS_MPC: 28253.98, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.40, gy: -0.43, gz:  1.92, OX:  0.01
1746089779.6521416 N:    2, t: 35172855, dt: 19045, ENC_DEG: 38.15, REF:  0.00, VEL_RAW:  3.46, VEL_AVG:  0.38, I: -0.56, D: -0.29, VEL_OUT: -7.79, MS_MPC: 28262.23, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.40, gy:  0.00, gz:  2.11, OX:  0.17
1746089779.6581242 N:    3, t: 35192143, dt: 19288, ENC_DEG: 38.10, REF:  0.00, VEL_RAW: -2.28, VEL_AVG:  0.19, I: -0.75, D:  0.19, VEL_OUT: -1.49, MS_MPC: 28256.73, ax:  0.01, ay:  0.03, az:  1.00, gx: -0.58, gy:  0.00, gz:  0.89, OX:  0.11
1746089779.6997578 N:    4, t: 35213434, dt: 21291, ENC_DEG: 38.12, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.27, I: -1.02, D: -0.09, VEL_OUT: -5.66, MS_MPC: 28259.49, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.27, gy: -0.06, gz: -1.07, OX: -0.21
1746089779.7059417 N:    5, t: 35231911, dt: 18477, ENC_DEG: 38.10, REF:  0.00, VEL_RAW: -1.19, VEL_AVG:  0.18, I: -1.20, D:  0.10, VEL_OUT: -3.16, MS_MPC: 28256.73, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.46, gy: -0.24, gz: -1.98, OX: -0.17
1746089779.7119703 N:    6, t: 35253449, dt: 21538, ENC_DEG: 38.08, REF:  0.00, VEL_RAW: -1.02, VEL_AVG:  0.09, I: -1.29, D:  0.09, VEL_OUT: -2.64, MS_MPC: 28253.98, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.58, gy:  0.12, gz: -1.25, OX: -0.05
1746089779.7592716 N:    7, t: 35274527, dt: 21078, ENC_DEG: 38.12, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.26, I: -1.55, D: -0.17, VEL_OUT: -7.49, MS_MPC: 28259.49, ax:  0.01, ay: -0.02, az:  0.99, gx:  0.40, gy:  0.61, gz:  0.58, OX:  0.00
1746089779.7651973 N:    8, t: 35291851, dt: 17324, ENC_DEG: 38.10, REF:  0.00, VEL_RAW: -1.27, VEL_AVG:  0.16, I: -1.71, D:  0.11, VEL_OUT: -3.96, MS_MPC: 28256.73, ax:  0.01, ay:  0.01, az:  0.98, gx:  0.03, gy:  1.10, gz:  2.66, OX:  0.24
1746089779.7713304 N:    9, t: 35314453, dt: 22602, ENC_DEG: 38.12, REF:  0.00, VEL_RAW:  0.97, VEL_AVG:  0.24, I: -1.95, D: -0.08, VEL_OUT: -7.11, MS_MPC: 28259.49, ax:  0.01, ay:  0.02, az:  0.99, gx: -0.03, gy:  0.61, gz:  2.04, OX:  0.05
1746089779.8191931 N:   10, t: 35333785, dt: 19332, ENC_DEG: 38.10, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.15, I: -2.10, D:  0.09, VEL_OUT: -4.70, MS_MPC: 28256.73, ax:  0.01, ay:  0.02, az:  1.01, gx:  0.15, gy: -0.67, gz:  0.40, OX:  0.02
