1746087204.5238113 N:    0, t: 79465903, dt: 79465903, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  0.24, VEL_AVG:  0.02, I: -0.02, D: -0.02, VEL_OUT: -0.44, MS_MPC: 25183.81, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.21, gy:  0.06, gz:  0.12, OX:  0.01
1746087204.5801802 N:    1, t: 79486213, dt: 20310, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.11, I: -0.13, D: -0.09, VEL_OUT: -2.27, MS_MPC: 25188.09, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.03, gy: -0.06, gz: -0.37, OX: -0.01
1746087204.5868213 N:    2, t: 79507687, dt: 21474, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.20, I: -0.33, D: -0.09, VEL_OUT: -3.46, MS_MPC: 25192.38, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.03, gy: -0.18, gz: -0.61, OX: -0.01
1746087204.5928097 N:    3, t: 79527020, dt: 19333, ENC_DEG: 19.23, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.10, I: -0.43, D:  0.09, VEL_OUT: -0.92, MS_MPC: 25188.09, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.21, gy: -0.24, gz: -0.67, OX: -0.00
1746087204.5987813 N:    4, t: 79545978, dt: 18958, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.20, I: -0.62, D: -0.10, VEL_OUT: -4.19, MS_MPC: 25192.38, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.34, gy: -0.06, gz: -0.31, OX:  0.00
1746087204.6045153 N:    5, t: 79568908, dt: 22930, ENC_DEG: 19.23, REF:  0.00, VEL_RAW: -0.96, VEL_AVG:  0.12, I: -0.74, D:  0.08, VEL_OUT: -1.86, MS_MPC: 25188.09, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.64, gy: -0.18, gz: -0.43, OX: -0.00
1746087204.6448872 N:    6, t: 79591819, dt: 22911, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -0.96, VEL_AVG:  0.04, I: -0.78, D:  0.08, VEL_OUT: -1.14, MS_MPC: 25183.81, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.58, gy:  0.06, gz: -0.49, OX:  0.00
1746087204.6499074 N:    7, t: 79612045, dt: 20226, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.13, I: -0.91, D: -0.09, VEL_OUT: -4.00, MS_MPC: 25188.09, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.40, gy:  0.12, gz: -0.12, OX:  0.00
1746087204.7040381 N:    8, t: 79630413, dt: 18368, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.03, I: -0.94, D:  0.10, VEL_OUT: -1.16, MS_MPC: 25183.81, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.46, gy:  0.06, gz:  0.12, OX:  0.02
1746087204.7089846 N:    9, t: 79649391, dt: 18978, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.12, I: -1.06, D: -0.10, VEL_OUT: -4.34, MS_MPC: 25188.09, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.21, gy:  0.12, gz: -0.06, OX: -0.02
1746087204.7149127 N:   10, t: 79667396, dt: 18005, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.23, I: -1.29, D: -0.10, VEL_OUT: -5.86, MS_MPC: 25192.38, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.34, gy:  0.18, gz:  0.31, OX:  0.00
1746087204.721099  N:   11, t: 79688458, dt: 21062, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -2.09, VEL_AVG:  0.05, I: -1.34, D:  0.17, VEL_OUT: -1.47, MS_MPC: 25183.81, ax: -0.00, ay:  0.00, az:  1.01, gx:  0.15, gy:  0.67, gz:  0.00, OX:  0.05
1746087204.7637749 N:   12, t: 79709153, dt: 20695, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -1.37, D:  0.02, VEL_OUT: -2.87, MS_MPC: 25183.81, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.03, gy:  0.37, gz: -0.43, OX:  0.01
1746087204.7692358 N:   13, t: 79727157, dt: 18004, ENC_DEG: 19.16, REF:  0.00, VEL_RAW: -2.44, VEL_AVG: -0.26, I: -1.63, D: -0.23, VEL_OUT: -8.16, MS_MPC: 25175.23, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.15, gy:  0.12, gz: -0.85, OX: -0.03
1746087204.8245964 N:   14, t: 79748112, dt: 20955, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  2.10, VEL_AVG: -0.17, I: -1.81, D:  0.09, VEL_OUT: -4.43, MS_MPC: 25183.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.03, gy:  0.18, gz: -0.61, OX: -0.04
1746087204.8295844 N:   15, t: 79767400, dt: 19288, ENC_DEG: 19.18, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.17, I: -1.98, D: -0.00, VEL_OUT: -5.67, MS_MPC: 25179.52, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.03, gy:  0.12, gz: -0.37, OX:  0.02
1746087204.8355653 N:   16, t: 79792566, dt: 25166, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  1.75, VEL_AVG: -0.12, I: -2.10, D:  0.05, VEL_OUT: -4.94, MS_MPC: 25188.09, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.03, gy:  0.24, gz: -0.49, OX:  0.07
1746087204.8415518 N:   17, t: 79809134, dt: 16568, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -2.14, D:  0.08, VEL_OUT: -3.92, MS_MPC: 25188.09, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.27, gy:  0.18, gz: -1.40, OX: -0.08
1746087204.8837893 N:   18, t: 79827869, dt: 18735, ENC_DEG: 19.29, REF:  0.00, VEL_RAW:  3.52, VEL_AVG:  0.33, I: -2.47, D: -0.29, VEL_OUT: -11.12, MS_MPC: 25200.94, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.21, gy: -0.24, gz: -1.22, OX:  0.01
1746087204.8905602 N:   19, t: 79846880, dt: 19011, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -4.62, VEL_AVG: -0.15, I: -2.62, D:  0.18, VEL_OUT: -4.84, MS_MPC: 25183.81, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.09, gy: -0.31, gz: -1.22, OX:  0.02
1746087204.9436946 N:   20, t: 79868945, dt: 22065, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  1.00, VEL_AVG:  0.04, I: -2.66, D:  0.11, VEL_OUT: -4.60, MS_MPC: 25188.09, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.15, gy: -0.12, gz: -0.55, OX:  0.00
1746087204.9496117 N:   21, t: 79886066, dt: 17121, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -2.72, D: -0.02, VEL_OUT: -6.24, MS_MPC: 25188.09, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.15, gy:  0.06, gz: -0.31, OX:  0.05
1746087204.9566474 N:   22, t: 79906190, dt: 20124, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.25, I: -2.97, D: -0.19, VEL_OUT: -10.38, MS_MPC: 25183.81, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.27, gy:  0.12, gz:  0.00, OX: -0.02
