1746087362.9861157 N:    0, t: 33062712, dt: 33062712, ENC_DEG: 20.00, REF:  0.00, VEL_RAW:  0.60, VEL_AVG:  0.05, I: -0.05, D: -0.05, VEL_OUT: -1.11, MS_MPC: 25337.17, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.58, gy: -0.61, gz: -0.52, OX: -0.02
1746087363.045778  N:    1, t: 33083029, dt: 20317, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.23, I: -0.28, D: -0.18, VEL_OUT: -4.67, MS_MPC: 25345.64, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.64, gy: -0.43, gz: -0.27, OX: -0.01
1746087363.0519042 N:    2, t: 33107458, dt: 24429, ENC_DEG: 20.02, REF:  0.00, VEL_RAW: -0.90, VEL_AVG:  0.16, I: -0.44, D:  0.07, VEL_OUT: -1.68, MS_MPC: 25341.40, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.70, gy: -0.61, gz: -0.09, OX:  0.03
1746087363.0578876 N:    3, t: 33123490, dt: 16032, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  1.37, VEL_AVG:  0.27, I: -0.71, D: -0.11, VEL_OUT: -5.25, MS_MPC: 25345.64, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.70, gy: -0.31, gz: -0.27, OX:  0.01
1746087363.063925  N:    4, t: 33143669, dt: 20179, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.36, I: -1.07, D: -0.09, VEL_OUT: -6.65, MS_MPC: 25349.87, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.46, gy: -0.55, gz: -0.40, OX: -0.00
1746087363.1056511 N:    5, t: 33165729, dt: 22060, ENC_DEG: 20.02, REF:  0.00, VEL_RAW: -1.99, VEL_AVG:  0.19, I: -1.26, D:  0.17, VEL_OUT: -2.81, MS_MPC: 25341.40, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.34, gy: -0.61, gz: -0.27, OX: -0.01
1746087363.1114547 N:    6, t: 33183870, dt: 18141, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -1.46, D:  0.00, VEL_OUT: -4.86, MS_MPC: 25341.40, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.40, gy: -0.55, gz: -0.34, OX: -0.01
1746087363.1651473 N:    7, t: 33204056, dt: 20186, ENC_DEG: 19.93, REF:  0.00, VEL_RAW: -4.35, VEL_AVG: -0.17, I: -1.62, D:  0.03, VEL_OUT: -4.67, MS_MPC: 25324.46, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.21, gy: -0.55, gz: -0.34, OX:  0.00
1746087363.1718287 N:    8, t: 33222500, dt: 18444, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  4.77, VEL_AVG:  0.23, I: -1.85, D: -0.06, VEL_OUT: -6.60, MS_MPC: 25341.40, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.03, gy: -0.79, gz: -0.46, OX: -0.00
1746087363.1772356 N:    9, t: 33243598, dt: 21098, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.23, I: -2.08, D:  0.00, VEL_OUT: -6.45, MS_MPC: 25341.40, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.46, gy: -0.61, gz: -0.89, OX: -0.02
1746087363.183281  N:   10, t: 33264557, dt: 20959, ENC_DEG: 19.97, REF:  0.00, VEL_RAW: -2.10, VEL_AVG:  0.05, I: -2.14, D:  0.17, VEL_OUT: -3.07, MS_MPC: 25332.94, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.34, gy: -0.79, gz: -0.70, OX: -0.03
1746087363.2251375 N:   11, t: 33283912, dt: 19355, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  3.41, VEL_AVG:  0.34, I: -2.47, D: -0.28, VEL_OUT: -11.17, MS_MPC: 25345.64, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.21, gy: -0.67, gz: -0.70, OX: -0.00
1746087363.2314696 N:   12, t: 33302882, dt: 18970, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.29, I: -2.76, D:  0.05, VEL_OUT: -7.90, MS_MPC: 25345.64, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.21, gy: -0.85, gz: -0.52, OX:  0.00
1746087363.2851286 N:   13, t: 33324025, dt: 21143, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.19, I: -2.96, D:  0.09, VEL_OUT: -6.92, MS_MPC: 25349.87, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.52, gy: -0.79, gz: -0.34, OX:  0.01
1746087363.2918966 N:   14, t: 33348472, dt: 24447, ENC_DEG: 19.97, REF:  0.00, VEL_RAW: -3.60, VEL_AVG: -0.03, I: -2.99, D:  0.16, VEL_OUT: -4.65, MS_MPC: 25332.94, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.34, gy: -0.79, gz: -0.40, OX:  0.02
1746087363.296971  N:   15, t: 33363901, dt: 15429, ENC_DEG: 20.00, REF:  0.00, VEL_RAW:  1.42, VEL_AVG: -0.03, I: -3.01, D:  0.00, VEL_OUT: -6.24, MS_MPC: 25337.17, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.21, gy: -0.67, gz: -0.27, OX: -0.03
1746087363.3037753 N:   16, t: 33383041, dt: 19140, ENC_DEG: 19.95, REF:  0.00, VEL_RAW: -2.30, VEL_AVG: -0.31, I: -3.32, D: -0.28, VEL_OUT: -12.55, MS_MPC: 25328.70, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.03, gy: -0.55, gz: -0.21, OX:  0.02
1746087363.3461273 N:   17, t: 33404061, dt: 21020, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  3.14, VEL_AVG:  0.12, I: -3.44, D:  0.19, VEL_OUT: -6.18, MS_MPC: 25341.40, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.09, gy: -0.61, gz: -0.64, OX:  0.00
1746087363.3521092 N:   18, t: 33429334, dt: 25273, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -0.87, VEL_AVG:  0.05, I: -3.49, D:  0.07, VEL_OUT: -6.72, MS_MPC: 25337.17, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.15, gy: -0.61, gz: -0.70, OX:  0.01
1746087363.3583136 N:   19, t: 33444770, dt: 15436, ENC_DEG: 20.00, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.41, I: -3.90, D: -0.36, VEL_OUT: -15.52, MS_MPC: 25337.17, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.21, gy: -0.61, gz: -0.95, OX: -0.01
1746087363.4051278 N:   20, t: 33462750, dt: 17980, ENC_DEG: 20.00, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -3.91, D:  0.40, VEL_OUT: -3.97, MS_MPC: 25337.17, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.21, gy: -0.31, gz: -0.64, OX: -0.01
1746087363.4108982 N:   21, t: 33482906, dt: 20156, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.19, I: -4.10, D: -0.18, VEL_OUT: -11.96, MS_MPC: 25345.64, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.34, gy: -0.06, gz: -0.03, OX:  0.03
1746087363.4179049 N:   22, t: 33503007, dt: 20101, ENC_DEG: 20.02, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.28, I: -4.38, D: -0.08, VEL_OUT: -12.37, MS_MPC: 25341.40, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.21, gy: -0.18, gz: -0.15, OX:  0.03
1746087363.465895  N:   23, t: 33524320, dt: 21313, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.08, I: -4.46, D:  0.20, VEL_OUT: -7.74, MS_MPC: 25345.64, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.09, gy: -0.12, gz: -0.21, OX: -0.01
1746087363.4718795 N:   24, t: 33543262, dt: 18942, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -2.32, VEL_AVG: -0.11, I: -4.57, D: -0.03, VEL_OUT: -10.62, MS_MPC: 25337.17, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.09, gy: -0.37, gz: -0.40, OX: -0.02
1746087363.4778645 N:   25, t: 33564760, dt: 21498, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  2.04, VEL_AVG: -0.03, I: -4.60, D:  0.08, VEL_OUT: -8.67, MS_MPC: 25345.64, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.09, gy: -0.37, gz: -0.27, OX:  0.00
1746087363.525719  N:   26, t: 33582925, dt: 18165, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.37, I: -4.97, D: -0.34, VEL_OUT: -17.06, MS_MPC: 25349.87, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.24, gz:  0.34, OX:  0.03
1746087363.5310352 N:   27, t: 33602995, dt: 20070, ENC_DEG: 20.04, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.16, I: -5.13, D:  0.21, VEL_OUT: -9.78, MS_MPC: 25345.64, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.27, gy:  0.12, gz:  0.27, OX:  0.01
1746087363.5370371 N:   28, t: 33624061, dt: 21066, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.35, I: -5.49, D: -0.19, VEL_OUT: -16.41, MS_MPC: 25345.64, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.09, gy: -0.55, gz: -0.03, OX: -0.03
1746087363.5857196 N:   29, t: 33647178, dt: 23117, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -5.58, D:  0.26, VEL_OUT: -9.45, MS_MPC: 25345.64, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.15, gy: -0.98, gz: -0.76, OX: -0.12
1746087363.5917017 N:   30, t: 33664178, dt: 17000, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -5.74, D: -0.07, VEL_OUT: -13.84, MS_MPC: 25345.64, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.76, gy: -0.73, gz: -0.64, OX: -0.04
1746087363.5976856 N:   31, t: 33684383, dt: 20205, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.25, I: -5.99, D: -0.09, VEL_OUT: -15.43, MS_MPC: 25349.87, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.95, gy: -0.43, gz:  0.03, OX:  0.03
1746087363.6451464 N:   32, t: 33706464, dt: 22081, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -6.25, D:  0.00, VEL_OUT: -15.03, MS_MPC: 25349.87, ax:  0.01, ay: -0.01, az:  1.01, gx: -1.07, gy: -0.31, gz:  0.64, OX:  0.06
1746087363.6516266 N:   33, t: 33722423, dt: 15959, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -6.32, D:  0.18, VEL_OUT: -11.54, MS_MPC: 25349.87, ax:  0.00, ay: -0.00, az:  1.01, gx: -1.07, gy: -0.49, gz:  0.46, OX:  0.05
1746087363.6576061 N:   34, t: 33744501, dt: 22078, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -2.99, VEL_AVG: -0.09, I: -6.41, D: -0.01, VEL_OUT: -13.80, MS_MPC: 25337.17, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.82, gy: -0.37, gz: -0.09, OX:  0.00
1746087363.705142  N:   35, t: 33762737, dt: 18236, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  3.61, VEL_AVG:  0.13, I: -6.54, D: -0.04, VEL_OUT: -14.81, MS_MPC: 25349.87, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.70, gy: -0.31, gz: -0.40, OX: -0.03
1746087363.7116158 N:   36, t: 33782980, dt: 20243, ENC_DEG: 20.08, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.41, I: -6.95, D: -0.28, VEL_OUT: -20.87, MS_MPC: 25354.10, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.40, gy: -0.06, gz: -0.27, OX: -0.01
1746087363.7178674 N:   37, t: 33808226, dt: 25246, ENC_DEG: 20.06, REF:  0.00, VEL_RAW: -0.87, VEL_AVG:  0.17, I: -7.12, D:  0.24, VEL_OUT: -13.52, MS_MPC: 25349.87, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.40, gy:  0.18, gz: -0.21, OX: -0.03
