1746087625.3706508 N:    0, t: 33187173, dt: 33187173, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  0.14, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.26, MS_MPC: 22070.94, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy:  0.34, gz:  0.43, OX:  0.00
1746087625.3766797 N:    1, t: 33207469, dt: 20296, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.17, I: -0.18, D: -0.16, VEL_OUT: -3.61, MS_MPC: 22060.69, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.79, gy:  0.15, gz:  0.43, OX:  0.04
1746087625.4293416 N:    2, t: 33230894, dt: 23425, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.94, VEL_AVG: -0.09, I: -0.27, D:  0.08, VEL_OUT: -0.66, MS_MPC: 22065.81, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.79, gy: -0.21, gz: -0.18, OX:  0.01
1746087625.4345162 N:    3, t: 33253658, dt: 22764, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -0.36, D:  0.00, VEL_OUT: -1.63, MS_MPC: 22065.81, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.55, gy: -0.52, gz: -1.22, OX:  0.00
1746087625.4404607 N:    4, t: 33268757, dt: 15099, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -0.45, D:  0.00, VEL_OUT: -1.81, MS_MPC: 22065.81, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.61, gy: -0.52, gz: -1.53, OX: -0.01
1746087625.447455  N:    5, t: 33290239, dt: 21482, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -2.05, VEL_AVG: -0.26, I: -0.71, D: -0.17, VEL_OUT: -5.74, MS_MPC: 22055.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.76, gz: -1.77, OX: -0.05
1746087625.4887772 N:    6, t: 33307314, dt: 17075, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  2.57, VEL_AVG: -0.05, I: -0.76, D:  0.21, VEL_OUT:  0.16, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.89, gz: -2.14, OX: -0.02
1746087625.5491061 N:    7, t: 33327724, dt: 20410, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -0.81, D:  0.00, VEL_OUT: -2.08, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.00, gy: -1.07, gz: -1.77, OX: -0.01
1746087625.5551293 N:    8, t: 33348722, dt: 20998, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -2.09, VEL_AVG: -0.22, I: -1.03, D: -0.17, VEL_OUT: -6.01, MS_MPC: 22055.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.95, gz: -1.71, OX:  0.02
1746087625.561108  N:    9, t: 33368833, dt: 20111, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  3.28, VEL_AVG:  0.05, I: -1.08, D:  0.17, VEL_OUT: -0.99, MS_MPC: 22070.94, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.95, gz: -1.65, OX: -0.01
1746087625.568056  N:   10, t: 33386949, dt: 18116, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -2.43, VEL_AVG: -0.15, I: -1.23, D: -0.10, VEL_OUT: -4.94, MS_MPC: 22060.69, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy: -0.76, gz: -1.65, OX: -0.01
1746087625.5730422 N:   11, t: 33409303, dt: 22354, ENC_DEG:  4.64, REF:  0.00, VEL_RAW: -1.97, VEL_AVG: -0.31, I: -1.54, D: -0.16, VEL_OUT: -7.86, MS_MPC: 22050.43, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.58, gz: -1.16, OX: -0.00
1746087625.6664412 N:   12, t: 33427591, dt: 18288, ENC_DEG:  4.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.33, I: -1.87, D: -0.01, VEL_OUT: -7.11, MS_MPC: 22050.43, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.34, gz: -0.55, OX:  0.02
1746087625.6724598 N:   13, t: 33449203, dt: 21612, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  3.05, VEL_AVG:  0.11, I: -1.98, D:  0.22, VEL_OUT: -2.88, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.09, gz: -0.43, OX:  0.02
1746087625.67841   N:   14, t: 33467500, dt: 18297, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.07, I: -2.05, D:  0.04, VEL_OUT: -4.39, MS_MPC: 22060.69, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.21, gz: -0.24, OX:  0.01
