1746087988.9743495 N:    0, t: 27688647, dt: 27688647, ENC_DEG: 48.56, REF:  0.00, VEL_RAW:  1.75, VEL_AVG:  0.15, I: -0.15, D: -0.15, VEL_OUT: -3.22, MS_MPC: 29287.21, ax:  0.03, ay:  0.02, az:  1.01, gx:  0.40, gy: -1.98, gz: -6.50, OX: -0.34
1746087989.0328832 N:    1, t: 27707980, dt: 19333, ENC_DEG: 48.58, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.24, I: -0.39, D: -0.09, VEL_OUT: -4.13, MS_MPC: 29288.71, ax:  0.03, ay: -0.04, az:  1.00, gx:  1.43, gy: -3.69, gz: -4.73, OX: -0.91
1746087989.0928147 N:    2, t: 27727333, dt: 19353, ENC_DEG: 48.56, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.15, I: -0.53, D:  0.09, VEL_OUT: -1.58, MS_MPC: 29287.21, ax:  0.02, ay: -0.03, az:  1.01, gx:  1.50, gy: -3.63, gz: -2.53, OX: -0.14
1746087989.0982504 N:    3, t: 27748671, dt: 21338, ENC_DEG: 48.49, REF:  0.00, VEL_RAW: -3.09, VEL_AVG: -0.11, I: -0.64, D:  0.04, VEL_OUT: -2.05, MS_MPC: 29282.66, ax:  0.02, ay: -0.04, az:  1.01, gx:  1.19, gy: -2.35, gz: -0.15, OX: -0.01
1746087989.1042454 N:    4, t: 27769100, dt: 20429, ENC_DEG: 48.47, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.20, I: -0.85, D: -0.09, VEL_OUT: -4.59, MS_MPC: 29281.13, ax:  0.03, ay: -0.01, az:  1.00, gx:  1.07, gy:  0.64, gz:  3.63, OX:  0.15
1746087989.1102953 N:    5, t: 27787674, dt: 18574, ENC_DEG: 48.43, REF:  0.00, VEL_RAW: -2.37, VEL_AVG: -0.40, I: -1.24, D: -0.20, VEL_OUT: -8.44, MS_MPC: 29278.08, ax:  0.04, ay:  0.00, az:  0.99, gx:  0.95, gy:  1.98, gz:  4.97, OX:  0.12
1746087989.209683  N:    8, t: 27848421, dt: 18654, ENC_DEG: 48.32, REF:  0.00, VEL_RAW: -2.36, VEL_AVG: -0.86, I: -3.50, D: -0.20, VEL_OUT: -17.52, MS_MPC: 29270.39, ax:  0.01, ay:  0.02, az:  1.00, gx:  1.31, gy: -0.40, gz:  4.79, OX: -0.00
1746087989.2156677 N:    9, t: 27868311, dt: 19890, ENC_DEG: 48.30, REF:  0.00, VEL_RAW: -1.10, VEL_AVG: -0.95, I: -4.45, D: -0.09, VEL_OUT: -19.29, MS_MPC: 29268.84, ax:  0.01, ay:  0.03, az:  0.99, gx:  1.13, gy:  0.21, gz:  4.43, OX:  0.20
1746087989.2216465 N:   10, t: 27887351, dt: 19040, ENC_DEG: 48.28, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -1.04, I: -5.49, D: -0.10, VEL_OUT: -22.38, MS_MPC: 29267.29, ax:  0.01, ay:  0.04, az:  0.99, gx:  1.68, gy:  0.21, gz:  3.88, OX:  0.10
1746087989.227631  N:   11, t: 27908555, dt: 21204, ENC_DEG: 48.30, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.96, I: -6.45, D:  0.09, VEL_OUT: -21.61, MS_MPC: 29268.84, ax:  0.03, ay:  0.04, az:  1.01, gx:  2.04, gy: -1.80, gz:  1.43, OX:  0.01
1746087989.2336128 N:   13, t: 27947805, dt: 19027, ENC_DEG: 48.41, REF:  0.00, VEL_RAW:  5.77, VEL_AVG: -0.72, I: -8.27, D:  0.39, VEL_OUT: -19.84, MS_MPC: 29276.54, ax:  0.01, ay:  0.02, az:  1.04, gx:  0.64, gy: -2.41, gz:  0.40, OX: -0.10
