1746003087.6273727 N:    0, t: 29414887, dt: 29414887, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  0.53, VEL_AVG:  0.04, I: -0.04, D: -0.04, VEL_OUT: -0.97, MS_MPC: 24439.20, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.03, gy:  0.12, gz:  0.73, OX:  0.02
1746003087.632763  N:    1, t: 29434429, dt: 19542, ENC_DEG: 15.58, REF:  0.00, VEL_RAW:  4.50, VEL_AVG:  0.42, I: -0.46, D: -0.37, VEL_OUT: -8.86, MS_MPC: 24457.29, ax:  0.00, ay:  0.01, az:  1.01, gx: -0.40, gy:  0.18, gz:  0.85, OX:  0.01
1746003087.639701  N:    2, t: 29453807, dt: 19378, ENC_DEG: 15.47, REF:  0.00, VEL_RAW: -5.67, VEL_AVG: -0.05, I: -0.52, D:  0.36, VEL_OUT:  2.08, MS_MPC: 24434.68, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.27, gy:  0.49, gz:  0.85, OX:  0.02
1746003087.643685  N:    3, t: 29476410, dt: 22603, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  0.97, VEL_AVG:  0.03, I: -0.54, D:  0.03, VEL_OUT: -1.09, MS_MPC: 24439.20, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.27, gy:  0.18, gz:  0.85, OX: -0.01
1746003087.6861866 N:    4, t: 29497403, dt: 20993, ENC_DEG: 15.47, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.06, I: -0.60, D: -0.03, VEL_OUT: -2.14, MS_MPC: 24434.68, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.21, gy: -0.06, gz:  0.67, OX:  0.01
1746003087.692329  N:    5, t: 29514818, dt: 17415, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  3.79, VEL_AVG:  0.26, I: -0.86, D: -0.20, VEL_OUT: -6.23, MS_MPC: 24448.24, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.15, gy:  0.12, gz:  0.43, OX:  0.00
1746003087.7453916 N:    6, t: 29535661, dt: 20843, ENC_DEG: 15.45, REF:  0.00, VEL_RAW: -4.22, VEL_AVG: -0.10, I: -0.95, D:  0.16, VEL_OUT: -1.28, MS_MPC: 24430.15, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.09, gy:  0.00, gz:  0.24, OX:  0.01
1746003087.7520642 N:    7, t: 29554176, dt: 18515, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  2.37, VEL_AVG:  0.10, I: -1.06, D: -0.01, VEL_OUT: -3.19, MS_MPC: 24439.20, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.09, gy:  0.06, gz:  0.24, OX:  0.01
1746003087.7580602 N:    8, t: 29573529, dt: 19353, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -1.16, D:  0.00, VEL_OUT: -3.34, MS_MPC: 24439.20, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.15, gy:  0.00, gz:  0.18, OX: -0.00
1746003087.7633746 N:    9, t: 29594068, dt: 20539, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  2.14, VEL_AVG:  0.28, I: -1.44, D: -0.18, VEL_OUT: -7.46, MS_MPC: 24448.24, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.40, gy:  0.06, gz:  0.12, OX: -0.01
1746003087.8060532 N:   10, t: 29613392, dt: 19324, ENC_DEG: 15.56, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.37, I: -1.81, D: -0.09, VEL_OUT: -8.32, MS_MPC: 24452.77, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.27, gy:  0.12, gz:  0.31, OX: -0.00
