1746004860.3511968 N:    0, t: 44287327, dt: 44287327, ENC_DEG: 53.99, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.10, I: -0.10, D: -0.10, VEL_OUT: -2.23, MS_MPC: 29560.93, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.55, gy: -0.55, gz:  0.12, OX:  0.08
1746004860.3566825 N:    1, t: 44312660, dt: 25333, ENC_DEG: 54.08, REF:  0.00, VEL_RAW:  3.47, VEL_AVG:  0.39, I: -0.49, D: -0.29, VEL_OUT: -7.78, MS_MPC: 29563.60, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.67, gy: -0.67, gz:  0.06, OX: -0.00
1746004860.4106348 N:    2, t: 44330785, dt: 18125, ENC_DEG: 54.03, REF:  0.00, VEL_RAW: -2.42, VEL_AVG:  0.19, I: -0.68, D:  0.20, VEL_OUT: -1.23, MS_MPC: 29562.28, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.79, gy: -0.79, gz:  0.31, OX: -0.01
1746004860.4161215 N:    3, t: 44346639, dt: 15854, ENC_DEG: 54.08, REF:  0.00, VEL_RAW:  2.77, VEL_AVG:  0.42, I: -1.10, D: -0.23, VEL_OUT: -8.71, MS_MPC: 29563.60, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.92, gy: -0.55, gz:  0.18, OX: -0.02
1746004860.4226835 N:    4, t: 44367690, dt: 21051, ENC_DEG: 54.05, REF:  0.00, VEL_RAW: -1.04, VEL_AVG:  0.33, I: -1.43, D:  0.09, VEL_OUT: -5.32, MS_MPC: 29562.94, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.79, gy: -0.49, gz:  0.61, OX:  0.01
1746004860.428429  N:    5, t: 44386403, dt: 18713, ENC_DEG: 54.03, REF:  0.00, VEL_RAW: -1.17, VEL_AVG:  0.23, I: -1.67, D:  0.10, VEL_OUT: -4.71, MS_MPC: 29562.28, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.67, gy: -0.37, gz:  0.98, OX:  0.03
1746004860.4709127 N:    6, t: 44410655, dt: 24252, ENC_DEG: 54.01, REF:  0.00, VEL_RAW: -0.91, VEL_AVG:  0.16, I: -1.83, D:  0.08, VEL_OUT: -4.49, MS_MPC: 29561.61, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.55, gy: -0.12, gz:  0.67, OX:  0.06
1746004860.4761314 N:    7, t: 44427650, dt: 16995, ENC_DEG: 54.08, REF:  0.00, VEL_RAW:  3.88, VEL_AVG:  0.48, I: -2.31, D: -0.32, VEL_OUT: -12.68, MS_MPC: 29563.60, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.12, gz:  0.49, OX:  0.02
1746004860.4831364 N:    8, t: 44447783, dt: 20133, ENC_DEG: 54.01, REF:  0.00, VEL_RAW: -3.27, VEL_AVG:  0.21, I: -2.52, D:  0.27, VEL_OUT: -4.41, MS_MPC: 29561.61, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.18, gz: -0.00, OX: -0.03
1746004860.530105  N:    9, t: 44466211, dt: 18428, ENC_DEG: 53.99, REF:  0.00, VEL_RAW: -1.19, VEL_AVG:  0.11, I: -2.63, D:  0.10, VEL_OUT: -5.37, MS_MPC: 29560.93, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.31, gz: -0.37, OX: -0.05
1746004860.5364847 N:   10, t: 44487289, dt: 21078, ENC_DEG: 54.05, REF:  0.00, VEL_RAW:  3.13, VEL_AVG:  0.37, I: -3.00, D: -0.26, VEL_OUT: -12.32, MS_MPC: 29562.94, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.18, gz: -0.06, OX: -0.01
