1746005244.5968041 N:    0, t: 53364976, dt: 53364976, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  0.41, VEL_AVG:  0.03, I: -0.03, D: -0.03, VEL_OUT: -0.75, MS_MPC: 25703.98, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.12, gz:  0.12, OX:  0.01
1746005244.6027875 N:    1, t: 53390307, dt: 25331, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -0.07, D:  0.00, VEL_OUT: -0.48, MS_MPC: 25703.98, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.00, gz:  0.12, OX:  0.04
1746005244.6569498 N:    2, t: 53404832, dt: 14525, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.51, VEL_AVG: -0.09, I: -0.16, D: -0.06, VEL_OUT: -1.81, MS_MPC: 25699.88, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.06, gz:  0.24, OX:  0.01
1746005244.6628988 N:    3, t: 53425357, dt: 20525, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -0.25, D:  0.00, VEL_OUT: -1.42, MS_MPC: 25699.88, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.55, gy:  0.00, gz:  0.37, OX: -0.00
1746005244.6679158 N:    4, t: 53445381, dt: 20024, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.00, I: -0.25, D:  0.09, VEL_OUT:  0.41, MS_MPC: 25703.98, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.12, gz:  0.85, OX:  0.01
1746005244.6740415 N:    5, t: 53463766, dt: 18385, ENC_DEG: 21.89, REF:  0.00, VEL_RAW: -2.39, VEL_AVG: -0.20, I: -0.45, D: -0.20, VEL_OUT: -4.89, MS_MPC: 25695.77, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.00, gz:  0.85, OX:  0.00
1746005244.7163525 N:    6, t: 53484034, dt: 20268, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.02, I: -0.47, D:  0.18, VEL_OUT:  0.68, MS_MPC: 25703.98, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.24, gz:  0.92, OX:  0.01
1746005244.7221239 N:    7, t: 53504110, dt: 20076, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.11, I: -0.58, D: -0.09, VEL_OUT: -3.17, MS_MPC: 25699.88, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.24, gz:  0.67, OX: -0.05
1746005244.7750523 N:    8, t: 53528570, dt: 24460, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -0.69, D:  0.00, VEL_OUT: -2.48, MS_MPC: 25699.88, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.24, gz:  0.61, OX:  0.03
1746005244.7810273 N:    9, t: 53544630, dt: 16060, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -0.80, D:  0.00, VEL_OUT: -2.70, MS_MPC: 25699.88, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.24, gz:  0.12, OX:  0.00
1746005244.7880325 N:   10, t: 53564717, dt: 20087, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.02, I: -0.82, D:  0.09, VEL_OUT: -0.91, MS_MPC: 25703.98, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.12, gz: -0.24, OX:  0.01
