1746004636.128224  N:    0, t: 59597194, dt: 59597194, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  0.85, VEL_AVG:  0.07, I: -0.07, D: -0.07, VEL_OUT: -1.56, MS_MPC: 29417.91, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.92, gz: -0.61, OX: -0.09
1746004636.134207  N:    1, t: 59617519, dt: 20325, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.11, I: -0.18, D: -0.04, VEL_OUT: -1.84, MS_MPC: 29415.50, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.61, gz: -0.37, OX:  0.00
1746004636.141149  N:    2, t: 59638558, dt: 21039, ENC_DEG: 50.65, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.02, I: -0.20, D:  0.09, VEL_OUT:  0.24, MS_MPC: 29416.71, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.37, gz:  0.00, OX:  0.00
1746004636.1889372 N:    3, t: 59656034, dt: 17476, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -1.26, VEL_AVG: -0.13, I: -0.33, D: -0.10, VEL_OUT: -2.98, MS_MPC: 29415.50, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.06, gz:  0.06, OX:  0.02
1746004636.1939225 N:    4, t: 59677246, dt: 21212, ENC_DEG: 50.56, REF:  0.00, VEL_RAW: -3.11, VEL_AVG: -0.39, I: -0.72, D: -0.26, VEL_OUT: -7.88, MS_MPC: 29411.84, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.24, gz: -0.12, OX:  0.03
1746004636.2417526 N:    5, t: 59701516, dt: 24270, ENC_DEG: 50.69, REF:  0.00, VEL_RAW:  5.43, VEL_AVG:  0.07, I: -0.78, D:  0.32, VEL_OUT:  0.96, MS_MPC: 29419.12, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.18, gz: -0.18, OX: -0.05
1746004636.2478933 N:    6, t: 59717105, dt: 15589, ENC_DEG: 50.69, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -0.85, D:  0.00, VEL_OUT: -2.36, MS_MPC: 29419.12, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.43, gz: -0.12, OX: -0.02
1746004636.305041  N:    7, t: 59737242, dt: 20137, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -3.27, VEL_AVG: -0.21, I: -1.05, D: -0.14, VEL_OUT: -5.57, MS_MPC: 29415.50, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.12, gz:  0.06, OX:  0.02
1746004636.3117535 N:    8, t: 59756548, dt: 19306, ENC_DEG: 50.60, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.30, I: -1.36, D: -0.09, VEL_OUT: -6.67, MS_MPC: 29414.28, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.06, gz: -0.00, OX: -0.02
1746004636.3176773 N:    9, t: 59777321, dt: 20773, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  3.17, VEL_AVG: -0.04, I: -1.39, D:  0.26, VEL_OUT: -0.51, MS_MPC: 29417.91, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.24, gz:  0.37, OX:  0.04
1746004636.4246888 N:   10, t: 59796588, dt: 19267, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.23, I: -1.62, D: -0.19, VEL_OUT: -7.41, MS_MPC: 29415.50, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.06, gz:  0.61, OX:  0.01
