1746176114.1111586 N:    0, t: 23458400, dt: 23458400, ENC_DEG: 74.69, REF:  0.00, VEL_RAW:  3.18, VEL_AVG:  0.27, I: -0.27, D: -0.27, VEL_OUT: -5.84, MS_MPC: 27883.49, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.24, gz: -0.64, OX:  0.01
1746176114.1170986 N:    1, t: 23477942, dt: 19542, ENC_DEG: 74.71, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.36, I: -0.62, D: -0.09, VEL_OUT: -5.78, MS_MPC: 27878.27, ax: -0.00, ay:  0.01, az:  1.01, gx:  0.24, gy: -0.06, gz: -0.46, OX: -0.00
1746176114.1233304 N:    2, t: 23497026, dt: 19084, ENC_DEG: 74.69, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.26, I: -0.89, D:  0.10, VEL_OUT: -3.45, MS_MPC: 27883.49, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.37, gy:  0.43, gz: -0.46, OX:  0.02
1746176114.128316  N:    3, t: 23522485, dt: 25459, ENC_DEG: 74.73, REF:  0.00, VEL_RAW:  1.73, VEL_AVG:  0.41, I: -1.29, D: -0.14, VEL_OUT: -8.10, MS_MPC: 27873.04, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.85, gy:  0.31, gz: -0.82, OX: -0.12
1746176114.3470802 N:    4, t: 23539252, dt: 16767, ENC_DEG: 74.71, REF:  0.00, VEL_RAW: -1.31, VEL_AVG:  0.30, I: -1.59, D:  0.11, VEL_OUT: -5.07, MS_MPC: 27878.27, ax:  0.00, ay:  0.00, az:  1.00, gx:  1.16, gy:  0.61, gz: -0.46, OX: -0.00
1746176114.3529477 N:    5, t: 23558661, dt: 19409, ENC_DEG: 74.71, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.30, I: -1.89, D:  0.00, VEL_OUT: -6.76, MS_MPC: 27878.27, ax:  0.00, ay:  0.02, az:  1.00, gx:  1.16, gy:  0.49, gz: -0.40, OX:  0.07
1746176114.3599927 N:    6, t: 23577479, dt: 18818, ENC_DEG: 74.77, REF:  0.00, VEL_RAW:  3.50, VEL_AVG:  0.59, I: -2.48, D: -0.29, VEL_OUT: -13.77, MS_MPC: 27862.55, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.85, gy:  0.37, gz: -1.25, OX: -0.05
1746176114.3652172 N:    7, t: 23601234, dt: 23755, ENC_DEG: 74.71, REF:  0.00, VEL_RAW: -2.77, VEL_AVG:  0.36, I: -2.84, D:  0.23, VEL_OUT: -6.95, MS_MPC: 27878.27, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.43, gy:  0.37, gz: -1.62, OX: -0.02
1746176114.3705792 N:   10, t: 23658305, dt: 20409, ENC_DEG: 74.62, REF:  0.00, VEL_RAW: -4.31, VEL_AVG: -0.02, I: -3.44, D:  0.31, VEL_OUT: -4.01, MS_MPC: 27899.09, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.12, gy:  0.37, gz: -1.50, OX:  0.00
1746176114.3765626 N:   11, t: 23779394, dt: 121089, ENC_DEG: 74.66, REF:  0.00, VEL_RAW:  0.36, VEL_AVG:  0.01, I: -3.45, D:  0.02, VEL_OUT: -6.78, MS_MPC: 27888.70, ax:  0.01, ay: -0.01, az:  1.01, gx: -1.22, gy: -0.18, gz: -0.15, OX: -0.08
1746176114.4094281 N:   12, t: 23802346, dt: 22952, ENC_DEG: 74.73, REF:  0.00, VEL_RAW:  2.87, VEL_AVG: -0.02, I: -3.47, D: -0.01, VEL_OUT: -7.27, MS_MPC: 27873.04, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.79, gy: -0.06, gz:  0.70, OX:  0.08
1746176114.4162607 N:   13, t: 23821625, dt: 19279, ENC_DEG: 74.64, REF:  0.00, VEL_RAW: -4.56, VEL_AVG: -0.49, I: -3.96, D: -0.47, VEL_OUT: -17.59, MS_MPC: 27893.90, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.12, gy: -0.18, gz:  1.43, OX:  0.10
1746176114.4711535 N:   14, t: 23838465, dt: 16840, ENC_DEG: 74.66, REF:  0.00, VEL_RAW:  1.30, VEL_AVG: -0.29, I: -4.25, D:  0.20, VEL_OUT: -9.34, MS_MPC: 27888.70, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.55, gy: -0.18, gz:  1.50, OX:  0.02
1746176114.4770992 N:   15, t: 23857653, dt: 19188, ENC_DEG: 74.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.43, I: -4.68, D: -0.14, VEL_OUT: -15.13, MS_MPC: 27888.70, ax: -0.00, ay:  0.01, az:  1.01, gx:  0.61, gy: -0.12, gz:  1.31, OX: -0.03
1746176114.483617  N:   16, t: 23879956, dt: 22303, ENC_DEG: 74.73, REF:  0.00, VEL_RAW:  3.63, VEL_AVG: -0.02, I: -4.70, D:  0.41, VEL_OUT: -5.51, MS_MPC: 27873.04, ax: -0.00, ay:  0.01, az:  1.01, gx:  0.37, gy:  0.85, gz:  1.01, OX:  0.00
1746176114.5295756 N:   17, t: 23898650, dt: 18694, ENC_DEG: 74.73, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -4.72, D:  0.00, VEL_OUT: -9.66, MS_MPC: 27873.04, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.98, gz:  0.58, OX: -0.07
1746176114.5892575 N:   18, t: 23916882, dt: 18232, ENC_DEG: 74.75, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.21, I: -4.94, D: -0.19, VEL_OUT: -13.92, MS_MPC: 27867.80, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.24, gy:  1.10, gz: -0.03, OX: -0.06
