1746175732.8048372 N:    0, t: 50307242, dt: 50307242, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  0.28, VEL_AVG:  0.02, I: -0.02, D: -0.02, VEL_OUT: -0.52, MS_MPC: 24183.83, ax:  0.01, ay: -0.04, az:  1.00, gx: -1.13, gy: -1.25, gz: -0.15, OX: -0.18
1746175732.809825  N:    1, t: 50327931, dt: 20689, ENC_DEG: 14.22, REF:  0.00, VEL_RAW: -2.12, VEL_AVG: -0.15, I: -0.18, D: -0.13, VEL_OUT: -3.19, MS_MPC: 24174.63, ax:  0.01, ay: -0.05, az:  1.00, gx: -1.07, gy: -0.89, gz: -0.09, OX: -0.03
1746175732.8621821 N:    2, t: 50347303, dt: 19372, ENC_DEG: 14.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -0.33, D:  0.00, VEL_OUT: -2.19, MS_MPC: 24174.63, ax:  0.01, ay: -0.05, az:  1.01, gx: -1.07, gy: -0.52, gz:  0.76, OX: -0.02
1746175732.9247606 N:    3, t: 50367459, dt: 20156, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.03, I: -0.36, D:  0.13, VEL_OUT:  0.25, MS_MPC: 24183.83, ax:  0.01, ay: -0.04, az:  1.00, gx: -1.19, gy: -0.40, gz:  1.37, OX:  0.07
1746175732.9299657 N:    4, t: 50388473, dt: 21014, ENC_DEG: 14.20, REF:  0.00, VEL_RAW: -3.14, VEL_AVG: -0.23, I: -0.59, D: -0.20, VEL_OUT: -5.56, MS_MPC: 24170.03, ax:  0.01, ay: -0.04, az:  1.00, gx: -1.13, gy: -0.03, gz:  1.80, OX:  0.01
1746175733.0418587 N:    5, t: 50447025, dt: 58552, ENC_DEG: 14.24, REF:  0.00, VEL_RAW:  0.75, VEL_AVG: -0.17, I: -0.76, D:  0.06, VEL_OUT: -2.60, MS_MPC: 24179.23, ax:  0.01, ay: -0.05, az:  1.01, gx: -2.04, gy:  0.21, gz:  3.39, OX: -0.07
1746175733.0478327 N:    7, t: 50488255, dt: 19845, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  3.32, VEL_AVG: -0.06, I: -1.17, D:  0.28, VEL_OUT: -0.22, MS_MPC: 24183.83, ax:  0.01, ay: -0.05, az:  1.01, gx: -2.53, gy:  1.31, gz:  4.06, OX: -0.00
1746175733.0528188 N:   10, t: 50552646, dt: 25690, ENC_DEG: 14.24, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -1.75, D:  0.00, VEL_OUT: -5.12, MS_MPC: 24179.23, ax:  0.01, ay: -0.04, az:  1.00, gx: -3.27, gy:  1.98, gz:  4.24, OX:  0.03
1746175733.058803  N:   11, t: 50568083, dt: 15437, ENC_DEG: 14.22, REF:  0.00, VEL_RAW: -1.42, VEL_AVG: -0.28, I: -2.03, D: -0.12, VEL_OUT: -8.05, MS_MPC: 24174.63, ax:  0.01, ay: -0.03, az:  1.01, gx: -3.14, gy:  2.11, gz:  4.06, OX:  0.12
1746175733.0647855 N:   14, t: 50632170, dt: 22473, ENC_DEG: 14.20, REF:  0.00, VEL_RAW:  0.98, VEL_AVG: -0.22, I: -2.85, D:  0.08, VEL_OUT: -7.06, MS_MPC: 24170.03, ax:  0.02, ay: -0.02, az:  1.00, gx: -2.04, gy:  1.56, gz:  2.04, OX: -0.01
1746175733.0707684 N:   15, t: 50667990, dt: 35820, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  1.84, VEL_AVG: -0.25, I: -3.10, D: -0.03, VEL_OUT: -8.94, MS_MPC: 24183.83, ax:  0.02, ay: -0.03, az:  0.99, gx: -1.31, gy:  1.50, gz:  0.40, OX: -0.22
1746175733.1056623 N:   16, t: 50687399, dt: 19409, ENC_DEG: 14.22, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.17, I: -3.27, D:  0.07, VEL_OUT: -7.55, MS_MPC: 24174.63, ax:  0.03, ay: -0.03, az:  0.98, gx: -0.82, gy:  1.56, gz: -0.09, OX: -0.01
1746175733.1117294 N:   17, t: 50707360, dt: 19961, ENC_DEG: 14.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -3.51, D: -0.06, VEL_OUT: -10.00, MS_MPC: 24174.63, ax:  0.03, ay: -0.02, az:  0.98, gx: -0.27, gy:  1.37, gz: -0.09, OX:  0.06
1746175733.1649652 N:   18, t: 50727758, dt: 20398, ENC_DEG: 14.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -3.57, D:  0.17, VEL_OUT: -6.07, MS_MPC: 24174.63, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.15, gy:  1.01, gz: -0.46, OX:  0.07
1746175733.2196982 N:   19, t: 50747251, dt: 19493, ENC_DEG: 14.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.34, I: -3.91, D: -0.28, VEL_OUT: -14.01, MS_MPC: 24174.63, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.15, gy:  0.76, gz: -1.31, OX:  0.01
1746175733.2815158 N:   20, t: 50768295, dt: 21044, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  2.09, VEL_AVG:  0.02, I: -3.94, D:  0.32, VEL_OUT: -4.93, MS_MPC: 24183.83, ax:  0.02, ay: -0.02, az:  0.99, gx:  0.03, gy:  0.40, gz: -2.78, OX: -0.19
