1746176008.7448914 N:    0, t: 23455232, dt: 23455232, ENC_DEG: 80.20, REF:  0.00, VEL_RAW:  3.42, VEL_AVG:  0.28, I: -0.28, D: -0.28, VEL_OUT: -6.27, MS_MPC: 26219.58, ax:  0.01, ay: -0.03, az:  1.00, gx:  0.18, gy: -1.43, gz: -2.01, OX: -0.01
1746176008.750226  N:    1, t: 23476774, dt: 21542, ENC_DEG: 80.16, REF:  0.00, VEL_RAW: -2.04, VEL_AVG:  0.11, I: -0.40, D:  0.17, VEL_OUT: -0.25, MS_MPC: 26235.94, ax:  0.01, ay: -0.03, az:  1.00, gx:  0.00, gy: -0.70, gz: -0.06, OX:  0.04
1746176008.7562358 N:    2, t: 23493801, dt: 17027, ENC_DEG: 80.14, REF:  0.00, VEL_RAW: -1.29, VEL_AVG:  0.01, I: -0.41, D:  0.11, VEL_OUT:  0.19, MS_MPC: 26244.09, ax:  0.02, ay: -0.02, az:  1.01, gx: -0.12, gy: -0.46, gz:  0.61, OX:  0.09
1746176008.762217  N:    3, t: 23514315, dt: 20514, ENC_DEG: 80.16, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.10, I: -0.50, D: -0.09, VEL_OUT: -2.87, MS_MPC: 26235.94, ax:  0.02, ay: -0.02, az:  1.01, gx: -0.06, gy:  0.03, gz:  2.14, OX: -0.34
1746176008.8637586 N:    4, t: 23535464, dt: 21149, ENC_DEG: 80.14, REF:  0.00, VEL_RAW: -1.04, VEL_AVG:  0.01, I: -0.51, D:  0.09, VEL_OUT: -0.26, MS_MPC: 26244.09, ax:  0.02, ay: -0.01, az:  1.01, gx: -0.37, gy:  0.27, gz:  3.78, OX:  0.01
1746176008.8697758 N:    5, t: 23594847, dt: 59383, ENC_DEG: 80.09, REF:  0.00, VEL_RAW: -0.74, VEL_AVG: -0.05, I: -0.57, D: -0.04, VEL_OUT: -2.06, MS_MPC: 26260.37, ax:  0.02, ay: -0.01, az:  1.00, gx: -1.04, gy:  0.89, gz:  3.05, OX:  0.01
1746176008.9856877 N:    6, t: 23613959, dt: 19112, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.04, I: -0.61, D:  0.01, VEL_OUT: -1.59, MS_MPC: 26252.24, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.61, gy:  0.76, gz:  2.50, OX:  0.15
1746176008.9918768 N:    7, t: 23636536, dt: 22577, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -0.65, D:  0.00, VEL_OUT: -1.75, MS_MPC: 26252.24, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.37, gy:  0.46, gz:  1.16, OX:  0.00
1746176008.9978232 N:   10, t: 23696500, dt: 22740, ENC_DEG: 80.20, REF:  0.00, VEL_RAW:  0.97, VEL_AVG:  0.42, I: -1.56, D: -0.08, VEL_OUT: -8.15, MS_MPC: 26219.58, ax:  0.00, ay: -0.01, az:  1.03, gx:  1.40, gy: -1.25, gz: -1.34, OX: -0.18
1746176009.0034757 N:   11, t: 23713964, dt: 17464, ENC_DEG: 80.16, REF:  0.00, VEL_RAW: -2.52, VEL_AVG:  0.21, I: -1.77, D:  0.21, VEL_OUT: -3.57, MS_MPC: 26235.94, ax:  0.01, ay: -0.02, az:  1.00, gx:  1.40, gy: -1.31, gz: -1.34, OX: -0.15
1746176009.0094614 N:   14, t: 23774275, dt: 18218, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -2.13, D:  0.05, VEL_OUT: -3.98, MS_MPC: 26252.24, ax:  0.02, ay: -0.02, az:  1.01, gx:  0.06, gy:  0.34, gz:  0.49, OX:  0.02
