1746173752.9598112 N:    0, t: 26722256, dt: 26722256, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  2.94, VEL_AVG:  0.25, I: -0.25, D: -0.25, VEL_OUT: -5.40, MS_MPC: 26760.30, ax: -0.00, ay:  0.02, az:  1.00, gx: -1.34, gy: -0.12, gz:  0.03, OX: -0.09
1746173753.0201013 N:    1, t: 26744003, dt: 21747, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -0.49, D:  0.00, VEL_OUT: -3.43, MS_MPC: 26760.30, ax: -0.00, ay:  0.02, az:  1.00, gx: -0.85, gy: -0.61, gz: -0.15, OX:  0.01
1746173753.0240934 N:    2, t: 26762092, dt: 18089, ENC_DEG: 78.71, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.45, I: -0.94, D: -0.20, VEL_OUT: -8.38, MS_MPC: 26745.74, ax: -0.00, ay:  0.02, az:  1.00, gx: -0.31, gy: -0.55, gz: -0.40, OX:  0.03
1746173753.0301032 N:    3, t: 26782391, dt: 20299, ENC_DEG: 78.66, REF:  0.00, VEL_RAW: -2.16, VEL_AVG:  0.27, I: -1.21, D:  0.18, VEL_OUT: -3.28, MS_MPC: 26760.30, ax: -0.00, ay:  0.02, az:  1.00, gx:  0.49, gy: -0.49, gz: -0.58, OX:  0.01
1746173753.1336708 N:    4, t: 26803155, dt: 20764, ENC_DEG: 78.71, REF:  0.00, VEL_RAW:  2.12, VEL_AVG:  0.44, I: -1.65, D: -0.18, VEL_OUT: -9.50, MS_MPC: 26745.74, ax: -0.00, ay:  0.02, az:  1.01, gx:  1.22, gy: -0.43, gz: -0.58, OX: -0.01
1746173753.1397674 N:    5, t: 26825078, dt: 21923, ENC_DEG: 78.64, REF:  0.00, VEL_RAW: -3.01, VEL_AVG:  0.19, I: -1.84, D:  0.25, VEL_OUT: -3.11, MS_MPC: 26767.57, ax: -0.00, ay:  0.03, az:  1.00, gx:  1.71, gy:  0.18, gz:  0.09, OX:  0.10
1746173753.1457427 N:    6, t: 26843082, dt: 18004, ENC_DEG: 78.71, REF:  0.00, VEL_RAW:  3.66, VEL_AVG:  0.50, I: -2.34, D: -0.31, VEL_OUT: -12.72, MS_MPC: 26745.74, ax: -0.00, ay:  0.03, az:  1.00, gx:  1.89, gy:  0.79, gz: -0.21, OX:  0.01
1746173753.1524847 N:    7, t: 26863929, dt: 20847, ENC_DEG: 78.66, REF:  0.00, VEL_RAW: -2.11, VEL_AVG:  0.32, I: -2.66, D:  0.18, VEL_OUT: -6.80, MS_MPC: 26760.30, ax:  0.00, ay:  0.02, az:  1.00, gx:  1.89, gy:  0.61, gz: -0.34, OX: -0.02
1746173753.2590294 N:   10, t: 26926995, dt: 23584, ENC_DEG: 78.69, REF:  0.00, VEL_RAW: -0.93, VEL_AVG:  0.42, I: -3.81, D:  0.08, VEL_OUT: -11.05, MS_MPC: 26753.03, ax:  0.00, ay:  0.03, az:  1.00, gx:  1.10, gy:  0.37, gz: -0.15, OX:  0.13
1746173753.264055  N:   11, t: 26943592, dt: 16597, ENC_DEG: 78.66, REF:  0.00, VEL_RAW: -1.32, VEL_AVG:  0.31, I: -4.12, D:  0.11, VEL_OUT: -10.24, MS_MPC: 26760.30, ax:  0.00, ay:  0.03, az:  1.00, gx:  0.79, gy:  0.06, gz: -0.70, OX: -0.05
1746173753.2700033 N:   12, t: 26963844, dt: 20252, ENC_DEG: 78.64, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.03, I: -4.15, D:  0.29, VEL_OUT: -5.69, MS_MPC: 26767.57, ax: -0.00, ay:  0.03, az:  1.00, gx:  0.61, gy: -0.43, gz: -1.37, OX: -0.02
