1746174368.5656621 N:    0, t: 22763078, dt: 22763078, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  3.60, VEL_AVG:  0.30, I: -0.30, D: -0.30, VEL_OUT: -6.59, MS_MPC: 25565.40, ax: -0.02, ay:  0.01, az:  1.01, gx:  1.95, gy: -1.98, gz:  0.58, OX:  0.06
1746174368.6221552 N:    1, t: 22784400, dt: 21322, ENC_DEG: 81.89, REF:  0.00, VEL_RAW:  2.06, VEL_AVG:  0.47, I: -0.77, D: -0.17, VEL_OUT: -7.97, MS_MPC: 25546.83, ax: -0.01, ay:  0.00, az:  1.01, gx:  2.01, gy: -1.01, gz:  0.82, OX: -0.03
1746174368.6296487 N:    2, t: 22804176, dt: 19776, ENC_DEG: 81.87, REF:  0.00, VEL_RAW: -1.11, VEL_AVG:  0.38, I: -1.15, D:  0.09, VEL_OUT: -5.16, MS_MPC: 25556.12, ax: -0.01, ay:  0.01, az:  1.00, gx:  1.71, gy: -0.64, gz:  1.56, OX:  0.01
1746174368.6346805 N:    3, t: 22823343, dt: 19167, ENC_DEG: 81.83, REF:  0.00, VEL_RAW: -2.29, VEL_AVG:  0.19, I: -1.34, D:  0.19, VEL_OUT: -2.64, MS_MPC: 25574.66, ax: -0.02, ay:  0.01, az:  1.01, gx:  1.53, gy: -1.01, gz:  1.98, OX:  0.04
1746174368.6406202 N:    4, t: 22843533, dt: 20190, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.10, I: -1.43, D:  0.09, VEL_OUT: -2.93, MS_MPC: 25583.90, ax: -0.02, ay:  0.01, az:  1.01, gx:  1.16, gy: -1.07, gz:  1.62, OX:  0.01
1746174368.6466022 N:    5, t: 22865122, dt: 21589, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  2.04, VEL_AVG:  0.27, I: -1.70, D: -0.17, VEL_OUT: -7.76, MS_MPC: 25565.40, ax: -0.02, ay:  0.01, az:  1.01, gx:  0.55, gy: -0.82, gz:  1.43, OX: -0.00
1746174368.6839175 N:    6, t: 22883286, dt: 18164, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -2.42, VEL_AVG:  0.07, I: -1.77, D:  0.20, VEL_OUT: -2.17, MS_MPC: 25583.90, ax: -0.01, ay:  0.02, az:  1.00, gx:  0.55, gy: -0.52, gz:  1.68, OX:  0.03
1746174368.7423992 N:    7, t: 22903620, dt: 20334, ENC_DEG: 81.89, REF:  0.00, VEL_RAW:  4.32, VEL_AVG:  0.43, I: -2.19, D: -0.36, VEL_OUT: -12.24, MS_MPC: 25546.83, ax: -0.01, ay:  0.02, az:  1.00, gx:  0.79, gy: -0.70, gz:  1.68, OX:  0.03
1746174368.74761   N:    8, t: 22926083, dt: 22463, ENC_DEG: 81.87, REF:  0.00, VEL_RAW: -0.98, VEL_AVG:  0.34, I: -2.54, D:  0.08, VEL_OUT: -7.69, MS_MPC: 25556.12, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.73, gy: -0.76, gz:  1.19, OX: -0.04
1746174368.7989712 N:    9, t: 22944323, dt: 18240, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -3.61, VEL_AVG:  0.04, I: -2.58, D:  0.30, VEL_OUT: -2.57, MS_MPC: 25583.90, ax: -0.02, ay:  0.01, az:  1.00, gx:  0.85, gy: -0.95, gz:  1.43, OX: -0.01
1746174368.859481  N:   10, t: 22964473, dt: 20150, ENC_DEG: 81.92, REF:  0.00, VEL_RAW:  5.45, VEL_AVG:  0.50, I: -3.07, D: -0.45, VEL_OUT: -15.66, MS_MPC: 25537.52, ax: -0.02, ay:  0.01, az:  1.01, gx:  0.73, gy: -1.25, gz:  1.50, OX:  0.03
