1746174673.8468626 N:    0, t: 22197403, dt: 22197403, ENC_DEG: 74.95, REF:  0.00, VEL_RAW:  3.38, VEL_AVG:  0.28, I: -0.28, D: -0.28, VEL_OUT: -6.19, MS_MPC: 27820.17, ax:  0.02, ay:  0.02, az:  1.00, gx: -1.34, gy:  0.34, gz:  1.10, OX: -0.06
1746174673.853486  N:    1, t: 22222733, dt: 25330, ENC_DEG: 74.93, REF:  0.00, VEL_RAW: -0.87, VEL_AVG:  0.21, I: -0.49, D:  0.07, VEL_OUT: -2.35, MS_MPC: 27825.50, ax:  0.01, ay:  0.00, az:  1.01, gx: -1.46, gy: -0.27, gz:  0.24, OX: -0.12
1746174673.9659376 N:    2, t: 22237257, dt: 14524, ENC_DEG: 74.91, REF:  0.00, VEL_RAW: -1.51, VEL_AVG:  0.08, I: -0.57, D:  0.13, VEL_OUT: -0.72, MS_MPC: 27830.83, ax:  0.01, ay:  0.00, az:  1.01, gx: -1.53, gy: -0.09, gz:  0.67, OX: -0.02
1746174674.0250566 N:    3, t: 22256459, dt: 19202, ENC_DEG: 74.93, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.18, I: -0.75, D: -0.10, VEL_OUT: -4.24, MS_MPC: 27825.50, ax:  0.01, ay:  0.01, az:  1.00, gx: -1.65, gy:  0.40, gz:  0.98, OX:  0.13
1746174674.0824907 N:    4, t: 22276612, dt: 20153, ENC_DEG: 74.91, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.09, I: -0.84, D:  0.09, VEL_OUT: -1.65, MS_MPC: 27830.83, ax:  0.02, ay:  0.02, az:  1.00, gx: -1.28, gy:  0.58, gz:  0.73, OX:  0.05
1746174674.088246  N:    5, t: 22302476, dt: 25864, ENC_DEG: 74.86, REF:  0.00, VEL_RAW: -1.70, VEL_AVG: -0.05, I: -0.89, D:  0.03, VEL_OUT: -1.99, MS_MPC: 27841.44, ax:  0.02, ay:  0.02, az:  1.00, gx: -0.43, gy:  0.09, gz:  0.24, OX: -0.00
1746174674.0943003 N:    8, t: 22359093, dt: 17203, ENC_DEG: 74.93, REF:  0.00, VEL_RAW:  3.83, VEL_AVG:  0.27, I: -1.27, D: -0.21, VEL_OUT: -7.30, MS_MPC: 27825.50, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.67, gy: -0.46, gz: -0.55, OX: -0.03
1746174674.1002967 N:   10, t: 22402481, dt: 26157, ENC_DEG: 74.95, REF:  0.00, VEL_RAW:  1.68, VEL_AVG:  0.30, I: -1.72, D: -0.14, VEL_OUT: -7.84, MS_MPC: 27820.17, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.04, gy:  0.27, gz: -0.37, OX:  0.00
1746174674.1063104 N:   12, t: 22456470, dt: 17003, ENC_DEG: 74.93, REF:  0.00, VEL_RAW:  2.58, VEL_AVG:  0.08, I: -1.96, D:  0.07, VEL_OUT: -4.10, MS_MPC: 27825.50, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.22, gy:  0.21, gz: -0.61, OX:  0.06
1746174674.1123185 N:   13, t: 22476428, dt: 19958, ENC_DEG: 74.88, REF:  0.00, VEL_RAW: -2.20, VEL_AVG: -0.03, I: -1.99, D:  0.06, VEL_OUT: -3.66, MS_MPC: 27836.14, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.10, gy:  0.09, gz: -1.04, OX: -0.04
1746174674.1487663 N:   14, t: 22496544, dt: 20116, ENC_DEG: 74.93, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.28, I: -2.27, D: -0.25, VEL_OUT: -9.90, MS_MPC: 27825.50, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.10, gy: -0.09, gz: -0.55, OX:  0.03
1746174674.1547952 N:   15, t: 22516198, dt: 19654, ENC_DEG: 74.91, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.09, I: -2.36, D:  0.19, VEL_OUT: -3.76, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.22, gy:  0.09, gz: -1.04, OX: -0.00
1746174674.206652  N:   16, t: 22536761, dt: 20563, ENC_DEG: 74.82, REF:  0.00, VEL_RAW: -4.27, VEL_AVG: -0.17, I: -2.53, D: -0.08, VEL_OUT: -7.59, MS_MPC: 27852.01, ax:  0.01, ay:  0.02, az:  1.00, gx:  1.65, gy: -0.34, gz: -1.34, OX:  0.03
