1746174080.319814  N:    0, t: 21606121, dt: 21606121, ENC_DEG:  5.54, REF:  0.00, VEL_RAW:  0.26, VEL_AVG:  0.02, I: -0.02, D: -0.02, VEL_OUT: -0.47, MS_MPC: 22259.77, ax:  0.03, ay: -0.00, az:  0.97, gx:  3.75, gy:  4.79, gz:  3.60, OX:  0.11
1746174080.3786654 N:    1, t: 21625458, dt: 19337, ENC_DEG:  5.45, REF:  0.00, VEL_RAW: -4.55, VEL_AVG: -0.36, I: -0.38, D: -0.34, VEL_OUT: -7.69, MS_MPC: 22239.43, ax:  0.03, ay: -0.00, az:  0.99, gx:  2.78, gy:  3.45, gz:  3.05, OX:  0.01
1746174080.3853354 N:    2, t: 21649685, dt: 24227, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  0.91, VEL_AVG: -0.28, I: -0.66, D:  0.08, VEL_OUT: -3.38, MS_MPC: 22244.52, ax:  0.03, ay: -0.03, az:  1.01, gx:  1.68, gy:  3.81, gz:  2.81, OX: -0.15
1746174080.4981189 N:    3, t: 21665614, dt: 15929, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -0.94, D:  0.00, VEL_OUT: -4.70, MS_MPC: 22244.52, ax:  0.04, ay: -0.03, az:  1.00, gx:  0.89, gy:  4.91, gz:  3.48, OX: -0.04
1746174080.5036345 N:    4, t: 21685456, dt: 19842, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  1.11, VEL_AVG: -0.19, I: -1.13, D:  0.09, VEL_OUT: -3.24, MS_MPC: 22249.61, ax:  0.05, ay: -0.03, az:  0.98, gx:  0.40, gy:  5.52, gz:  4.64, OX:  0.03
1746174080.509966  N:    6, t: 21727443, dt: 22353, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -2.95, VEL_AVG: -0.25, I: -1.38, D: -0.25, VEL_OUT: -7.71, MS_MPC: 22244.52, ax:  0.05, ay: -0.03, az:  0.97, gx: -1.01, gy:  2.90, gz:  6.59, OX: -0.01
1746174080.515949  N:    7, t: 21786258, dt: 58815, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  0.75, VEL_AVG: -0.19, I: -1.57, D:  0.06, VEL_OUT: -4.38, MS_MPC: 22254.69, ax:  0.05, ay: -0.01, az:  0.98, gx: -1.56, gy:  1.07, gz:  7.93, OX:  0.04
1746174080.5222135 N:   10, t: 21850848, dt: 24127, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -1.82, VEL_AVG: -0.24, I: -2.24, D: -0.15, VEL_OUT: -8.44, MS_MPC: 22244.52, ax:  0.07, ay: -0.01, az:  0.99, gx: -1.07, gy:  0.15, gz:  7.08, OX: -0.04
1746174080.5271955 N:   11, t: 21884918, dt: 34070, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -2.48, D:  0.00, VEL_OUT: -7.41, MS_MPC: 22244.52, ax:  0.06, ay: -0.02, az:  0.99, gx: -1.80, gy:  0.15, gz:  8.42, OX: -0.04
1746174080.620466  N:   12, t: 21906709, dt: 21791, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  2.02, VEL_AVG: -0.10, I: -2.58, D:  0.15, VEL_OUT: -4.66, MS_MPC: 22254.69, ax:  0.05, ay: -0.02, az:  0.99, gx: -1.86, gy: -0.15, gz:  8.67, OX:  0.03
1746174080.626407  N:   13, t: 21926117, dt: 19408, ENC_DEG:  5.56, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.47, I: -3.05, D: -0.37, VEL_OUT: -14.54, MS_MPC: 22264.86, ax:  0.05, ay: -0.01, az:  0.99, gx: -1.98, gy: -0.34, gz:  8.61, OX:  0.08
