1746528361.0104344 N:    0, t: 32615614, dt: 32615614, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  1.86, VEL_AVG:  0.16, I: -0.16, D: -0.16, VEL_OUT: -3.42, MS_MPC: 29571.89, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.52, gz: -0.12, OX:  0.02
1746528361.0692883 N:    1, t: 32636178, dt: 20564, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.24, I: -0.40, D: -0.09, VEL_OUT: -4.13, MS_MPC: 29571.22, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.52, gz:  0.00, OX:  0.05
1746528361.0753548 N:    2, t: 32654264, dt: 18086, ENC_DEG: 60.82, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.14, I: -0.54, D:  0.10, VEL_OUT: -1.51, MS_MPC: 29571.89, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.15, gz: -0.49, OX: -0.08
1746528361.081362  N:    3, t: 32676993, dt: 22729, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -0.97, VEL_AVG:  0.06, I: -0.61, D:  0.08, VEL_OUT: -1.03, MS_MPC: 29572.56, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.46, gz: -0.37, OX: -0.00
1746528361.08732   N:    4, t: 32695709, dt: 18716, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -0.67, D:  0.00, VEL_OUT: -1.96, MS_MPC: 29572.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.15, gz: -0.00, OX:  0.02
1746528361.0933063 N:    6, t: 32738726, dt: 23797, ENC_DEG: 60.78, REF:  0.00, VEL_RAW: -1.85, VEL_AVG:  0.00, I: -0.83, D:  0.15, VEL_OUT: -0.16, MS_MPC: 29573.22, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.34, gz:  0.43, OX: -0.02
1746528361.1306062 N:    7, t: 32755634, dt: 16908, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  2.60, VEL_AVG:  0.22, I: -1.05, D: -0.22, VEL_OUT: -6.47, MS_MPC: 29571.89, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.52, gz:  0.49, OX: -0.01
1746528361.1363397 N:    8, t: 32775957, dt: 20323, ENC_DEG: 60.78, REF:  0.00, VEL_RAW: -2.16, VEL_AVG:  0.04, I: -1.09, D:  0.18, VEL_OUT: -0.78, MS_MPC: 29573.22, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.46, gz:  0.61, OX:  0.02
1746528361.1433241 N:    9, t: 32796557, dt: 20600, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  3.20, VEL_AVG:  0.31, I: -1.40, D: -0.27, VEL_OUT: -8.53, MS_MPC: 29571.22, ax: -0.00, ay:  0.01, az:  0.99, gx:  0.18, gy:  0.27, gz:  0.49, OX:  0.02
1746528361.1912396 N:   10, t: 32817643, dt: 21086, ENC_DEG: 60.78, REF:  0.00, VEL_RAW: -3.13, VEL_AVG:  0.05, I: -1.44, D:  0.26, VEL_OUT: -0.75, MS_MPC: 29573.22, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.34, gz: -0.06, OX: -0.07
1746528361.196648  N:   11, t: 32834645, dt: 17002, ENC_DEG: 60.71, REF:  0.00, VEL_RAW: -3.88, VEL_AVG: -0.28, I: -1.72, D: -0.23, VEL_OUT: -8.51, MS_MPC: 29575.18, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.55, gy: -0.21, gz:  0.06, OX:  0.01
