1746527866.6665664 N:    0, t: 50153869, dt: 50153869, ENC_DEG: 26.48, REF:  0.00, VEL_RAW:  0.53, VEL_AVG:  0.04, I: -0.04, D: -0.04, VEL_OUT: -0.97, MS_MPC: 26519.28, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.49, gy:  0.73, gz:  0.49, OX:  0.01
1746527866.672943  N:    1, t: 50174412, dt: 20543, ENC_DEG: 26.46, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.05, I: -0.09, D: -0.00, VEL_OUT: -0.64, MS_MPC: 26515.51, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.61, gz:  0.37, OX:  0.05
1746527866.678929  N:    2, t: 50192702, dt: 18290, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  4.81, VEL_AVG:  0.36, I: -0.44, D: -0.31, VEL_OUT: -7.54, MS_MPC: 26530.59, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.43, gy:  0.67, gz:  0.43, OX: -0.04
1746527866.6839085 N:    3, t: 50218210, dt: 25508, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  0.86, VEL_AVG:  0.43, I: -0.87, D: -0.07, VEL_OUT: -6.73, MS_MPC: 26534.35, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.61, gz:  0.49, OX: -0.00
1746527866.7226617 N:    4, t: 50232399, dt: 14189, ENC_DEG: 26.61, REF:  0.00, VEL_RAW:  3.10, VEL_AVG:  0.69, I: -1.56, D: -0.26, VEL_OUT: -12.55, MS_MPC: 26541.88, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.79, gz:  0.43, OX:  0.02
1746527866.7277842 N:    5, t: 50292313, dt: 59914, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -2.20, VEL_AVG:  0.50, I: -2.06, D:  0.18, VEL_OUT: -7.30, MS_MPC: 26519.28, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.79, gz:  0.43, OX: -0.01
1746527866.7337701 N:    6, t: 50314237, dt: 21924, ENC_DEG: 26.50, REF:  0.00, VEL_RAW:  1.00, VEL_AVG:  0.59, I: -2.64, D: -0.08, VEL_OUT: -11.98, MS_MPC: 26523.05, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.92, gz:  0.61, OX:  0.01
1746527866.7407525 N:    7, t: 50332657, dt: 18420, ENC_DEG: 26.52, REF:  0.00, VEL_RAW:  1.19, VEL_AVG:  0.68, I: -3.33, D: -0.10, VEL_OUT: -14.50, MS_MPC: 26526.82, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.12, gy:  0.92, gz:  0.79, OX:  0.02
1746527866.7852647 N:    8, t: 50355179, dt: 22522, ENC_DEG: 26.50, REF:  0.00, VEL_RAW: -0.98, VEL_AVG:  0.60, I: -3.93, D:  0.08, VEL_OUT: -13.09, MS_MPC: 26523.05, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.12, gy:  0.85, gz:  0.31, OX: -0.03
1746527866.8438883 N:    9, t: 50372313, dt: 17134, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -1.28, VEL_AVG:  0.50, I: -4.43, D:  0.11, VEL_OUT: -12.75, MS_MPC: 26519.28, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.73, gz:  0.12, OX: -0.10
1746527866.8500905 N:   10, t: 50398788, dt: 26475, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  2.49, VEL_AVG:  0.70, I: -5.13, D: -0.21, VEL_OUT: -19.38, MS_MPC: 26530.59, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.55, gz:  0.06, OX:  0.00
