1746527977.3026867 N:    0, t: 24236312, dt: 24236312, ENC_DEG:  4.33, REF:  0.00, VEL_RAW:  0.18, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.33, MS_MPC: 21978.52, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.49, gy: -0.43, gz: -0.52, OX: -0.04
1746527977.3086703 N:    1, t: 24255859, dt: 19547, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  5.62, VEL_AVG:  0.48, I: -0.50, D: -0.47, VEL_OUT: -10.51, MS_MPC: 22004.22, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.61, gy: -0.06, gz: -0.03, OX:  0.02
1746527977.3156722 N:    2, t: 24275224, dt: 19365, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -2.27, VEL_AVG:  0.29, I: -0.79, D:  0.19, VEL_OUT: -2.64, MS_MPC: 21993.95, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.49, gy:  0.24, gz: -0.03, OX:  0.03
1746527977.3206017 N:    3, t: 24297507, dt: 22283, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.29, I: -1.09, D:  0.00, VEL_OUT: -5.11, MS_MPC: 21993.95, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.37, gy:  0.18, gz: -0.03, OX:  0.00
1746527977.366175  N:    4, t: 24316696, dt: 19189, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.29, I: -1.38, D:  0.00, VEL_OUT: -5.70, MS_MPC: 21993.95, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.24, gz:  0.40, OX:  0.01
1746527977.4247348 N:    5, t: 24376438, dt: 59742, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  0.37, VEL_AVG:  0.32, I: -1.71, D: -0.03, VEL_OUT: -6.97, MS_MPC: 21999.09, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.79, gy: -0.12, gz: -0.21, OX:  0.03
1746527977.54518   N:    6, t: 24395674, dt: 19236, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.42, I: -2.13, D: -0.10, VEL_OUT: -9.40, MS_MPC: 22004.22, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.85, gy: -0.12, gz: -0.15, OX:  0.01
1746527977.5506947 N:    7, t: 24415052, dt: 19378, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -2.27, VEL_AVG:  0.23, I: -2.36, D:  0.19, VEL_OUT: -5.13, MS_MPC: 21993.95, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.92, gy: -0.37, gz: -0.15, OX: -0.00
1746527977.5569088 N:    8, t: 24435826, dt: 20774, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.32, I: -2.68, D: -0.09, VEL_OUT: -9.42, MS_MPC: 21999.09, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.04, gy: -0.61, gz: -0.64, OX: -0.07
1746527977.5628922 N:   10, t: 24476519, dt: 20502, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  3.22, VEL_AVG:  0.41, I: -3.22, D: -0.27, VEL_OUT: -13.17, MS_MPC: 22004.22, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.49, gy: -0.24, gz:  0.52, OX:  0.03
1746527977.568908  N:   14, t: 24556328, dt: 16052, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.37, VEL_AVG: -0.05, I: -4.01, D:  0.30, VEL_OUT: -5.46, MS_MPC: 21993.95, ax:  0.01, ay: -0.00, az:  1.00, gx:  1.22, gy:  0.12, gz:  0.58, OX: -0.02
