1746526681.9484508 N:    0, t: 23503928, dt: 23503928, ENC_DEG:  4.81, REF:  0.00, VEL_RAW:  0.20, VEL_AVG:  0.02, I: -0.02, D: -0.02, VEL_OUT: -0.38, MS_MPC: 22091.43, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.85, gy: -0.06, gz: -0.52, OX: -0.03
1746526681.9544356 N:    1, t: 23529231, dt: 25303, ENC_DEG:  4.79, REF:  0.00, VEL_RAW: -0.87, VEL_AVG: -0.06, I: -0.07, D: -0.04, VEL_OUT: -1.08, MS_MPC: 22086.31, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.43, gy: -0.55, gz:  0.46, OX:  0.14
1746526681.9594247 N:    2, t: 23547236, dt: 18005, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -6.10, VEL_AVG: -0.56, I: -0.64, D: -0.51, VEL_OUT: -11.99, MS_MPC: 22060.69, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.79, gz:  0.03, OX: -0.05
1746526682.0017326 N:    3, t: 23562571, dt: 15335, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  4.30, VEL_AVG: -0.21, I: -0.84, D:  0.36, VEL_OUT: -0.16, MS_MPC: 22076.06, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.12, gy: -0.85, gz:  0.09, OX: -0.02
1746526682.0671139 N:    4, t: 23585529, dt: 22958, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -1.05, D:  0.00, VEL_OUT: -4.15, MS_MPC: 22076.06, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.61, gy: -1.28, gz:  0.27, OX: -0.00
1746526682.1860096 N:    5, t: 23603613, dt: 18084, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -1.25, D:  0.00, VEL_OUT: -4.56, MS_MPC: 22076.06, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.85, gy: -1.28, gz:  0.89, OX:  0.13
1746526682.1919582 N:    6, t: 23622873, dt: 19260, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -1.46, D:  0.00, VEL_OUT: -4.97, MS_MPC: 22076.06, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.73, gy: -1.04, gz:  1.01, OX:  0.05
1746526682.2430823 N:    7, t: 23643765, dt: 20892, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -1.66, D:  0.00, VEL_OUT: -5.38, MS_MPC: 22076.06, ax: -0.01, ay: -0.00, az:  1.01, gx: -0.79, gy: -0.67, gz:  0.70, OX:  0.09
1746526682.2492962 N:    9, t: 23684047, dt: 20259, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  2.17, VEL_AVG: -0.02, I: -1.89, D:  0.18, VEL_OUT: -2.23, MS_MPC: 22086.31, ax: -0.00, ay:  0.02, az:  1.00, gx: -0.73, gy:  0.06, gz: -0.52, OX: -0.04
1746526682.255398  N:   12, t: 23748810, dt: 26208, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -2.05, D: -0.02, VEL_OUT: -4.57, MS_MPC: 22086.31, ax: -0.00, ay: -0.01, az:  1.02, gx: -0.49, gy:  0.49, gz: -1.19, OX: -0.04
1746526682.2617342 N:   13, t: 23824069, dt: 75259, ENC_DEG:  4.81, REF:  0.00, VEL_RAW:  0.29, VEL_AVG:  0.07, I: -2.12, D: -0.04, VEL_OUT: -5.27, MS_MPC: 22091.43, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.98, gz: -0.52, OX:  0.02
1746526682.2673469 N:   15, t: 23863792, dt: 19540, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.06, I: -2.57, D:  0.34, VEL_OUT: -2.36, MS_MPC: 22076.06, ax:  0.00, ay: -0.01, az:  0.99, gx:  0.55, gy:  0.85, gz: -0.09, OX:  0.01
1746526682.3072143 N:   16, t: 23885019, dt: 21227, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  2.07, VEL_AVG:  0.11, I: -2.68, D: -0.06, VEL_OUT: -7.08, MS_MPC: 22086.31, ax:  0.00, ay: -0.01, az:  0.99, gx:  0.67, gy:  0.31, gz:  0.34, OX:  0.07
1746526682.3131058 N:   17, t: 23903990, dt: 18971, ENC_DEG:  4.77, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.02, I: -2.70, D:  0.10, VEL_OUT: -4.62, MS_MPC: 22081.18, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.67, gy:  0.18, gz: -0.09, OX: -0.00
1746526682.361098  N:   18, t: 23924291, dt: 20301, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.11, I: -2.81, D: -0.09, VEL_OUT: -7.60, MS_MPC: 22086.31, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.37, gz:  0.21, OX:  0.09
1746526682.367712  N:   19, t: 23942811, dt: 18520, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -2.37, VEL_AVG: -0.09, I: -2.90, D:  0.02, VEL_OUT: -6.51, MS_MPC: 22076.06, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.06, gz:  0.21, OX:  0.02
1746526682.3738432 N:   20, t: 23963062, dt: 20251, ENC_DEG:  4.73, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.18, I: -3.08, D: -0.09, VEL_OUT: -8.86, MS_MPC: 22070.94, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.06, gz:  0.46, OX: -0.03
1746526682.3798175 N:   21, t: 23983758, dt: 20696, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  2.12, VEL_AVG: -0.18, I: -3.26, D: -0.00, VEL_OUT: -8.40, MS_MPC: 22081.18, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.73, gy: -0.12, gz:  0.70, OX: -0.04
1746526682.427257  N:   22, t: 24002987, dt: 19229, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -3.36, D:  0.09, VEL_OUT: -6.77, MS_MPC: 22081.18, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.85, gy:  0.12, gz:  1.50, OX:  0.02
1746526682.4327116 N:   23, t: 24023294, dt: 20307, ENC_DEG:  4.73, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.38, I: -3.73, D: -0.28, VEL_OUT: -14.05, MS_MPC: 22070.94, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.73, gy:  0.12, gz:  1.68, OX:  0.06
1746526682.4864547 N:   24, t: 24042619, dt: 19325, ENC_DEG:  4.81, REF:  0.00, VEL_RAW:  4.55, VEL_AVG:  0.00, I: -3.74, D:  0.37, VEL_OUT: -3.77, MS_MPC: 22091.43, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.67, gy:  0.00, gz:  1.19, OX:  0.02
1746526682.4931452 N:   25, t: 24064231, dt: 21612, ENC_DEG:  4.77, REF:  0.00, VEL_RAW: -2.03, VEL_AVG: -0.19, I: -3.93, D: -0.19, VEL_OUT: -11.65, MS_MPC: 22081.18, ax: -0.01, ay:  0.01, az:  1.00, gx: -0.37, gy:  0.31, gz:  0.58, OX: -0.06
1746526682.4985018 N:   26, t: 24084299, dt: 20068, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.10, I: -4.03, D:  0.09, VEL_OUT: -8.16, MS_MPC: 22076.06, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.00, gz:  0.34, OX: -0.08
1746526682.505244  N:   27, t: 24102461, dt: 18162, ENC_DEG:  4.73, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.11, I: -4.14, D: -0.01, VEL_OUT: -9.42, MS_MPC: 22070.94, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.12, gz:  0.89, OX:  0.17
1746526682.5476968 N:   28, t: 24122610, dt: 20149, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -4.42, D: -0.17, VEL_OUT: -13.36, MS_MPC: 22070.94, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.06, gz:  0.46, OX:  0.03
1746526682.6042345 N:   29, t: 24142967, dt: 20357, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  2.16, VEL_AVG: -0.00, I: -4.42, D:  0.28, VEL_OUT: -6.12, MS_MPC: 22081.18, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.43, gy:  0.24, gz: -0.58, OX: -0.04
1746526682.610255  N:   30, t: 24163276, dt: 20309, ENC_DEG:  4.81, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.09, I: -4.51, D: -0.08, VEL_OUT: -10.70, MS_MPC: 22091.43, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.92, gy:  0.43, gz: -0.82, OX: -0.10
1746526682.664458  N:   31, t: 24184902, dt: 21626, ENC_DEG:  4.77, REF:  0.00, VEL_RAW: -2.03, VEL_AVG:  0.11, I: -4.62, D: -0.03, VEL_OUT: -10.67, MS_MPC: 22081.18, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.67, gy:  0.37, gz: -0.40, OX: -0.06
1746526682.6708536 N:   32, t: 24203084, dt: 18182, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.10, I: -4.73, D:  0.01, VEL_OUT: -10.39, MS_MPC: 22076.06, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.61, gy:  0.18, gz: -0.21, OX:  0.04
1746526682.7870603 N:   33, t: 24228616, dt: 25532, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  0.86, VEL_AVG: -0.00, I: -4.73, D:  0.10, VEL_OUT: -8.43, MS_MPC: 22081.18, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy:  0.12, gz:  0.03, OX:  0.04
