1746526793.189391  N:    0, t: 26270869, dt: 26270869, ENC_DEG: 33.60, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.11, I: -0.11, D: -0.11, VEL_OUT: -2.34, MS_MPC: 27647.91, ax:  0.05, ay: -0.02, az:  0.96, gx:  2.44, gy: -3.30, gz: -3.05, OX:  0.03
1746526793.1953754 N:    1, t: 26291195, dt: 20326, ENC_DEG: 33.58, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.02, I: -0.12, D:  0.09, VEL_OUT:  0.49, MS_MPC: 27644.72, ax:  0.04, ay: -0.02, az:  0.98, gx:  3.54, gy: -3.36, gz: -3.11, OX:  0.16
1746526793.2013981 N:    2, t: 26315484, dt: 24289, ENC_DEG: 33.62, REF:  0.00, VEL_RAW:  1.81, VEL_AVG:  0.17, I: -0.29, D: -0.15, VEL_OUT: -3.76, MS_MPC: 27651.08, ax:  0.03, ay:  0.00, az:  0.99, gx:  3.66, gy: -2.93, gz: -4.27, OX:  0.16
1746526793.248006  N:    3, t: 26331264, dt: 15780, ENC_DEG: 33.60, REF:  0.00, VEL_RAW: -1.39, VEL_AVG:  0.05, I: -0.34, D:  0.12, VEL_OUT: -0.04, MS_MPC: 27647.91, ax:  0.04, ay:  0.01, az:  1.00, gx:  3.17, gy: -2.87, gz: -7.87, OX:  0.01
1746526793.2546685 N:    4, t: 26351780, dt: 20516, ENC_DEG: 33.60, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -0.39, D:  0.00, VEL_OUT: -1.30, MS_MPC: 27647.91, ax:  0.05, ay: -0.01, az:  1.00, gx:  3.05, gy: -3.17, gz: -8.91, OX: -0.18
1746526793.2608008 N:    5, t: 26371922, dt: 20142, ENC_DEG: 33.60, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -0.44, D:  0.00, VEL_OUT: -1.40, MS_MPC: 27647.91, ax:  0.05, ay: -0.03, az:  1.00, gx:  3.17, gy: -3.48, gz: -8.97, OX: -0.11
1746526793.308863  N:    6, t: 26393727, dt: 21805, ENC_DEG: 33.69, REF:  0.00, VEL_RAW:  4.03, VEL_AVG:  0.39, I: -0.83, D: -0.34, VEL_OUT: -8.89, MS_MPC: 27660.61, ax:  0.05, ay: -0.03, az:  1.01, gx:  2.93, gy: -3.42, gz: -8.91, OX: -0.04
1746526793.315251  N:    7, t: 26412937, dt: 19210, ENC_DEG: 33.73, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.58, I: -1.41, D: -0.19, VEL_OUT: -10.50, MS_MPC: 27666.95, ax:  0.05, ay: -0.04, az:  1.01, gx:  2.26, gy: -3.05, gz: -9.09, OX: -0.18
1746526793.3680012 N:    8, t: 26431029, dt: 18092, ENC_DEG: 33.73, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.58, I: -1.99, D:  0.00, VEL_OUT: -9.75, MS_MPC: 27666.95, ax:  0.06, ay: -0.05, az:  1.00, gx:  1.65, gy: -2.50, gz: -8.61, OX: -0.05
1746526793.3741045 N:    9, t: 26449772, dt: 18743, ENC_DEG: 33.75, REF:  0.00, VEL_RAW:  1.17, VEL_AVG:  0.68, I: -2.66, D: -0.10, VEL_OUT: -13.06, MS_MPC: 27670.12, ax:  0.05, ay: -0.05, az:  1.00, gx:  1.89, gy: -2.26, gz: -8.30, OX: -0.10
1746526793.4246383 N:   10, t: 26472933, dt: 23161, ENC_DEG: 33.73, REF:  0.00, VEL_RAW: -0.95, VEL_AVG:  0.60, I: -3.26, D:  0.08, VEL_OUT: -11.69, MS_MPC: 27666.95, ax:  0.06, ay: -0.07, az:  1.00, gx:  1.77, gy: -1.89, gz: -7.57, OX: -0.17
1746526793.4312663 N:   12, t: 26510332, dt: 19090, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.79, I: -5.05, D:  0.20, VEL_OUT: -16.01, MS_MPC: 27676.45, ax:  0.05, ay: -0.09, az:  1.01, gx:  1.10, gy: -2.26, gz: -2.56, OX: -0.01
1746526793.4375956 N:   13, t: 26530893, dt: 20561, ENC_DEG: 33.88, REF:  0.00, VEL_RAW:  4.27, VEL_AVG:  1.24, I: -6.29, D: -0.45, VEL_OUT: -29.44, MS_MPC: 27689.09, ax:  0.05, ay: -0.09, az:  1.01, gx:  1.16, gy: -2.20, gz: -0.12, OX:  0.01
1746526793.4445179 N:   14, t: 26549889, dt: 18996, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -4.63, VEL_AVG:  0.70, I: -6.99, D:  0.54, VEL_OUT: -15.66, MS_MPC: 27676.45, ax:  0.04, ay: -0.07, az:  1.02, gx:  1.16, gy: -1.71, gz:  2.26, OX:  0.22
1746526793.4521532 N:   15, t: 26570885, dt: 20996, ENC_DEG: 33.77, REF:  0.00, VEL_RAW: -1.05, VEL_AVG:  0.73, I: -7.73, D: -0.03, VEL_OUT: -23.07, MS_MPC: 27673.28, ax:  0.03, ay: -0.05, az:  1.00, gx:  1.53, gy: -0.31, gz:  3.17, OX:  0.04
1746526793.4890122 N:   16, t: 26595590, dt: 24705, ENC_DEG: 33.84, REF:  0.00, VEL_RAW:  2.67, VEL_AVG:  0.96, I: -8.68, D: -0.22, VEL_OUT: -29.14, MS_MPC: 27682.77, ax:  0.04, ay: -0.06, az:  1.00, gx:  2.08, gy: -0.43, gz:  3.05, OX: -0.14
1746526793.5466053 N:   17, t: 26610908, dt: 15318, ENC_DEG: 33.84, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.96, I: -9.64, D:  0.00, VEL_OUT: -28.82, MS_MPC: 27682.77, ax:  0.04, ay: -0.07, az:  1.00, gx:  2.62, gy: -0.61, gz:  3.97, OX: -0.11
1746526793.5526314 N:   18, t: 26629856, dt: 18948, ENC_DEG: 33.82, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.52, I: -10.16, D:  0.43, VEL_OUT: -21.22, MS_MPC: 27679.62, ax:  0.04, ay: -0.06, az:  1.01, gx:  2.75, gy: -0.92, gz:  5.43, OX:  0.19
1746526793.5586588 N:   19, t: 26650821, dt: 20965, ENC_DEG: 33.77, REF:  0.00, VEL_RAW: -2.10, VEL_AVG:  0.16, I: -10.32, D:  0.37, VEL_OUT: -18.55, MS_MPC: 27673.28, ax:  0.06, ay: -0.06, az:  1.02, gx:  2.99, gy: -0.43, gz:  5.74, OX:  0.02
1746526793.606809  N:   20, t: 26671017, dt: 20196, ENC_DEG: 33.82, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.34, I: -10.65, D: -0.18, VEL_OUT: -26.51, MS_MPC: 27679.62, ax:  0.07, ay: -0.05, az:  1.03, gx:  2.50, gy: -0.73, gz:  5.68, OX:  0.17
1746526793.6128554 N:   21, t: 26689647, dt: 18630, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -1.18, VEL_AVG:  0.14, I: -10.80, D:  0.20, VEL_OUT: -21.06, MS_MPC: 27676.45, ax:  0.07, ay: -0.04, az:  1.04, gx:  1.95, gy: -0.24, gz:  4.09, OX:  0.04
1746526793.6190019 N:   22, t: 26710497, dt: 20850, ENC_DEG: 33.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -11.02, D: -0.08, VEL_OUT: -25.04, MS_MPC: 27676.45, ax:  0.06, ay: -0.04, az:  1.03, gx:  1.59, gy: -0.12, gz:  2.81, OX: -0.03
1746526793.6249518 N:   23, t: 26730776, dt: 20279, ENC_DEG: 33.86, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.09, I: -11.11, D:  0.13, VEL_OUT: -21.86, MS_MPC: 27685.93, ax:  0.06, ay: -0.05, az:  1.02, gx:  1.28, gy:  0.24, gz:  1.65, OX: -0.06
1746526793.668746  N:   24, t: 26750719, dt: 19943, ENC_DEG: 33.82, REF:  0.00, VEL_RAW: -2.20, VEL_AVG:  0.00, I: -11.12, D:  0.09, VEL_OUT: -21.40, MS_MPC: 27679.62, ax:  0.05, ay: -0.06, az:  0.99, gx:  0.85, gy:  1.16, gz:  0.92, OX: -0.13
1746526793.6747189 N:   25, t: 26775579, dt: 24860, ENC_DEG: 33.88, REF:  0.00, VEL_RAW:  2.65, VEL_AVG: -0.13, I: -11.25, D: -0.13, VEL_OUT: -25.05, MS_MPC: 27689.09, ax:  0.05, ay: -0.07, az:  0.97, gx:  0.37, gy:  1.04, gz:  0.92, OX: -0.07
1746526793.6808095 N:   26, t: 26790896, dt: 15317, ENC_DEG: 33.84, REF:  0.00, VEL_RAW: -2.87, VEL_AVG:  0.02, I: -11.26, D:  0.11, VEL_OUT: -21.54, MS_MPC: 27682.77, ax:  0.03, ay: -0.07, az:  0.98, gx:  0.00, gy:  0.73, gz:  1.53, OX:  0.01
1746526793.7279394 N:   27, t: 26809941, dt: 19045, ENC_DEG: 33.77, REF:  0.00, VEL_RAW: -3.46, VEL_AVG: -0.19, I: -11.45, D: -0.17, VEL_OUT: -26.44, MS_MPC: 27673.28, ax:  0.02, ay: -0.07, az:  0.99, gx: -0.31, gy:  0.61, gz:  1.65, OX:  0.06
1746526793.7872653 N:   28, t: 26829613, dt: 19672, ENC_DEG: 33.91, REF:  0.00, VEL_RAW:  6.70, VEL_AVG:  0.15, I: -11.60, D:  0.03, VEL_OUT: -24.36, MS_MPC: 27692.23, ax:  0.01, ay: -0.06, az:  1.01, gx:  0.00, gy:  0.92, gz:  1.95, OX:  0.05
1746526793.793322  N:   29, t: 26849920, dt: 20307, ENC_DEG: 33.84, REF:  0.00, VEL_RAW: -3.25, VEL_AVG: -0.12, I: -11.72, D:  0.03, VEL_OUT: -24.32, MS_MPC: 27682.77, ax:  0.03, ay: -0.06, az:  1.01, gx:  0.00, gy:  0.85, gz:  1.83, OX:  0.03
1746526793.799343  N:   30, t: 26870907, dt: 20987, ENC_DEG: 33.82, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.11, I: -11.83, D:  0.01, VEL_OUT: -24.66, MS_MPC: 27679.62, ax:  0.03, ay: -0.06, az:  1.01, gx:  0.00, gy:  0.06, gz:  2.62, OX:  0.05
1746526793.8055396 N:   31, t: 26891017, dt: 20110, ENC_DEG: 33.80, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.03, I: -11.85, D:  0.08, VEL_OUT: -23.14, MS_MPC: 27676.45, ax:  0.03, ay: -0.05, az:  1.01, gx:  0.06, gy:  0.06, gz:  3.66, OX:  0.18
