1746526903.5312095 N:    0, t: 39711907, dt: 39711907, ENC_DEG: 40.19, REF:  0.00, VEL_RAW:  1.01, VEL_AVG:  0.08, I: -0.08, D: -0.08, VEL_OUT: -1.86, MS_MPC: 28507.87, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -1.01, gz: -0.49, OX: -0.00
1746526903.5859106 N:    1, t: 39731565, dt: 19658, ENC_DEG: 40.17, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.01, I: -0.09, D:  0.08, VEL_OUT:  0.48, MS_MPC: 28505.33, ax: -0.01, ay:  0.00, az:  1.01, gx:  0.12, gy: -0.89, gz: -0.37, OX:  0.03
1746526903.5918946 N:    2, t: 39753718, dt: 22153, ENC_DEG: 40.21, REF:  0.00, VEL_RAW:  1.98, VEL_AVG:  0.16, I: -0.25, D: -0.15, VEL_OUT: -3.54, MS_MPC: 28510.40, ax: -0.00, ay:  0.01, az:  1.01, gx:  0.12, gy: -0.34, gz: -0.31, OX:  0.04
1746526903.596885  N:    3, t: 39771263, dt: 17545, ENC_DEG: 40.23, REF:  0.00, VEL_RAW:  1.25, VEL_AVG:  0.26, I: -0.51, D: -0.10, VEL_OUT: -4.67, MS_MPC: 28512.93, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.52, gz: -0.18, OX:  0.06
1746526903.6507254 N:    4, t: 39796457, dt: 25194, ENC_DEG: 40.17, REF:  0.00, VEL_RAW: -2.62, VEL_AVG:  0.04, I: -0.55, D:  0.22, VEL_OUT:  0.65, MS_MPC: 28505.33, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.64, gz: -0.49, OX: -0.17
1746526903.656711  N:    5, t: 39816660, dt: 20203, ENC_DEG: 40.19, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.13, I: -0.69, D: -0.09, VEL_OUT: -3.61, MS_MPC: 28507.87, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.06, gy: -0.95, gz: -0.61, OX: -0.03
1746526903.6626945 N:    6, t: 39832027, dt: 15367, ENC_DEG: 40.17, REF:  0.00, VEL_RAW: -1.43, VEL_AVG:  0.01, I: -0.70, D:  0.12, VEL_OUT: -0.35, MS_MPC: 28505.33, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.00, gy: -0.70, gz: -0.49, OX: -0.08
1746526903.6687136 N:    7, t: 39852281, dt: 20254, ENC_DEG: 40.12, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.17, I: -0.87, D: -0.15, VEL_OUT: -4.92, MS_MPC: 28500.25, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.34, gz:  0.43, OX:  0.11
1746526903.7048655 N:    8, t: 39871401, dt: 19120, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.07, I: -0.94, D:  0.10, VEL_OUT: -1.63, MS_MPC: 28502.79, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.67, gy: -0.21, gz:  0.55, OX: -0.05
1746526903.7098627 N:    9, t: 39893256, dt: 21855, ENC_DEG: 40.17, REF:  0.00, VEL_RAW:  1.00, VEL_AVG:  0.01, I: -0.95, D:  0.06, VEL_OUT: -1.46, MS_MPC: 28505.33, ax:  0.00, ay:  0.00, az:  1.01, gx: -1.04, gy: -0.76, gz:  1.16, OX:  0.08
1746526903.7653458 N:   10, t: 39911795, dt: 18539, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.09, I: -1.04, D: -0.07, VEL_OUT: -3.66, MS_MPC: 28502.79, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.73, gy: -0.58, gz:  0.98, OX: -0.08
