1746526025.121345  N:    0, t: 88939673, dt: 88939673, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  0.31, VEL_AVG:  0.03, I: -0.03, D: -0.03, VEL_OUT: -0.57, MS_MPC: 26738.78, ax:  0.00, ay: -0.01, az:  0.99, gx: -0.12, gy:  0.67, gz: -0.15, OX: -0.13
1746526025.177403  N:    1, t: 88959987, dt: 20314, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.21, I: -0.23, D: -0.18, VEL_OUT: -4.33, MS_MPC: 26746.12, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.49, gy:  0.37, gz: -0.03, OX:  0.02
1746526025.1825192 N:    2, t: 88980564, dt: 20577, ENC_DEG: 27.73, REF:  0.00, VEL_RAW: -4.27, VEL_AVG: -0.15, I: -0.38, D:  0.06, VEL_OUT: -1.69, MS_MPC: 26731.44, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.79, gy:  0.24, gz: -0.21, OX: -0.00
1746526025.188164  N:    3, t: 89000879, dt: 20315, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  3.24, VEL_AVG:  0.12, I: -0.50, D:  0.03, VEL_OUT: -1.92, MS_MPC: 26742.45, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.98, gy:  0.98, gz: -0.21, OX: -0.01
1746526025.1941495 N:    4, t: 89022250, dt: 21371, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.21, I: -0.71, D: -0.09, VEL_OUT: -4.34, MS_MPC: 26746.12, ax:  0.00, ay: -0.01, az:  1.00, gx:  1.10, gy:  0.79, gz:  0.27, OX: -0.03
1746526025.295962  N:    5, t: 89040859, dt: 18609, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -1.18, VEL_AVG:  0.11, I: -0.82, D:  0.10, VEL_OUT: -1.73, MS_MPC: 26742.45, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.85, gy:  0.43, gz:  0.34, OX: -0.01
1746526025.3019543 N:    6, t: 89062419, dt: 21560, ENC_DEG: 27.75, REF:  0.00, VEL_RAW: -2.04, VEL_AVG: -0.06, I: -0.88, D:  0.05, VEL_OUT: -1.91, MS_MPC: 26735.11, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.85, gy:  0.49, gz:  0.09, OX: -0.06
1746526025.3078997 N:    7, t: 89081727, dt: 19308, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.03, I: -0.91, D:  0.03, VEL_OUT: -1.87, MS_MPC: 26738.78, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.55, gy:  0.43, gz:  0.09, OX: -0.30
1746526025.313914  N:    8, t: 89100001, dt: 18274, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  2.40, VEL_AVG:  0.23, I: -1.15, D: -0.20, VEL_OUT: -6.63, MS_MPC: 26746.12, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.12, gy:  0.06, gz:  0.27, OX: -0.01
1746526025.320864  N:   10, t: 89145178, dt: 24186, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.13, I: -1.34, D: -0.08, VEL_OUT: -4.78, MS_MPC: 26742.45, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.49, gy:  0.18, gz:  0.34, OX: -0.12
1746526025.3261087 N:   11, t: 89162218, dt: 17040, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -1.29, VEL_AVG:  0.03, I: -1.37, D:  0.11, VEL_OUT: -1.93, MS_MPC: 26738.78, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.85, gy: -0.06, gz:  0.58, OX: -0.00
1746526025.3596976 N:   12, t: 89181673, dt: 19455, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.10, I: -1.46, D: -0.07, VEL_OUT: -4.56, MS_MPC: 26742.45, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.92, gy: -0.18, gz:  0.89, OX:  0.18
1746526025.3656914 N:   13, t: 89202727, dt: 21054, ENC_DEG: 27.75, REF:  0.00, VEL_RAW: -2.09, VEL_AVG: -0.26, I: -1.72, D: -0.16, VEL_OUT: -7.66, MS_MPC: 26735.11, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.85, gy:  0.00, gz:  0.95, OX:  0.02
1746526025.4207385 N:   14, t: 89223577, dt: 20850, ENC_DEG: 27.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -1.82, D:  0.16, VEL_OUT: -2.99, MS_MPC: 26735.11, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.61, gy:  0.06, gz:  0.95, OX: -0.08
1746526025.4267259 N:   15, t: 89242826, dt: 19249, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.08, I: -1.90, D:  0.02, VEL_OUT: -4.38, MS_MPC: 26738.78, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.61, gy: -0.31, gz:  0.70, OX: -0.01
1746526025.4327486 N:   16, t: 89261009, dt: 18183, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  2.42, VEL_AVG:  0.04, I: -1.93, D:  0.04, VEL_OUT: -3.84, MS_MPC: 26746.12, ax:  0.00, ay: -0.01, az:  0.99, gx: -0.43, gy: -0.18, gz:  0.40, OX:  0.08
1746526025.479433  N:   17, t: 89286183, dt: 25174, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -1.75, VEL_AVG: -0.01, I: -1.94, D:  0.03, VEL_OUT: -3.70, MS_MPC: 26738.78, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.06, gy:  0.06, gz:  0.03, OX: -0.03
1746526025.6572785 N:   18, t: 89304010, dt: 17827, ENC_DEG: 27.75, REF:  0.00, VEL_RAW: -1.23, VEL_AVG:  0.06, I: -2.00, D: -0.05, VEL_OUT: -5.06, MS_MPC: 26735.11, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.37, gz:  0.03, OX:  0.07
1746526025.6622434 N:   19, t: 89324209, dt: 20199, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.14, I: -2.14, D: -0.09, VEL_OUT: -6.59, MS_MPC: 26742.45, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.06, gy: -0.12, gz: -0.52, OX: -0.08
1746526025.6685505 N:   20, t: 89343163, dt: 18954, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.04, I: -2.18, D:  0.10, VEL_OUT: -3.73, MS_MPC: 26746.12, ax:  0.00, ay: -0.02, az:  1.01, gx: -0.18, gy: -0.06, gz: -0.09, OX: -0.03
1746526025.674337  N:   21, t: 89362171, dt: 19008, ENC_DEG: 27.80, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.12, I: -2.30, D: -0.08, VEL_OUT: -6.57, MS_MPC: 26742.45, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.12, gy:  0.31, gz:  0.52, OX: -0.00
1746526025.6803844 N:   24, t: 89420538, dt: 17121, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  2.57, VEL_AVG:  0.23, I: -2.97, D: -0.12, VEL_OUT: -9.41, MS_MPC: 26746.12, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.49, gy: -0.18, gz:  0.89, OX: -0.15
1746526025.839964  N:   25, t: 89520610, dt: 100072, ENC_DEG: 27.86, REF:  0.00, VEL_RAW:  0.44, VEL_AVG:  0.44, I: -3.41, D: -0.21, VEL_OUT: -13.30, MS_MPC: 26753.44, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.67, gz:  0.40, OX:  0.32
1746526025.8459494 N:   26, t: 89546165, dt: 25555, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -3.44, VEL_AVG:  0.15, I: -3.56, D:  0.29, VEL_OUT: -5.77, MS_MPC: 26738.78, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.49, gy:  0.18, gz:  0.09, OX: -0.03
1746526025.8993125 N:   27, t: 89565187, dt: 19022, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  2.31, VEL_AVG:  0.25, I: -3.81, D: -0.10, VEL_OUT: -11.08, MS_MPC: 26746.12, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.55, gy:  0.37, gz:  0.15, OX: -0.02
