1746526287.2055962 N:    0, t: 25366620, dt: 25366620, ENC_DEG: 13.89, REF:  0.00, VEL_RAW:  0.55, VEL_AVG:  0.05, I: -0.05, D: -0.05, VEL_OUT: -1.00, MS_MPC: 24105.47, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.55, gy:  1.07, gz:  0.31, OX:  0.03
1746526287.211626  N:    1, t: 25391978, dt: 25358, ENC_DEG: 13.98, REF:  0.00, VEL_RAW:  3.47, VEL_AVG:  0.33, I: -0.38, D: -0.29, VEL_OUT: -6.99, MS_MPC: 24123.95, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.18, gy:  1.13, gz:  0.37, OX:  0.02
1746526287.2618008 N:    2, t: 25409288, dt: 17310, ENC_DEG: 13.93, REF:  0.00, VEL_RAW: -2.54, VEL_AVG:  0.12, I: -0.50, D:  0.21, VEL_OUT: -0.12, MS_MPC: 24114.71, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.24, gy:  1.50, gz:  0.31, OX:  0.03
1746526287.2676206 N:    3, t: 25426708, dt: 17420, ENC_DEG: 13.91, REF:  0.00, VEL_RAW: -1.26, VEL_AVG:  0.02, I: -0.52, D:  0.11, VEL_OUT: -0.17, MS_MPC: 24110.10, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.49, gy:  1.98, gz:  0.73, OX: -0.15
1746526287.2736452 N:    4, t: 25447047, dt: 20339, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.20, I: -0.72, D: -0.18, VEL_OUT: -5.22, MS_MPC: 24119.33, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  2.17, gz:  1.04, OX: -0.06
1746526287.2810683 N:    5, t: 25469016, dt: 21969, ENC_DEG: 13.93, REF:  0.00, VEL_RAW: -1.00, VEL_AVG:  0.11, I: -0.83, D:  0.08, VEL_OUT: -1.98, MS_MPC: 24114.71, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.43, gy:  2.11, gz:  1.10, OX: -0.00
1746526287.3809156 N:    6, t: 25486806, dt: 17790, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -2.47, VEL_AVG: -0.09, I: -0.92, D:  0.02, VEL_OUT: -2.53, MS_MPC: 24105.47, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.85, gy:  2.11, gz:  1.34, OX: -0.01
1746526287.3869107 N:    7, t: 25507056, dt: 20250, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.00, I: -0.93, D:  0.09, VEL_OUT: -0.96, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.79, gy:  2.29, gz:  1.65, OX:  0.02
1746526287.392888  N:    8, t: 25531659, dt: 24603, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -0.89, VEL_AVG: -0.08, I: -1.00, D: -0.07, VEL_OUT: -3.50, MS_MPC: 24105.47, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.67, gy:  1.80, gz:  1.22, OX: -0.01
1746526287.3987107 N:    9, t: 25546800, dt: 15141, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  2.90, VEL_AVG:  0.17, I: -1.17, D: -0.09, VEL_OUT: -4.91, MS_MPC: 24114.71, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.79, gy:  1.56, gz:  0.98, OX: -0.05
1746526287.404524  N:   11, t: 25585480, dt: 19447, ENC_DEG: 13.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -1.22, D:  0.00, VEL_OUT: -2.67, MS_MPC: 24105.47, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.67, gy:  0.64, gz:  0.67, OX:  0.00
1746526287.4418058 N:   12, t: 25606991, dt: 21511, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.02, I: -1.23, D:  0.01, VEL_OUT: -2.53, MS_MPC: 24110.10, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.52, gz: -0.06, OX:  0.01
1746526287.5012255 N:   13, t: 25626050, dt: 19059, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.37, I: -1.60, D: -0.35, VEL_OUT: -10.43, MS_MPC: 24105.47, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.58, gz: -0.24, OX: -0.01
1746526287.507095  N:   14, t: 25648700, dt: 22650, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  0.97, VEL_AVG: -0.08, I: -1.68, D:  0.29, VEL_OUT: -1.20, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.03, gz: -0.18, OX: -0.11
1746526287.5137436 N:   15, t: 25666728, dt: 18028, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -1.71, D:  0.05, VEL_OUT: -3.21, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.03, gz: -0.06, OX:  0.03
1746526287.5192814 N:   16, t: 25686720, dt: 19992, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -1.86, D: -0.12, VEL_OUT: -6.47, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.09, gz: -0.67, OX: -0.05
1746526287.5259466 N:   17, t: 25707409, dt: 20689, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.16, I: -2.01, D: -0.01, VEL_OUT: -5.65, MS_MPC: 24105.47, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.09, gz: -0.49, OX:  0.01
1746526287.6197433 N:   18, t: 25727758, dt: 20349, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.23, I: -2.24, D: -0.07, VEL_OUT: -7.49, MS_MPC: 24114.71, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.21, gz: -0.55, OX:  0.01
