1746526524.2066507 N:    0, t: 29845757, dt: 29845757, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  0.11, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.21, MS_MPC: 21751.10, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.52, gy:  0.61, gz:  0.43, OX:  0.08
1746526524.212682  N:    1, t: 29864861, dt: 19104, ENC_DEG:  3.39, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.11, I: -0.11, D: -0.10, VEL_OUT: -2.24, MS_MPC: 21756.29, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.21, gy:  0.79, gz:  0.06, OX:  0.09
1746526524.382553  N:    2, t: 29887588, dt: 22727, ENC_DEG:  3.32, REF:  0.00, VEL_RAW: -2.90, VEL_AVG: -0.14, I: -0.25, D: -0.03, VEL_OUT: -2.18, MS_MPC: 21740.71, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.15, gy:  0.49, gz: -0.92, OX: -0.16
1746526524.388521  N:    3, t: 29905850, dt: 18262, ENC_DEG:  3.41, REF:  0.00, VEL_RAW:  4.81, VEL_AVG:  0.26, I: -0.52, D: -0.13, VEL_OUT: -4.96, MS_MPC: 21761.48, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.09, gy:  0.06, gz: -1.59, OX: -0.11
1746526524.4998012 N:    4, t: 29924949, dt: 19099, ENC_DEG:  3.36, REF:  0.00, VEL_RAW: -2.30, VEL_AVG:  0.07, I: -0.59, D:  0.19, VEL_OUT:  0.01, MS_MPC: 21751.10, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.15, gy: -0.06, gz: -0.61, OX:  0.00
1746526524.623078  N:    5, t: 29945910, dt: 20961, ENC_DEG:  3.32, REF:  0.00, VEL_RAW: -2.10, VEL_AVG: -0.10, I: -0.69, D: -0.03, VEL_OUT: -2.69, MS_MPC: 21740.71, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.21, gy: -0.06, gz:  0.49, OX:  0.01
1746526524.6290648 N:    8, t: 30006457, dt: 21270, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -3.10, VEL_AVG:  0.01, I: -0.97, D:  0.26, VEL_OUT:  0.58, MS_MPC: 21745.90, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.76, gy:  0.24, gz:  0.55, OX:  0.00
1746526524.744102  N:    9, t: 30084960, dt: 78503, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  0.28, VEL_AVG:  0.03, I: -1.00, D: -0.02, VEL_OUT: -2.53, MS_MPC: 21751.10, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.09, gy:  0.37, gz: -0.61, OX:  0.02
1746526524.749272  N:   12, t: 30146398, dt: 17128, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.05, I: -1.13, D: -0.01, VEL_OUT: -2.83, MS_MPC: 21751.10, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.03, gy:  0.55, gz: -0.24, OX: -0.01
1746526524.7552588 N:   14, t: 30226187, dt: 21243, ENC_DEG:  3.30, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.05, I: -1.28, D:  0.06, VEL_OUT: -2.47, MS_MPC: 21735.52, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.15, gy:  0.18, gz:  0.18, OX:  0.00
1746526524.7622447 N:   15, t: 30330353, dt: 104166, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  0.63, VEL_AVG: -0.30, I: -1.58, D: -0.25, VEL_OUT: -8.66, MS_MPC: 21751.10, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.15, gy:  0.00, gz: -0.67, OX: -0.12
1746526524.767228  N:   18, t: 30387395, dt: 21862, ENC_DEG:  3.34, REF:  0.00, VEL_RAW:  2.01, VEL_AVG: -0.10, I: -2.08, D:  0.07, VEL_OUT: -4.41, MS_MPC: 21745.90, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.00, gz:  0.06, OX:  0.01
