1746010294.637337  N:    0, t: 76099372, dt: 76099372, ENC_DEG: 82.57, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.09, I: -0.09, D: -0.09, VEL_OUT: -1.99, MS_MPC: 25251.28, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.24, gz:  0.67, OX:  0.06
1746010294.6925528 N:    1, t: 76122885, dt: 23513, ENC_DEG: 82.55, REF:  0.00, VEL_RAW: -0.93, VEL_AVG:  0.01, I: -0.10, D:  0.08, VEL_OUT:  0.45, MS_MPC: 25261.04, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.61, gz:  0.37, OX:  0.02
1746010294.7557056 N:    2, t: 76139048, dt: 16163, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -0.12, D:  0.00, VEL_OUT: -0.36, MS_MPC: 25261.04, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.55, gz:  0.12, OX:  0.02
1746010294.7611763 N:    3, t: 76160454, dt: 21406, ENC_DEG: 82.53, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.07, I: -0.19, D: -0.06, VEL_OUT: -1.71, MS_MPC: 25270.79, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.67, gz:  0.12, OX: -0.01
1746010294.7680924 N:    4, t: 76178923, dt: 18469, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.17, I: -0.36, D: -0.10, VEL_OUT: -3.43, MS_MPC: 25280.52, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.06, OX: -0.00
1746010294.7740777 N:    6, t: 76221368, dt: 17170, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  3.84, VEL_AVG:  0.08, I: -0.68, D:  0.17, VEL_OUT: -0.42, MS_MPC: 25261.04, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.06, gz:  0.06, OX:  0.01
1746010294.7803292 N:    8, t: 76264704, dt: 24438, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  2.70, VEL_AVG:  0.01, I: -0.91, D:  0.21, VEL_OUT:  0.15, MS_MPC: 25261.04, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.12, gz: -0.12, OX:  0.00
1746010294.8161983 N:    9, t: 76298902, dt: 34198, ENC_DEG: 82.53, REF:  0.00, VEL_RAW: -0.64, VEL_AVG: -0.04, I: -0.95, D: -0.03, VEL_OUT: -2.69, MS_MPC: 25270.79, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.24, gz:  0.00, OX: -0.03
1746010294.8221831 N:   10, t: 76321713, dt: 22811, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -1.93, VEL_AVG: -0.20, I: -1.15, D: -0.16, VEL_OUT: -5.96, MS_MPC: 25290.24, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.06, gz:  0.18, OX: -0.02
1746010294.8288379 N:   11, t: 76339917, dt: 18204, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  2.41, VEL_AVG: -0.00, I: -1.16, D:  0.20, VEL_OUT: -0.34, MS_MPC: 25270.79, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.24, gz:  0.00, OX: -0.01
1746010294.9375    N:   12, t: 76359769, dt: 19852, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -2.21, VEL_AVG: -0.28, I: -1.44, D: -0.27, VEL_OUT: -8.40, MS_MPC: 25290.24, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.37, gz:  0.37, OX:  0.03
1746010294.9434843 N:   13, t: 76380906, dt: 21137, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  2.08, VEL_AVG: -0.03, I: -1.46, D:  0.25, VEL_OUT: -0.69, MS_MPC: 25270.79, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.24, gz:  0.31, OX:  0.02
1746010295.0564272 N:   14, t: 76400239, dt: 19333, ENC_DEG: 82.60, REF:  0.00, VEL_RAW:  3.41, VEL_AVG:  0.26, I: -1.72, D: -0.23, VEL_OUT: -8.31, MS_MPC: 25241.50, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.31, gz:  0.06, OX:  0.08
1746010295.0577598 N:   17, t: 76459194, dt: 18333, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -2.11, D: -0.07, VEL_OUT: -6.47, MS_MPC: 25280.52, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.00, gz: -0.31, OX: -0.01
1746010295.0582645 N:   18, t: 76480075, dt: 20881, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -2.27, D: -0.01, VEL_OUT: -6.36, MS_MPC: 25280.52, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.00, gz: -0.31, OX:  0.02
1746010295.0602655 N:   19, t: 76499354, dt: 19279, ENC_DEG: 82.46, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.07, I: -2.34, D:  0.10, VEL_OUT: -4.34, MS_MPC: 25299.95, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.12, gz: -0.18, OX: -0.02
1746010295.0602655 N:   20, t: 76520759, dt: 21405, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  2.05, VEL_AVG: -0.12, I: -2.46, D: -0.05, VEL_OUT: -6.66, MS_MPC: 25280.52, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.31, gz: -0.12, OX: -0.00
1746010295.0712368 N:   21, t: 76545931, dt: 25172, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -2.53, D:  0.05, VEL_OUT: -5.19, MS_MPC: 25280.52, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.06, gz:  0.12, OX:  0.07
1746010295.0832024 N:   22, t: 76564238, dt: 18307, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.01, I: -2.53, D:  0.06, VEL_OUT: -4.52, MS_MPC: 25290.24, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.12, gz: -0.31, OX:  0.02
1746010295.0841992 N:   23, t: 76580352, dt: 16114, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  4.09, VEL_AVG:  0.13, I: -2.67, D: -0.13, VEL_OUT: -7.95, MS_MPC: 25261.04, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.00, gz: -0.37, OX: -0.02
1746010295.1310754 N:   24, t: 76602883, dt: 22531, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.32, I: -2.99, D: -0.18, VEL_OUT: -11.00, MS_MPC: 25261.04, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.24, gz: -0.49, OX: -0.03
1746010295.132073  N:   25, t: 76620970, dt: 18087, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -3.64, VEL_AVG: -0.16, I: -3.14, D:  0.16, VEL_OUT: -6.28, MS_MPC: 25290.24, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.12, gz:  0.00, OX: -0.03
