1746010660.3430893 N:    0, t: 62285815, dt: 62285815, ENC_DEG: 59.04, REF:  0.00, VEL_RAW:  0.95, VEL_AVG:  0.08, I: -0.08, D: -0.08, VEL_OUT: -1.74, MS_MPC: 29610.23, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.55, gz: -0.43, OX:  0.01
1746010660.3491182 N:    1, t: 62305353, dt: 19538, ENC_DEG: 59.09, REF:  0.00, VEL_RAW:  2.25, VEL_AVG:  0.27, I: -0.35, D: -0.19, VEL_OUT: -5.23, MS_MPC: 29609.66, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.24, gz:  0.00, OX:  0.02
1746010660.354293  N:    2, t: 62324526, dt: 19173, ENC_DEG: 59.06, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.17, I: -0.52, D:  0.10, VEL_OUT: -1.79, MS_MPC: 29609.94, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.00, gy: -0.12, gz:  0.06, OX: -0.06
1746010660.3602738 N:    3, t: 62344874, dt: 20348, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -0.69, D:  0.00, VEL_OUT: -3.08, MS_MPC: 29609.94, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.18, gy: -0.12, gz:  0.31, OX: -0.03
1746010660.4016573 N:    4, t: 62365313, dt: 20439, ENC_DEG: 59.11, REF:  0.00, VEL_RAW:  2.15, VEL_AVG:  0.35, I: -1.04, D: -0.18, VEL_OUT: -7.37, MS_MPC: 29609.36, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.24, gz:  0.37, OX:  0.01
1746010660.4562786 N:    5, t: 62384829, dt: 19516, ENC_DEG: 59.06, REF:  0.00, VEL_RAW: -2.25, VEL_AVG:  0.16, I: -1.20, D:  0.19, VEL_OUT: -2.15, MS_MPC: 29609.94, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.55, gy: -0.31, gz:  0.79, OX:  0.07
1746010660.4630842 N:    6, t: 62405041, dt: 20212, ENC_DEG: 59.13, REF:  0.00, VEL_RAW:  3.26, VEL_AVG:  0.43, I: -1.63, D: -0.27, VEL_OUT: -10.33, MS_MPC: 29609.06, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.55, gy: -0.12, gz:  0.79, OX:  0.05
1746010660.468213  N:    7, t: 62427998, dt: 22957, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -3.83, VEL_AVG:  0.12, I: -1.75, D:  0.32, VEL_OUT: -1.46, MS_MPC: 29610.23, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.43, gy:  0.24, gz:  0.61, OX:  0.02
1746010660.4740822 N:    8, t: 62447102, dt: 19104, ENC_DEG: 59.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -1.86, D:  0.00, VEL_OUT: -4.88, MS_MPC: 29610.23, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.49, gz:  0.37, OX:  0.01
1746010660.4804723 N:    9, t: 62464292, dt: 17190, ENC_DEG: 59.00, REF:  0.00, VEL_RAW: -2.56, VEL_AVG: -0.10, I: -1.96, D:  0.02, VEL_OUT: -4.73, MS_MPC: 29610.78, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.31, gz:  0.55, OX:  0.01
1746010660.5220537 N:   10, t: 62485269, dt: 20977, ENC_DEG: 59.09, REF:  0.00, VEL_RAW:  4.19, VEL_AVG:  0.25, I: -2.21, D: -0.15, VEL_OUT: -8.48, MS_MPC: 29609.66, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.37, gy:  0.18, gz:  0.49, OX:  0.04
