1746010454.1198015 N:    0, t: 28982021, dt: 28982021, ENC_DEG: 82.68, REF:  0.00, VEL_RAW:  2.85, VEL_AVG:  0.24, I: -0.24, D: -0.24, VEL_OUT: -5.23, MS_MPC: 25202.22, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.64, gz:  0.49, OX:  0.02
1746010454.2335384 N:    1, t: 29002565, dt: 20544, ENC_DEG: 82.64, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.06, I: -0.30, D:  0.18, VEL_OUT:  0.59, MS_MPC: 25221.89, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.70, gz:  0.55, OX:  0.01
1746010454.3219392 N:    2, t: 29021919, dt: 19354, ENC_DEG: 82.68, REF:  0.00, VEL_RAW:  2.27, VEL_AVG:  0.25, I: -0.55, D: -0.19, VEL_OUT: -5.47, MS_MPC: 25202.22, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.40, gz:  0.49, OX: -0.02
1746010454.4156876 N:    3, t: 29041243, dt: 19324, ENC_DEG: 82.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -0.79, D:  0.00, VEL_OUT: -4.08, MS_MPC: 25202.22, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.76, gz:  0.18, OX: -0.02
1746010454.4216716 N:    4, t: 29062591, dt: 21348, ENC_DEG: 82.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -1.04, D:  0.00, VEL_OUT: -4.57, MS_MPC: 25202.22, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.64, gz:  0.37, OX:  0.02
1746010454.42965   N:    6, t: 29101263, dt: 19348, ENC_DEG: 82.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -1.16, D:  0.00, VEL_OUT: -2.92, MS_MPC: 25221.89, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.27, gz: -0.06, OX: -0.01
1746010454.4336407 N:    8, t: 29202249, dt: 16206, ENC_DEG: 82.60, REF:  0.00, VEL_RAW: -1.36, VEL_AVG: -0.08, I: -1.27, D: -0.04, VEL_OUT: -3.68, MS_MPC: 25241.50, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.15, gz:  0.06, OX: -0.01
1746010454.4416194 N:   10, t: 29262247, dt: 21341, ENC_DEG: 82.68, REF:  0.00, VEL_RAW:  2.06, VEL_AVG:  0.19, I: -1.48, D: -0.17, VEL_OUT: -6.60, MS_MPC: 25202.22, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.34, gz:  0.24, OX: -0.00
1746010454.5361845 N:   11, t: 29361796, dt: 99549, ENC_DEG: 82.64, REF:  0.00, VEL_RAW: -0.44, VEL_AVG:  0.15, I: -1.64, D:  0.04, VEL_OUT: -4.45, MS_MPC: 25221.89, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.40, gz:  0.24, OX:  0.00
1746010454.5411701 N:   12, t: 29380549, dt: 18753, ENC_DEG: 82.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -1.72, D:  0.07, VEL_OUT: -3.58, MS_MPC: 25221.89, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.70, gz:  0.43, OX:  0.00
1746010454.5471542 N:   13, t: 29402072, dt: 21523, ENC_DEG: 82.66, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.18, I: -1.90, D: -0.10, VEL_OUT: -6.56, MS_MPC: 25212.06, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.64, gz:  0.18, OX:  0.01
