1746011058.80673   N:    0, t: 24666379, dt: 24666379, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  2.99, VEL_AVG:  0.25, I: -0.25, D: -0.25, VEL_OUT: -5.48, MS_MPC: 28112.86, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.03, gy: -0.24, gz: -0.24, OX:  0.02
1746011058.9222798 N:    1, t: 24685924, dt: 19545, ENC_DEG: 73.61, REF:  0.00, VEL_RAW: -3.37, VEL_AVG: -0.03, I: -0.28, D:  0.22, VEL_OUT:  1.28, MS_MPC: 28127.10, ax: -0.00, ay:  0.00, az:  1.01, gx: -0.21, gy: -0.31, gz: -0.24, OX:  0.00
1746011058.9820714 N:    2, t: 24705213, dt: 19289, ENC_DEG: 73.63, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.06, I: -0.34, D: -0.03, VEL_OUT: -1.62, MS_MPC: 28122.37, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.09, gy:  0.24, gz: -0.43, OX: -0.07
1746011058.9880166 N:    3, t: 24729073, dt: 23860, ENC_DEG: 73.63, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -0.41, D:  0.00, VEL_OUT: -1.44, MS_MPC: 28122.37, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.03, gy:  0.49, gz: -0.12, OX: -0.02
1746011059.160271  N:    4, t: 24745052, dt: 15979, ENC_DEG: 73.61, REF:  0.00, VEL_RAW: -1.38, VEL_AVG: -0.05, I: -0.46, D:  0.01, VEL_OUT: -1.33, MS_MPC: 28127.10, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.03, gy:  0.61, gz:  0.12, OX: -0.02
1746011059.1662626 N:    6, t: 24786680, dt: 16250, ENC_DEG: 73.65, REF:  0.00, VEL_RAW:  2.70, VEL_AVG:  0.17, I: -0.68, D: -0.12, VEL_OUT: -4.32, MS_MPC: 28117.62, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.09, gy:  0.37, gz:  0.49, OX:  0.02
1746011059.1722927 N:    8, t: 24887224, dt: 22460, ENC_DEG: 73.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -1.12, D:  0.00, VEL_OUT: -4.45, MS_MPC: 28108.09, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.27, gy:  0.37, gz:  0.55, OX:  0.01
1746011059.1782067 N:    9, t: 24906232, dt: 19008, ENC_DEG: 73.61, REF:  0.00, VEL_RAW: -4.62, VEL_AVG: -0.16, I: -1.29, D:  0.06, VEL_OUT: -3.67, MS_MPC: 28127.10, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.21, gy:  0.49, gz:  0.37, OX:  0.05
1746011059.184062  N:   12, t: 24968271, dt: 22273, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  1.97, VEL_AVG: -0.17, I: -1.63, D: -0.08, VEL_OUT: -5.83, MS_MPC: 28112.86, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.15, gy:  0.37, gz:  0.00, OX: -0.07
1746011059.1911445 N:   13, t: 25084959, dt: 116688, ENC_DEG: 73.61, REF:  0.00, VEL_RAW: -0.56, VEL_AVG:  0.06, I: -1.70, D:  0.11, VEL_OUT: -2.94, MS_MPC: 28127.10, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.46, gy:  0.24, gz:  0.12, OX:  0.09
1746011059.2816687 N:   14, t: 25107805, dt: 22846, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  2.89, VEL_AVG:  0.21, I: -1.91, D: -0.15, VEL_OUT: -7.35, MS_MPC: 28112.86, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.27, gy:  0.12, gz:  0.18, OX:  0.01
1746011059.2882154 N:   15, t: 25125310, dt: 17505, ENC_DEG: 73.63, REF:  0.00, VEL_RAW: -2.51, VEL_AVG: -0.00, I: -1.91, D:  0.21, VEL_OUT: -1.75, MS_MPC: 28122.37, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.21, gy: -0.06, gz:  0.12, OX: -0.02
1746011059.29439   N:   16, t: 25145399, dt: 20089, ENC_DEG: 73.63, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -2.02, D: -0.11, VEL_OUT: -6.30, MS_MPC: 28122.37, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.21, gy: -0.12, gz:  0.37, OX:  0.02
