1746012558.7698636 N:    0, t: 54162125, dt: 54162125, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  0.68, VEL_AVG:  0.06, I: -0.06, D: -0.06, VEL_OUT: -1.25, MS_MPC: 28107.84, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.12, gz:  0.37, OX:  0.06
1746012558.775884  N:    1, t: 54180723, dt: 18598, ENC_DEG: 36.96, REF:  0.00, VEL_RAW:  1.18, VEL_AVG:  0.16, I: -0.21, D: -0.10, VEL_OUT: -2.96, MS_MPC: 28110.71, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.24, gz:  0.55, OX:  0.01
1746012558.7815018 N:    2, t: 54201799, dt: 21076, ENC_DEG: 36.87, REF:  0.00, VEL_RAW: -4.17, VEL_AVG: -0.19, I: -0.40, D: -0.04, VEL_OUT: -3.10, MS_MPC: 28099.23, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.24, gz:  0.61, OX: -0.02
1746012558.8283753 N:    3, t: 54221610, dt: 19811, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  2.22, VEL_AVG: -0.01, I: -0.41, D:  0.18, VEL_OUT:  0.95, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.24, gz:  0.61, OX: -0.00
1746012558.8343587 N:    4, t: 54240815, dt: 19205, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -0.42, D:  0.00, VEL_OUT: -0.91, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.18, gz:  0.43, OX: -0.04
1746012558.8403432 N:    5, t: 54261014, dt: 20199, ENC_DEG: 36.98, REF:  0.00, VEL_RAW:  3.26, VEL_AVG:  0.26, I: -0.68, D: -0.26, VEL_OUT: -6.59, MS_MPC: 28113.57, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.31, gz:  0.55, OX: -0.00
1746012558.8888662 N:    6, t: 54284120, dt: 23106, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -2.85, VEL_AVG:  0.03, I: -0.71, D:  0.24, VEL_OUT:  0.69, MS_MPC: 28104.97, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.37, gz:  0.67, OX:  0.01
1746012558.8947017 N:    7, t: 54303185, dt: 19065, ENC_DEG: 36.89, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.07, I: -0.78, D: -0.04, VEL_OUT: -2.67, MS_MPC: 28102.11, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.37, gz:  0.49, OX: -0.01
1746012558.900716  N:    8, t: 54321278, dt: 18093, ENC_DEG: 36.98, REF:  0.00, VEL_RAW:  4.86, VEL_AVG:  0.34, I: -1.12, D: -0.27, VEL_OUT: -8.25, MS_MPC: 28113.57, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.31, gz:  0.43, OX:  0.01
1746012558.9484847 N:    9, t: 54345739, dt: 24461, ENC_DEG: 36.87, REF:  0.00, VEL_RAW: -4.49, VEL_AVG: -0.04, I: -1.15, D:  0.30, VEL_OUT:  0.28, MS_MPC: 28099.23, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.06, gz:  0.18, OX:  0.01
1746012558.9542274 N:   10, t: 54362820, dt: 17081, ENC_DEG: 36.96, REF:  0.00, VEL_RAW:  5.15, VEL_AVG:  0.39, I: -1.54, D: -0.35, VEL_OUT: -10.50, MS_MPC: 28110.71, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.31, gz:  0.31, OX: -0.02
