1746013245.1184561 N:    0, t: 25572346, dt: 25572346, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  2.98, VEL_AVG:  0.25, I: -0.25, D: -0.25, VEL_OUT: -5.46, MS_MPC: 27510.62, ax:  0.01, ay: -0.02, az:  1.00, gx:  1.22, gy:  0.06, gz: -0.92, OX: -0.04
1746013245.126436  N:    1, t: 25592665, dt: 20319, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.34, I: -0.59, D: -0.09, VEL_OUT: -5.46, MS_MPC: 27504.69, ax:  0.01, ay: -0.02, az:  1.00, gx:  1.40, gy:  0.12, gz: -0.79, OX: -0.02
1746013245.1762075 N:    2, t: 25614122, dt: 21457, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.34, I: -0.92, D:  0.00, VEL_OUT: -5.23, MS_MPC: 27504.69, ax:  0.01, ay: -0.02, az:  1.00, gx:  1.28, gy: -0.31, gz: -0.85, OX: -0.06
1746013245.182128  N:    3, t: 25633412, dt: 19290, ENC_DEG: 76.11, REF:  0.00, VEL_RAW: -3.42, VEL_AVG:  0.05, I: -0.98, D:  0.28, VEL_OUT:  0.36, MS_MPC: 27522.44, ax:  0.01, ay: -0.02, az:  1.00, gx:  1.22, gy: -0.49, gz: -0.73, OX:  0.00
1746013245.188151  N:    4, t: 25651506, dt: 18094, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.26, I: -1.23, D: -0.20, VEL_OUT: -7.05, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx:  1.16, gy: -0.79, gz: -0.61, OX: -0.05
1746013245.1940966 N:    5, t: 25672009, dt: 20503, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.26, I: -1.49, D:  0.00, VEL_OUT: -5.54, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.79, gy: -0.79, gz: -0.61, OX: -0.02
1746013245.2369826 N:    6, t: 25692171, dt: 20162, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.26, I: -1.75, D:  0.00, VEL_OUT: -6.05, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.06, gy: -0.73, gz: -0.49, OX:  0.00
1746013245.2420018 N:    7, t: 25713127, dt: 20956, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.34, I: -2.09, D: -0.09, VEL_OUT: -8.48, MS_MPC: 27504.69, ax:  0.00, ay: -0.03, az:  1.00, gx: -0.31, gy: -0.55, gz: -0.61, OX: -0.02
1746013245.2968395 N:    8, t: 25734130, dt: 21003, ENC_DEG: 76.11, REF:  0.00, VEL_RAW: -3.14, VEL_AVG:  0.08, I: -2.17, D:  0.26, VEL_OUT: -2.54, MS_MPC: 27522.44, ax:  0.01, ay: -0.03, az:  1.00, gx: -0.79, gy: -0.73, gz: -0.31, OX: -0.01
1746013245.3028877 N:    9, t: 25752402, dt: 18272, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  3.61, VEL_AVG:  0.38, I: -2.55, D: -0.30, VEL_OUT: -11.94, MS_MPC: 27504.69, ax:  0.00, ay: -0.03, az:  1.01, gx: -1.04, gy: -0.43, gz: -0.31, OX: -0.02
1746013245.3082306 N:   10, t: 25772558, dt: 20156, ENC_DEG: 76.20, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.47, I: -3.03, D: -0.09, VEL_OUT: -11.69, MS_MPC: 27498.75, ax:  0.00, ay: -0.03, az:  1.01, gx: -1.16, gy: -0.24, gz: -0.06, OX:  0.02
1746013245.314234  N:   11, t: 25791583, dt: 19025, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -3.46, VEL_AVG:  0.18, I: -3.21, D:  0.29, VEL_OUT: -5.38, MS_MPC: 27516.54, ax:  0.00, ay: -0.03, az:  1.00, gx: -1.22, gy:  0.37, gz:  0.12, OX:  0.04
1746013245.3567917 N:   12, t: 25811933, dt: 20350, ENC_DEG: 76.20, REF:  0.00, VEL_RAW:  3.24, VEL_AVG:  0.21, I: -3.42, D: -0.02, VEL_OUT: -9.11, MS_MPC: 27498.75, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.55, gy:  0.43, gz:  0.37, OX:  0.07
1746013245.3618963 N:   13, t: 25830963, dt: 19030, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -3.46, VEL_AVG: -0.17, I: -3.59, D:  0.03, VEL_OUT: -8.57, MS_MPC: 27516.54, ax: -0.00, ay: -0.02, az:  1.00, gx:  0.00, gy:  0.37, gz:  0.06, OX:  0.03
1746013245.4169319 N:   14, t: 25853672, dt: 22709, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.97, VEL_AVG: -0.09, I: -3.68, D:  0.08, VEL_OUT: -7.48, MS_MPC: 27510.62, ax: -0.00, ay: -0.02, az:  1.00, gx:  0.85, gy:  0.37, gz: -0.55, OX: -0.01
1746013245.4228647 N:   15, t: 25872664, dt: 18992, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -3.87, D: -0.10, VEL_OUT: -10.69, MS_MPC: 27510.62, ax: -0.00, ay: -0.02, az:  1.00, gx:  1.46, gy:  0.31, gz: -0.37, OX:  0.01
1746013245.4282086 N:   16, t: 25892719, dt: 20055, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -1.10, VEL_AVG: -0.10, I: -3.98, D:  0.09, VEL_OUT: -8.04, MS_MPC: 27516.54, ax:  0.00, ay: -0.02, az:  1.00, gx:  2.08, gy:  0.12, gz: -0.49, OX: -0.00
