1746013325.1577737 N:    0, t: 24396073, dt: 24396073, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  3.19, VEL_AVG:  0.27, I: -0.27, D: -0.27, VEL_OUT: -5.85, MS_MPC: 27034.38, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.37, gy:  0.12, gz:  0.15, OX: -0.03
1746013325.217102  N:    1, t: 24416633, dt: 20560, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  2.14, VEL_AVG:  0.44, I: -0.71, D: -0.18, VEL_OUT: -7.64, MS_MPC: 27020.77, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.55, gy:  0.00, gz:  0.21, OX:  0.02
1746013325.2236502 N:    2, t: 24435820, dt: 19187, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.35, I: -1.06, D:  0.10, VEL_OUT: -4.65, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.49, gy:  0.18, gz:  0.46, OX:  0.00
1746013325.2300262 N:    3, t: 24455895, dt: 20075, ENC_DEG: 77.76, REF:  0.00, VEL_RAW: -3.28, VEL_AVG:  0.07, I: -1.13, D:  0.27, VEL_OUT: -0.28, MS_MPC: 27047.93, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.73, gy: -0.18, gz:  0.40, OX:  0.02
1746013325.2360072 N:    4, t: 24476032, dt: 20137, ENC_DEG: 77.78, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.17, I: -1.30, D: -0.09, VEL_OUT: -5.16, MS_MPC: 27041.16, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.24, gz:  0.03, OX: -0.02
1746013325.2411518 N:    5, t: 24495871, dt: 19839, ENC_DEG: 77.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -1.46, D:  0.00, VEL_OUT: -4.59, MS_MPC: 27041.16, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.61, gy: -0.43, gz: -0.03, OX: -0.02
1746013325.277667  N:    6, t: 24515959, dt: 20088, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.26, I: -1.72, D: -0.09, VEL_OUT: -6.92, MS_MPC: 27034.38, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.12, gz: -0.15, OX:  0.00
1746013325.2839973 N:    7, t: 24537063, dt: 21104, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.34, I: -2.07, D: -0.09, VEL_OUT: -8.43, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.37, gy: -0.12, gz:  0.09, OX: -0.01
1746013325.339748  N:    8, t: 24555950, dt: 18887, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.34, I: -2.41, D:  0.00, VEL_OUT: -8.25, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy:  0.00, gz:  0.21, OX:  0.01
1746013325.3447733 N:    9, t: 24576061, dt: 20111, ENC_DEG: 77.76, REF:  0.00, VEL_RAW: -3.28, VEL_AVG:  0.07, I: -2.48, D:  0.27, VEL_OUT: -2.93, MS_MPC: 27047.93, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.12, gz:  0.34, OX:  0.00
1746013325.3517215 N:   10, t: 24596330, dt: 20269, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.34, I: -2.82, D: -0.27, VEL_OUT: -11.77, MS_MPC: 27027.58, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.12, gz: -0.03, OX: -0.00
1746013325.3972335 N:   11, t: 24616041, dt: 19711, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  2.23, VEL_AVG:  0.53, I: -3.35, D: -0.19, VEL_OUT: -13.83, MS_MPC: 27013.95, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.06, gy: -0.18, gz: -0.27, OX:  0.01
1746013325.4030921 N:   12, t: 24642251, dt: 26210, ENC_DEG: 77.76, REF:  0.00, VEL_RAW: -4.19, VEL_AVG: -0.09, I: -3.44, D:  0.44, VEL_OUT: -3.35, MS_MPC: 27047.93, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.12, gy: -0.18, gz: -0.21, OX: -0.00
1746013325.4092958 N:   13, t: 24657395, dt: 15144, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  2.90, VEL_AVG: -0.02, I: -3.46, D:  0.06, VEL_OUT: -6.52, MS_MPC: 27034.38, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.37, gz: -0.21, OX:  0.00
1746013325.457252  N:   14, t: 24677137, dt: 19742, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -3.53, D: -0.05, VEL_OUT: -8.25, MS_MPC: 27034.38, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy:  0.00, gz:  0.15, OX:  0.01
1746013325.4638076 N:   15, t: 24697639, dt: 20502, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.35, I: -3.88, D: -0.27, VEL_OUT: -13.94, MS_MPC: 27034.38, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.12, gz:  0.15, OX:  0.02
1746013325.4698498 N:   16, t: 24716345, dt: 18706, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -4.13, D:  0.09, VEL_OUT: -9.89, MS_MPC: 27034.38, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy:  0.24, gz:  0.34, OX: -0.00
1746013325.5187337 N:   17, t: 24738588, dt: 22243, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.99, VEL_AVG:  0.34, I: -4.47, D: -0.08, VEL_OUT: -13.12, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.24, gz:  0.58, OX: -0.02
1746013325.5247178 N:   18, t: 24756651, dt: 18063, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.45, I: -4.91, D: -0.11, VEL_OUT: -15.43, MS_MPC: 27013.95, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.31, gz:  0.64, OX:  0.03
1746013325.5307045 N:   19, t: 24776878, dt: 20227, ENC_DEG: 77.85, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.27, I: -5.19, D:  0.18, VEL_OUT: -11.31, MS_MPC: 27020.77, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.37, gz:  0.64, OX:  0.04
1746013325.6981213 N:   20, t: 24797584, dt: 20706, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -1.06, VEL_AVG:  0.18, I: -5.37, D:  0.09, VEL_OUT: -11.67, MS_MPC: 27027.58, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.12, gz:  0.27, OX:  0.03
1746013325.704118  N:   21, t: 24816865, dt: 19281, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.36, I: -5.73, D: -0.18, VEL_OUT: -16.84, MS_MPC: 27034.38, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.00, gz: -0.15, OX:  0.00
1746013325.7100892 N:   22, t: 24835953, dt: 19088, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  4.60, VEL_AVG:  0.47, I: -6.20, D: -0.11, VEL_OUT: -18.26, MS_MPC: 27007.13, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.67, gy: -0.18, gz: -0.21, OX: -0.04
1746013325.715077  N:   25, t: 24896667, dt: 20177, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -4.36, VEL_AVG:  0.14, I: -7.28, D:  0.60, VEL_OUT: -9.91, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy:  0.24, gz:  0.09, OX:  0.00
1746013325.7210584 N:   28, t: 24957228, dt: 16146, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -7.70, D:  0.00, VEL_OUT: -17.24, MS_MPC: 27020.77, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.55, gy:  0.18, gz:  0.21, OX:  0.01
1746013325.7270448 N:   29, t: 24980391, dt: 23163, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -1.90, VEL_AVG: -0.06, I: -7.75, D:  0.13, VEL_OUT: -14.77, MS_MPC: 27034.38, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.55, gy: -0.12, gz:  0.34, OX: -0.00
1746013325.756927  N:   30, t: 24997134, dt: 16743, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.26, I: -8.01, D: -0.20, VEL_OUT: -20.63, MS_MPC: 27034.38, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.18, gz:  0.40, OX:  0.00
1746013325.7636147 N:   31, t: 25016204, dt: 19070, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.26, I: -8.28, D: -0.01, VEL_OUT: -19.25, MS_MPC: 27041.16, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.18, gz:  0.34, OX:  0.00
1746013325.8173602 N:   32, t: 25038062, dt: 21858, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  2.01, VEL_AVG: -0.01, I: -8.28, D:  0.26, VEL_OUT: -14.09, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.12, gy: -0.31, gz:  0.46, OX: -0.00
1746013325.8237798 N:   33, t: 25057077, dt: 19015, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -2.31, VEL_AVG: -0.11, I: -8.39, D: -0.10, VEL_OUT: -18.81, MS_MPC: 27041.16, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy: -0.12, gz:  0.46, OX: -0.03
1746013325.8301435 N:   34, t: 25077304, dt: 20227, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.40, I: -8.79, D: -0.29, VEL_OUT: -24.50, MS_MPC: 27034.38, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy: -0.49, gz:  0.76, OX: -0.00
1746013325.9343889 N:   35, t: 25096013, dt: 18709, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  1.17, VEL_AVG: -0.22, I: -9.00, D:  0.18, VEL_OUT: -18.33, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.67, gz:  1.31, OX:  0.04
1746013325.9977398 N:   36, t: 25117406, dt: 21393, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.49, I: -9.50, D: -0.28, VEL_OUT: -26.70, MS_MPC: 27034.38, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.37, gz:  1.13, OX:  0.02
1746013326.0037236 N:   37, t: 25136356, dt: 18950, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -9.63, D:  0.36, VEL_OUT: -16.92, MS_MPC: 27034.38, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.49, gz:  1.25, OX: -0.02
1746013326.0087543 N:   38, t: 25155863, dt: 19507, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.04, I: -9.67, D:  0.09, VEL_OUT: -18.90, MS_MPC: 27041.16, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.49, gz:  1.37, OX:  0.01
1746013326.0146985 N:   40, t: 25197400, dt: 21278, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -3.10, VEL_AVG: -0.26, I: -9.93, D: -0.26, VEL_OUT: -24.99, MS_MPC: 27041.16, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.24, gz:  1.43, OX:  0.06
1746013326.0196793 N:   43, t: 25256524, dt: 19297, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  4.55, VEL_AVG:  0.47, I: -10.50, D: -0.46, VEL_OUT: -30.25, MS_MPC: 27007.13, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.24, gz:  0.70, OX: -0.07
1746013326.0268178 N:   44, t: 25278151, dt: 21627, ENC_DEG: 77.85, REF:  0.00, VEL_RAW: -2.03, VEL_AVG:  0.13, I: -10.63, D:  0.34, VEL_OUT: -19.19, MS_MPC: 27020.77, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.00, gz:  0.64, OX: -0.03
