1746017174.5776544 N:    0, t: 42433419, dt: 42433419, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  1.44, VEL_AVG:  0.12, I: -0.12, D: -0.12, VEL_OUT: -2.64, MS_MPC: 29565.65, ax:  0.04, ay:  0.00, az:  0.99, gx: -0.40, gy:  1.46, gz:  0.43, OX: -0.01
1746017174.5835876 N:    1, t: 42456740, dt: 23321, ENC_DEG: 61.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -0.24, D:  0.00, VEL_OUT: -1.68, MS_MPC: 29565.65, ax:  0.04, ay: -0.01, az:  0.98, gx: -0.21, gy:  1.34, gz:  1.71, OX:  0.03
1746017174.5895734 N:    2, t: 42475700, dt: 18960, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.31, I: -0.55, D: -0.19, VEL_OUT: -6.17, MS_MPC: 29564.21, ax:  0.03, ay:  0.02, az:  0.98, gx:  0.34, gy:  0.98, gz:  2.69, OX:  0.14
1746017174.5953271 N:    3, t: 42491988, dt: 16288, ENC_DEG: 61.09, REF:  0.00, VEL_RAW:  1.35, VEL_AVG:  0.43, I: -0.98, D: -0.11, VEL_OUT: -7.33, MS_MPC: 29563.48, ax:  0.04, ay:  0.02, az:  0.97, gx:  0.52, gy:  0.43, gz:  1.89, OX: -0.00
1746017174.602256  N:    4, t: 42513426, dt: 21438, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -3.07, VEL_AVG:  0.17, I: -1.15, D:  0.26, VEL_OUT: -1.42, MS_MPC: 29565.65, ax:  0.05, ay:  0.01, az:  0.98, gx:  0.82, gy: -0.31, gz:  1.65, OX: -0.05
1746017174.6082408 N:    5, t: 42572266, dt: 58840, ENC_DEG: 61.04, REF:  0.00, VEL_RAW:  0.37, VEL_AVG:  0.20, I: -1.35, D: -0.03, VEL_OUT: -5.01, MS_MPC: 29564.93, ax:  0.03, ay:  0.02, az:  0.99, gx:  1.68, gy:  0.06, gz:  3.05, OX:  0.23
1746017174.6403768 N:    6, t: 42598619, dt: 26353, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -0.83, VEL_AVG:  0.13, I: -1.48, D:  0.07, VEL_OUT: -3.57, MS_MPC: 29565.65, ax:  0.04, ay:  0.03, az:  0.98, gx:  2.04, gy: -0.67, gz:  2.38, OX:  0.08
1746017174.645359  N:    7, t: 42611982, dt: 13363, ENC_DEG: 61.00, REF:  0.00, VEL_RAW: -1.64, VEL_AVG: -0.01, I: -1.48, D:  0.12, VEL_OUT: -1.79, MS_MPC: 29566.36, ax:  0.03, ay:  0.02, az:  0.98, gx:  2.41, gy: -1.16, gz:  1.22, OX: -0.09
1746017174.7001092 N:    8, t: 42633149, dt: 21167, ENC_DEG: 61.04, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.17, I: -1.65, D: -0.16, VEL_OUT: -6.58, MS_MPC: 29564.93, ax:  0.03, ay:  0.01, az:  0.99, gx:  2.59, gy: -1.16, gz:  1.40, OX: -0.00
1746017174.707136  N:    9, t: 42652528, dt: 19379, ENC_DEG: 61.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -1.82, D:  0.00, VEL_OUT: -5.30, MS_MPC: 29564.93, ax:  0.03, ay:  0.02, az:  0.99, gx:  2.23, gy: -0.67, gz:  1.53, OX:  0.07
1746017174.7121153 N:   10, t: 42673753, dt: 21225, ENC_DEG: 61.09, REF:  0.00, VEL_RAW:  2.07, VEL_AVG:  0.34, I: -2.16, D: -0.17, VEL_OUT: -9.43, MS_MPC: 29563.48, ax:  0.04, ay:  0.02, az:  0.99, gx:  1.86, gy: -0.55, gz:  0.98, OX:  0.05
