1746017434.0823195 N:    0, t: 32801180, dt: 32801180, ENC_DEG: 75.10, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.19, I: -0.19, D: -0.19, VEL_OUT: -4.20, MS_MPC: 27782.54, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.73, gy: -0.18, gz: -1.04, OX: -0.01
1746017434.0884874 N:    1, t: 32824501, dt: 23321, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -5.65, VEL_AVG: -0.28, I: -0.47, D: -0.09, VEL_OUT: -4.64, MS_MPC: 27814.83, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.67, gy: -0.73, gz: -1.59, OX: -0.03
1746017434.0934443 N:    2, t: 32841768, dt: 17267, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  2.55, VEL_AVG: -0.07, I: -0.54, D:  0.21, VEL_OUT:  0.36, MS_MPC: 27804.11, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.73, gy: -0.67, gz: -1.65, OX: -0.01
1746017434.1004243 N:    3, t: 32861340, dt: 19572, ENC_DEG: 75.04, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.03, I: -0.56, D:  0.04, VEL_OUT: -0.95, MS_MPC: 27798.73, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.92, gy: -0.61, gz: -1.53, OX: -0.07
1746017434.1413949 N:    4, t: 32883130, dt: 21790, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -2.02, VEL_AVG: -0.14, I: -0.71, D: -0.12, VEL_OUT: -4.02, MS_MPC: 27809.47, ax:  0.02, ay: -0.02, az:  0.99, gx: -1.10, gy: -0.49, gz: -1.16, OX: -0.03
1746017434.1998625 N:    5, t: 32900492, dt: 17362, ENC_DEG: 75.06, REF:  0.00, VEL_RAW:  3.80, VEL_AVG:  0.17, I: -0.88, D: -0.03, VEL_OUT: -3.81, MS_MPC: 27793.35, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.98, gy: -0.18, gz:  0.24, OX:  0.05
1746017434.206257  N:    6, t: 32920032, dt: 19540, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -4.50, VEL_AVG: -0.20, I: -1.08, D: -0.03, VEL_OUT: -4.45, MS_MPC: 27814.83, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.61, gy:  0.06, gz:  0.79, OX:  0.07
1746017434.2122655 N:    7, t: 32939953, dt: 19921, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.11, I: -1.19, D:  0.09, VEL_OUT: -2.56, MS_MPC: 27809.47, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.67, gy:  0.18, gz:  0.92, OX:  0.05
1746017434.2172546 N:    8, t: 32960174, dt: 20221, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -1.30, D:  0.00, VEL_OUT: -3.69, MS_MPC: 27809.47, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.79, gy: -0.18, gz:  0.67, OX:  0.02
1746017434.2239742 N:    9, t: 32980509, dt: 20335, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.20, I: -1.50, D: -0.09, VEL_OUT: -5.89, MS_MPC: 27814.83, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.79, gz:  0.79, OX: -0.08
1746017434.2623868 N:   10, t: 33001387, dt: 20878, ENC_DEG: 74.93, REF:  0.00, VEL_RAW: -2.10, VEL_AVG: -0.37, I: -1.87, D: -0.18, VEL_OUT: -9.25, MS_MPC: 27825.50, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.61, gz:  0.67, OX: -0.13
