1746017546.7638729 N:    0, t: 28094361, dt: 28094361, ENC_DEG: 36.78, REF:  0.00, VEL_RAW:  1.31, VEL_AVG:  0.11, I: -0.11, D: -0.11, VEL_OUT: -2.40, MS_MPC: 28087.72, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.21, gy:  0.37, gz:  1.34, OX:  0.01
1746017546.7696016 N:    1, t: 28114941, dt: 20580, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -4.27, VEL_AVG: -0.25, I: -0.36, D: -0.14, VEL_OUT: -4.56, MS_MPC: 28076.18, ax: -0.01, ay: -0.00, az:  1.01, gx:  0.09, gy:  0.24, gz:  0.79, OX: -0.04
1746017546.7755957 N:    2, t: 28134236, dt: 19295, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  3.42, VEL_AVG:  0.04, I: -0.39, D:  0.21, VEL_OUT:  0.92, MS_MPC: 28084.83, ax: -0.01, ay: -0.00, az:  1.01, gx:  0.40, gy:  0.18, gz:  0.85, OX:  0.01
1746017546.821348  N:    3, t: 28157090, dt: 22854, ENC_DEG: 36.74, REF:  0.00, VEL_RAW: -0.96, VEL_AVG: -0.04, I: -0.44, D: -0.00, VEL_OUT: -1.34, MS_MPC: 28081.95, ax: -0.01, ay: -0.00, az:  1.01, gx:  0.27, gy:  0.49, gz:  0.61, OX: -0.01
1746017546.8268383 N:    4, t: 28174541, dt: 17451, ENC_DEG: 36.67, REF:  0.00, VEL_RAW: -3.78, VEL_AVG: -0.36, I: -0.79, D: -0.31, VEL_OUT: -8.30, MS_MPC: 28073.29, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.21, gy:  0.43, gz:  0.06, OX:  0.01
1746017546.8330753 N:    5, t: 28195104, dt: 20563, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  4.27, VEL_AVG: -0.00, I: -0.79, D:  0.36, VEL_OUT:  1.97, MS_MPC: 28084.83, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.03, gy:  0.85, gz:  0.00, OX: -0.01
1746017546.882965  N:    6, t: 28215999, dt: 20895, ENC_DEG: 36.83, REF:  0.00, VEL_RAW:  3.15, VEL_AVG:  0.26, I: -1.06, D: -0.26, VEL_OUT: -7.35, MS_MPC: 28093.48, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.15, gy:  1.10, gz:  0.12, OX: -0.01
1746017546.8889248 N:    7, t: 28234932, dt: 18933, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -6.96, VEL_AVG: -0.32, I: -1.37, D: -0.06, VEL_OUT: -6.49, MS_MPC: 28076.18, ax: -0.01, ay: -0.01, az:  0.99, gx:  0.09, gy:  0.92, gz: -0.12, OX: -0.02
1746017546.8949084 N:    8, t: 28254285, dt: 19353, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  3.41, VEL_AVG: -0.03, I: -1.41, D:  0.28, VEL_OUT: -0.32, MS_MPC: 28084.83, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.34, gy:  0.79, gz: -0.06, OX: -0.03
1746017546.9426868 N:    9, t: 28274052, dt: 19767, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -2.22, VEL_AVG: -0.22, I: -1.63, D: -0.19, VEL_OUT: -7.30, MS_MPC: 28079.07, ax: -0.02, ay: -0.01, az:  1.01, gx:  0.52, gy:  0.61, gz:  0.37, OX:  0.01
1746017546.9485235 N:   10, t: 28294825, dt: 20773, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.22, I: -1.85, D:  0.00, VEL_OUT: -5.89, MS_MPC: 28079.07, ax: -0.01, ay:  0.00, az:  1.01, gx:  0.58, gy:  0.67, gz:  1.16, OX:  0.12
1746017546.9545114 N:   11, t: 28316216, dt: 21391, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.31, I: -2.15, D: -0.09, VEL_OUT: -8.21, MS_MPC: 28076.18, ax: -0.01, ay:  0.00, az:  1.00, gx:  0.95, gy:  1.28, gz:  1.22, OX:  0.00
1746017547.0034828 N:   12, t: 28339700, dt: 23484, ENC_DEG: 36.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.41, I: -2.57, D: -0.11, VEL_OUT: -10.37, MS_MPC: 28076.18, ax: -0.00, ay: -0.00, az:  1.00, gx:  1.07, gy:  1.34, gz:  1.40, OX: -0.05
1746017547.009656  N:   13, t: 28357236, dt: 17536, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  1.25, VEL_AVG:  0.05, I: -2.61, D:  0.37, VEL_OUT: -2.01, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.00, gx:  1.68, gy:  0.85, gz:  1.46, OX: -0.04
1746017547.0582035 N:   14, t: 28374229, dt: 16993, ENC_DEG: 36.67, REF:  0.00, VEL_RAW: -2.59, VEL_AVG: -0.45, I: -3.07, D: -0.41, VEL_OUT: -14.75, MS_MPC: 28073.29, ax: -0.01, ay: -0.01, az:  1.00, gx:  1.74, gy:  0.85, gz:  1.65, OX: -0.01
1746017547.064359  N:   15, t: 28395231, dt: 21002, ENC_DEG: 36.70, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.29, I: -3.35, D:  0.17, VEL_OUT: -7.90, MS_MPC: 28076.18, ax: -0.01, ay: -0.01, az:  1.00, gx:  1.68, gy:  1.16, gz:  1.53, OX: -0.01
1746017547.0703943 N:   16, t: 28413947, dt: 18716, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  3.52, VEL_AVG:  0.32, I: -3.68, D: -0.03, VEL_OUT: -10.91, MS_MPC: 28084.83, ax: -0.01, ay:  0.00, az:  1.00, gx:  1.50, gy:  1.34, gz:  1.65, OX:  0.05
1746017547.0763528 N:   17, t: 28435377, dt: 21430, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -2.05, VEL_AVG: -0.21, I: -3.88, D:  0.12, VEL_OUT: -8.66, MS_MPC: 28079.07, ax: -0.01, ay:  0.00, az:  1.01, gx:  1.74, gy:  0.61, gz:  0.98, OX: -0.00
1746017547.0823374 N:   18, t: 28456223, dt: 20846, ENC_DEG: 36.74, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.38, I: -4.26, D: -0.18, VEL_OUT: -14.08, MS_MPC: 28081.95, ax: -0.01, ay:  0.00, az:  1.00, gx:  1.68, gy:  0.37, gz:  0.37, OX: -0.01
1746017547.1230404 N:   19, t: 28474804, dt: 18581, ENC_DEG: 36.74, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -4.46, D:  0.18, VEL_OUT: -9.10, MS_MPC: 28081.95, ax: -0.01, ay: -0.01, az:  1.00, gx:  1.80, gy:  0.06, gz:  0.37, OX: -0.05
1746017547.1295726 N:   20, t: 28494047, dt: 19243, ENC_DEG: 36.78, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.11, I: -4.57, D:  0.09, VEL_OUT: -9.26, MS_MPC: 28087.72, ax: -0.01, ay: -0.02, az:  1.01, gx:  1.62, gy:  0.00, gz:  0.31, OX: -0.03
1746017547.1832685 N:   21, t: 28514051, dt: 20004, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -3.30, VEL_AVG:  0.02, I: -4.58, D:  0.09, VEL_OUT: -8.44, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  1.31, gy: -0.31, gz:  1.04, OX:  0.03
1746017547.1892574 N:   22, t: 28534836, dt: 20785, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -4.60, D:  0.00, VEL_OUT: -9.37, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.89, gy: -0.18, gz:  1.34, OX:  0.05
1746017547.1954377 N:   23, t: 28553846, dt: 19010, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -4.70, D: -0.09, VEL_OUT: -11.28, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.76, gy: -0.18, gz:  1.22, OX:  0.00
1746017547.2436798 N:   24, t: 28574171, dt: 20325, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.28, I: -4.98, D: -0.18, VEL_OUT: -14.59, MS_MPC: 28084.83, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.46, gy: -0.43, gz:  1.10, OX: -0.02
1746017547.2495265 N:   25, t: 28594831, dt: 20660, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -5.16, D:  0.10, VEL_OUT: -11.06, MS_MPC: 28084.83, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.34, gy: -0.79, gz:  1.04, OX: -0.07
1746017547.302224  N:   26, t: 28614214, dt: 19383, ENC_DEG: 36.78, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.49, I: -5.65, D: -0.31, VEL_OUT: -19.28, MS_MPC: 28087.72, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.27, gy: -0.43, gz:  1.28, OX:  0.02
1746017547.308226  N:   27, t: 28635828, dt: 21614, ENC_DEG: 36.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.40, I: -6.05, D:  0.09, VEL_OUT: -15.24, MS_MPC: 28087.72, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.40, gy: -0.31, gz:  0.92, OX: -0.15
1746017547.3141937 N:   28, t: 28655021, dt: 19193, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -4.58, VEL_AVG: -0.27, I: -6.33, D:  0.13, VEL_OUT: -14.13, MS_MPC: 28076.18, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.40, gy: -0.49, gz:  0.55, OX:  0.02
1746017547.3199158 N:   29, t: 28674502, dt: 19481, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.01, I: -6.33, D:  0.26, VEL_OUT: -10.12, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.64, gy: -0.79, gz:  0.24, OX:  0.01
1746017547.3268824 N:   30, t: 28694250, dt: 19748, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -6.43, D: -0.09, VEL_OUT: -14.71, MS_MPC: 28079.07, ax: -0.01, ay: -0.01, az:  1.01, gx:  0.52, gy: -0.92, gz:  0.12, OX: -0.02
1746017547.363947  N:   31, t: 28713704, dt: 19454, ENC_DEG: 36.78, REF:  0.00, VEL_RAW:  3.39, VEL_AVG:  0.19, I: -6.62, D: -0.09, VEL_OUT: -15.96, MS_MPC: 28087.72, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.64, gy: -0.92, gz: -0.12, OX: -0.06
1746017547.4181519 N:   32, t: 28734065, dt: 20361, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -3.24, VEL_AVG: -0.28, I: -6.89, D: -0.09, VEL_OUT: -17.43, MS_MPC: 28079.07, ax: -0.00, ay: -0.02, az:  1.00, gx:  1.13, gy: -0.92, gz: -0.06, OX: -0.04
