1746017902.0881784 N:    0, t: 25083409, dt: 25083409, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  2.48, VEL_AVG:  0.21, I: -0.21, D: -0.21, VEL_OUT: -4.54, MS_MPC: 29520.47, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.00, gy: -0.24, gz: -0.12, OX: -0.00
1746017902.0929399 N:    1, t: 25107961, dt: 24552, ENC_DEG: 62.16, REF:  0.00, VEL_RAW: -0.89, VEL_AVG:  0.13, I: -0.34, D:  0.07, VEL_OUT: -1.25, MS_MPC: 29521.46, ax: -0.00, ay:  0.01, az:  0.99, gx:  0.67, gy: -0.43, gz: -0.73, OX: -0.03
1746017902.0989256 N:    2, t: 25123957, dt: 15996, ENC_DEG: 62.21, REF:  0.00, VEL_RAW:  2.75, VEL_AVG:  0.36, I: -0.70, D: -0.23, VEL_OUT: -7.30, MS_MPC: 29519.48, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.98, gy:  0.00, gz: -0.79, OX:  0.07
1746017902.1059127 N:    3, t: 25143114, dt: 19157, ENC_DEG: 62.18, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.27, I: -0.96, D:  0.10, VEL_OUT: -3.63, MS_MPC: 29520.47, ax:  0.00, ay:  0.01, az:  1.00, gx:  1.10, gy:  0.24, gz: -0.73, OX:  0.03
1746017902.1469676 N:    4, t: 25162991, dt: 19877, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.27, I: -1.23, D:  0.00, VEL_OUT: -5.11, MS_MPC: 29520.47, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.22, gy: -0.06, gz: -1.71, OX: -0.03
1746017902.1532347 N:    5, t: 25188158, dt: 25167, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -1.75, VEL_AVG:  0.12, I: -1.35, D:  0.15, VEL_OUT: -2.44, MS_MPC: 29522.44, ax:  0.01, ay:  0.01, az:  1.00, gx:  1.04, gy: -0.37, gz: -2.32, OX: -0.02
1746017902.2017596 N:    6, t: 25205270, dt: 17112, ENC_DEG: 62.12, REF:  0.00, VEL_RAW: -1.28, VEL_AVG:  0.01, I: -1.36, D:  0.11, VEL_OUT: -1.78, MS_MPC: 29523.42, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.85, gy: -0.61, gz: -2.44, OX: -0.11
1746017902.2076647 N:    7, t: 25224972, dt: 19702, ENC_DEG: 62.14, REF:  0.00, VEL_RAW:  1.11, VEL_AVG:  0.11, I: -1.47, D: -0.09, VEL_OUT: -4.92, MS_MPC: 29522.44, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.18, gy: -0.31, gz: -1.89, OX: -0.08
1746017902.2135684 N:    8, t: 25244289, dt: 19317, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.20, I: -1.67, D: -0.09, VEL_OUT: -6.29, MS_MPC: 29521.46, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy:  0.00, gz: -0.55, OX:  0.08
1746017902.219915  N:    9, t: 25267672, dt: 23383, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -1.87, D:  0.00, VEL_OUT: -5.75, MS_MPC: 29521.46, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.31, gz:  0.12, OX:  0.13
1746017902.269095  N:   10, t: 25284707, dt: 17035, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -2.07, D:  0.00, VEL_OUT: -6.15, MS_MPC: 29521.46, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.73, gy:  0.55, gz:  0.43, OX:  0.03
