1746019312.5289772 N:    0, t: 52652203, dt: 52652203, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  0.98, VEL_AVG:  0.08, I: -0.08, D: -0.08, VEL_OUT: -1.80, MS_MPC: 29472.00, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.24, gz:  0.18, OX:  0.01
1746019312.535396  N:    1, t: 52672690, dt: 20487, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -0.16, D:  0.00, VEL_OUT: -1.15, MS_MPC: 29472.00, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.00, gz: -0.24, OX: -0.03
1746019312.5413916 N:    2, t: 52692682, dt: 19992, ENC_DEG: 51.68, REF:  0.00, VEL_RAW: -2.20, VEL_AVG: -0.10, I: -0.27, D: -0.02, VEL_OUT: -1.74, MS_MPC: 29469.90, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.12, gz: -0.24, OX:  0.00
1746019312.5908525 N:    3, t: 52718844, dt: 26162, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -0.37, D:  0.00, VEL_OUT: -1.75, MS_MPC: 29469.90, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.06, gy: -0.18, gz: -0.31, OX:  0.02
1746019312.6443207 N:    4, t: 52731995, dt: 13151, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -0.47, D:  0.00, VEL_OUT: -1.95, MS_MPC: 29469.90, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.24, gz: -0.43, OX:  0.05
1746019312.709878  N:    5, t: 52753234, dt: 21239, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -0.57, D:  0.00, VEL_OUT: -2.15, MS_MPC: 29469.90, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.49, gy: -0.49, gz: -0.67, OX:  0.01
1746019312.8247576 N:    6, t: 52775007, dt: 21773, ENC_DEG: 51.64, REF:  0.00, VEL_RAW: -2.02, VEL_AVG: -0.27, I: -0.84, D: -0.17, VEL_OUT: -6.05, MS_MPC: 29467.79, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.31, gz: -0.49, OX: -0.02
1746019312.8307042 N:    7, t: 52793252, dt: 18245, ENC_DEG: 51.75, REF:  0.00, VEL_RAW:  6.02, VEL_AVG:  0.23, I: -1.07, D:  0.04, VEL_OUT: -4.09, MS_MPC: 29473.04, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.18, gz:  0.06, OX:  0.04
1746019312.9486554 N:    8, t: 52812439, dt: 19187, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -4.58, VEL_AVG: -0.15, I: -1.22, D:  0.08, VEL_OUT: -3.11, MS_MPC: 29468.85, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.49, gz: -0.12, OX:  0.01
1746019313.0096297 N:   11, t: 52875909, dt: 22237, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -4.94, VEL_AVG: -0.09, I: -1.95, D:  0.23, VEL_OUT: -2.57, MS_MPC: 29468.85, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.85, gy:  0.31, gz:  0.31, OX:  0.04
1746019313.015612  N:   14, t: 52935608, dt: 22104, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -0.99, VEL_AVG:  0.03, I: -2.18, D:  0.04, VEL_OUT: -4.32, MS_MPC: 29468.85, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.55, gy:  0.06, gz: -0.06, OX: -0.02
