1746019583.9722736 N:    0, t: 28659076, dt: 28659076, ENC_DEG: 74.18, REF:  0.00, VEL_RAW:  2.59, VEL_AVG:  0.22, I: -0.22, D: -0.22, VEL_OUT: -4.75, MS_MPC: 28000.79, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.92, gy: -0.24, gz:  1.04, OX:  0.04
1746019583.9782555 N:    1, t: 28679330, dt: 20254, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.49, I: -0.70, D: -0.27, VEL_OUT: -8.99, MS_MPC: 27985.79, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.43, gy:  0.12, gz:  0.55, OX: -0.00
1746019584.033071  N:    2, t: 28698978, dt: 19648, ENC_DEG: 74.20, REF:  0.00, VEL_RAW: -2.24, VEL_AVG:  0.30, I: -1.00, D:  0.19, VEL_OUT: -3.15, MS_MPC: 27995.80, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.06, gz:  0.24, OX:  0.02
1746019584.0889313 N:    3, t: 28720405, dt: 21427, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.30, I: -1.30, D:  0.00, VEL_OUT: -5.61, MS_MPC: 27995.80, ax: -0.00, ay:  0.01, az:  1.01, gx: -0.24, gy: -0.18, gz: -0.18, OX: -0.01
1746019584.1507564 N:    4, t: 28740745, dt: 20340, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.30, I: -1.60, D:  0.00, VEL_OUT: -6.21, MS_MPC: 27995.80, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.24, gz: -0.43, OX: -0.01
1746019584.2096004 N:    5, t: 28759392, dt: 18647, ENC_DEG: 74.14, REF:  0.00, VEL_RAW: -3.53, VEL_AVG:  0.01, I: -1.61, D:  0.29, VEL_OUT: -0.33, MS_MPC: 28010.74, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.61, gz: -0.43, OX:  0.03
1746019584.2146194 N:    6, t: 28779657, dt: 20265, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.28, I: -1.89, D: -0.27, VEL_OUT: -9.25, MS_MPC: 27995.80, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.55, gz: -0.43, OX: -0.01
1746019584.2215683 N:    8, t: 28819072, dt: 19142, ENC_DEG: 74.16, REF:  0.00, VEL_RAW: -3.44, VEL_AVG:  0.08, I: -2.33, D:  0.29, VEL_OUT: -2.60, MS_MPC: 28005.77, ax: -0.00, ay:  0.01, az:  0.99, gx:  0.43, gy:  0.43, gz: -0.31, OX: -0.01
1746019584.2275848 N:   11, t: 28879874, dt: 14510, ENC_DEG: 74.20, REF:  0.00, VEL_RAW: -1.51, VEL_AVG:  0.13, I: -2.81, D:  0.13, VEL_OUT: -5.61, MS_MPC: 27995.80, ax:  0.00, ay: -0.01, az:  1.00, gx:  1.04, gy: -0.43, gz: -1.34, OX: -0.04
1746019584.2335687 N:   14, t: 28944248, dt: 23348, ENC_DEG: 74.18, REF:  0.00, VEL_RAW: -1.88, VEL_AVG: -0.24, I: -3.58, D:  0.03, VEL_OUT: -9.23, MS_MPC: 28000.79, ax:  0.01, ay: -0.02, az:  1.01, gx:  0.31, gy: -0.06, gz: -0.31, OX: -0.80
1746019584.2734292 N:   15, t: 28960155, dt: 15907, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  4.14, VEL_AVG:  0.11, I: -3.69, D:  0.13, VEL_OUT: -7.19, MS_MPC: 27985.79, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.31, gz: -0.00, OX:  0.03
1746019584.3320649 N:   16, t: 28979075, dt: 18920, ENC_DEG: 74.22, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.01, I: -3.70, D:  0.10, VEL_OUT: -6.55, MS_MPC: 27990.80, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.43, gz:  0.37, OX:  0.01
1746019584.3380466 N:   17, t: 29000189, dt: 21114, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.39, I: -4.10, D: -0.38, VEL_OUT: -15.93, MS_MPC: 27985.79, ax:  0.00, ay:  0.01, az:  1.01, gx: -0.85, gy:  0.31, gz:  0.79, OX:  0.09
1746019584.3440294 N:   18, t: 29020640, dt: 20451, ENC_DEG: 74.22, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.03, I: -4.13, D:  0.36, VEL_OUT: -4.97, MS_MPC: 27990.80, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.92, gy:  0.61, gz:  0.85, OX:  0.05
1746019584.3529756 N:   20, t: 29060303, dt: 20695, ENC_DEG: 74.22, REF:  0.00, VEL_RAW:  3.19, VEL_AVG:  0.21, I: -4.68, D:  0.14, VEL_OUT: -9.99, MS_MPC: 27990.80, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.37, gy:  1.16, gz: -0.31, OX: -0.13
1746019584.5132792 N:   21, t: 29079333, dt: 19030, ENC_DEG: 74.14, REF:  0.00, VEL_RAW: -4.62, VEL_AVG:  0.00, I: -4.68, D:  0.20, VEL_OUT: -7.33, MS_MPC: 28010.74, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.73, gz: -0.49, OX: -0.04
1746019584.5721211 N:   22, t: 29100645, dt: 21312, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  5.15, VEL_AVG:  0.08, I: -4.76, D: -0.08, VEL_OUT: -11.08, MS_MPC: 27985.79, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.79, gz: -0.06, OX:  0.03
1746019584.5781188 N:   23, t: 29119657, dt: 19012, ENC_DEG: 74.22, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.11, I: -4.87, D: -0.03, VEL_OUT: -11.12, MS_MPC: 27990.80, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  1.22, gz:  0.00, OX:  0.07
1746019584.5840898 N:   24, t: 29140930, dt: 21273, ENC_DEG: 74.18, REF:  0.00, VEL_RAW: -2.07, VEL_AVG:  0.11, I: -4.98, D: -0.00, VEL_OUT: -11.12, MS_MPC: 28000.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy:  1.22, gz: -0.49, OX:  0.01
1746019584.5900738 N:   28, t: 29220652, dt: 15053, ENC_DEG: 74.25, REF:  0.00, VEL_RAW:  2.92, VEL_AVG:  0.09, I: -5.48, D:  0.16, VEL_OUT: -10.19, MS_MPC: 27985.79, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.49, gy:  1.16, gz:  0.18, OX:  0.02
1746019584.596057  N:   30, t: 29260659, dt: 20506, ENC_DEG: 74.11, REF:  0.00, VEL_RAW: -4.29, VEL_AVG: -0.45, I: -6.12, D: -0.27, VEL_OUT: -19.46, MS_MPC: 28015.70, ax:  0.01, ay:  0.02, az:  0.99, gx: -0.55, gy:  1.04, gz:  1.59, OX:  0.13
1746019584.6914108 N:   31, t: 29318893, dt: 58234, ENC_DEG: 74.18, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.07, I: -6.19, D:  0.38, VEL_OUT: -9.24, MS_MPC: 28000.79, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.43, gy: -0.73, gz: -0.73, OX: -0.03
1746019584.6973944 N:   32, t: 29340009, dt: 21116, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.25, I: -6.44, D: -0.18, VEL_OUT: -17.16, MS_MPC: 27995.80, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.24, gy: -0.55, gz:  0.12, OX:  0.04
1746019584.7043781 N:   33, t: 29364084, dt: 24075, ENC_DEG: 74.16, REF:  0.00, VEL_RAW: -1.83, VEL_AVG: -0.02, I: -6.45, D:  0.23, VEL_OUT: -10.75, MS_MPC: 28005.77, ax:  0.01, ay:  0.02, az:  0.99, gx: -0.06, gy:  0.24, gz:  0.12, OX:  0.02
1746019584.710383  N:   34, t: 29380316, dt: 16232, ENC_DEG: 74.22, REF:  0.00, VEL_RAW:  4.06, VEL_AVG: -0.11, I: -6.56, D: -0.09, VEL_OUT: -15.11, MS_MPC: 27990.80, ax:  0.01, ay:  0.02, az:  0.99, gx: -0.06, gy:  0.06, gz:  0.00, OX:  0.01
1746019584.7163444 N:   36, t: 29421883, dt: 21459, ENC_DEG: 74.22, REF:  0.00, VEL_RAW:  2.05, VEL_AVG:  0.15, I: -6.90, D:  0.04, VEL_OUT: -14.86, MS_MPC: 27990.80, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.12, gz: -0.31, OX: -0.02
1746019584.8702183 N:   37, t: 29439136, dt: 17253, ENC_DEG: 74.20, REF:  0.00, VEL_RAW: -1.27, VEL_AVG: -0.05, I: -6.96, D:  0.10, VEL_OUT: -13.46, MS_MPC: 27995.80, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.00, gz: -0.49, OX: -0.00
1746019584.8762014 N:   38, t: 29460398, dt: 21262, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -7.01, D:  0.00, VEL_OUT: -14.54, MS_MPC: 27995.80, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.43, gz: -0.12, OX: -0.02
