1746019968.5787323 N:    0, t: 26441225, dt: 26441225, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.19, I: -0.19, D: -0.19, VEL_OUT: -4.15, MS_MPC: 29597.97, ax:  0.00, ay:  0.02, az:  0.98, gx:  0.85, gy:  1.40, gz:  0.73, OX:  0.07
1746019968.5847507 N:    1, t: 26467493, dt: 26268, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -1.67, VEL_AVG:  0.05, I: -0.24, D:  0.14, VEL_OUT:  0.43, MS_MPC: 29598.84, ax:  0.00, ay:  0.02, az:  0.99, gx:  1.22, gy:  0.06, gz: -0.43, OX: -0.06
1746019968.6962757 N:    2, t: 26483016, dt: 15523, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  2.83, VEL_AVG:  0.28, I: -0.52, D: -0.24, VEL_OUT: -6.25, MS_MPC: 29597.97, ax:  0.00, ay:  0.02, az:  0.99, gx:  1.22, gy: -0.49, gz: -0.49, OX: -0.00
1746019968.7031362 N:    3, t: 26506224, dt: 23208, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.28, I: -0.81, D:  0.00, VEL_OUT: -4.46, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  0.99, gx:  1.22, gy: -0.92, gz: -0.92, OX: -0.04
1746019968.7086415 N:    4, t: 26527191, dt: 20967, ENC_DEG: 59.81, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.37, I: -1.18, D: -0.09, VEL_OUT: -6.95, MS_MPC: 29597.53, ax:  0.01, ay:  0.01, az:  0.99, gx:  1.10, gy: -1.04, gz: -0.67, OX: -0.05
1746019968.7145019 N:    5, t: 26544310, dt: 17119, ENC_DEG: 59.79, REF:  0.00, VEL_RAW: -1.28, VEL_AVG:  0.27, I: -1.44, D:  0.11, VEL_OUT: -4.47, MS_MPC: 29597.97, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.79, gy: -1.22, gz: -0.31, OX: -0.03
1746019968.7521715 N:    8, t: 26603018, dt: 21403, ENC_DEG: 59.83, REF:  0.00, VEL_RAW:  2.05, VEL_AVG:  0.43, I: -2.30, D: -0.17, VEL_OUT: -10.62, MS_MPC: 29597.08, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.12, gy: -1.28, gz: -1.10, OX: -0.01
1746019968.75809   N:    9, t: 26621825, dt: 18807, ENC_DEG: 59.77, REF:  0.00, VEL_RAW: -3.50, VEL_AVG:  0.14, I: -2.44, D:  0.29, VEL_OUT: -3.36, MS_MPC: 29598.41, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.18, gy: -1.22, gz: -1.04, OX: -0.04
1746019968.7643368 N:   10, t: 26642050, dt: 20225, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.23, I: -2.67, D: -0.09, VEL_OUT: -8.55, MS_MPC: 29597.97, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.43, gy: -0.61, gz: -0.92, OX: -0.00
1746019968.8170915 N:   11, t: 26663685, dt: 21635, ENC_DEG: 59.77, REF:  0.00, VEL_RAW: -1.02, VEL_AVG:  0.15, I: -2.82, D:  0.08, VEL_OUT: -6.24, MS_MPC: 29598.41, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.12, gy: -0.24, gz: -0.92, OX: -0.02
1746019968.8231928 N:   12, t: 26680980, dt: 17295, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -1.27, VEL_AVG: -0.15, I: -2.96, D: -0.00, VEL_OUT: -7.45, MS_MPC: 29598.84, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.12, gy: -0.18, gz: -0.92, OX: -0.03
