1746024874.973786  N:    0, t: 25837167, dt: 25837167, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  3.01, VEL_AVG:  0.25, I: -0.25, D: -0.25, VEL_OUT: -5.52, MS_MPC: 27027.58, ax: -0.01, ay:  0.00, az:  0.99, gx:  4.70, gy:  2.56, gz:  0.61, OX: -0.02
1746024874.9797673 N:    1, t: 25856807, dt: 19640, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  3.36, VEL_AVG:  0.53, I: -0.78, D: -0.28, VEL_OUT: -9.67, MS_MPC: 27007.13, ax: -0.01, ay:  0.00, az:  0.98, gx:  4.39, gy:  1.22, gz:  0.12, OX:  0.03
1746024874.9857526 N:    2, t: 25876247, dt: 19440, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.53, I: -1.31, D:  0.00, VEL_OUT: -7.93, MS_MPC: 27007.13, ax: -0.01, ay:  0.01, az:  0.98, gx:  4.46, gy: -0.55, gz: -0.85, OX: -0.01
1746024874.9917352 N:    3, t: 25899248, dt: 23001, ENC_DEG: 77.87, REF:  0.00, VEL_RAW: -0.96, VEL_AVG:  0.45, I: -1.76, D:  0.08, VEL_OUT: -7.24, MS_MPC: 27013.95, ax: -0.00, ay:  0.01, az:  0.98, gx:  4.64, gy: -1.65, gz: -1.95, OX: -0.05
1746024875.0336256 N:    4, t: 25920365, dt: 21117, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.54, I: -2.30, D: -0.09, VEL_OUT: -10.85, MS_MPC: 27007.13, ax: -0.00, ay: -0.00, az:  0.99, gx:  4.21, gy: -4.21, gz: -3.97, OX: -0.09
1746024875.0396101 N:    5, t: 25937474, dt: 17109, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.54, I: -2.84, D:  0.00, VEL_OUT: -11.06, MS_MPC: 27007.13, ax: -0.00, ay: -0.01, az:  1.01, gx:  3.66, gy: -5.98, gz: -5.13, OX: -0.21
1746024875.0456033 N:    6, t: 25956479, dt: 19005, ENC_DEG: 77.87, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.44, I: -3.28, D:  0.10, VEL_OUT: -10.01, MS_MPC: 27013.95, ax:  0.00, ay: -0.02, az:  1.01, gx:  2.81, gy: -7.08, gz: -5.98, OX: -0.14
1746024875.0934672 N:    7, t: 25979226, dt: 22747, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.44, I: -3.72, D:  0.00, VEL_OUT: -11.86, MS_MPC: 27013.95, ax:  0.01, ay: -0.04, az:  1.03, gx:  1.28, gy: -7.32, gz: -5.80, OX: -0.21
1746024875.0994496 N:    8, t: 25998181, dt: 18955, ENC_DEG: 77.92, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.63, I: -4.36, D: -0.19, VEL_OUT: -16.99, MS_MPC: 27000.28, ax:  0.01, ay: -0.04, az:  1.04, gx:  0.12, gy: -7.02, gz: -4.76, OX:  0.00
1746024875.1054642 N:    9, t: 26015617, dt: 17436, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -5.04, VEL_AVG:  0.21, I: -4.57, D:  0.42, VEL_OUT: -7.09, MS_MPC: 27027.58, ax:  0.00, ay: -0.04, az:  1.06, gx: -0.98, gy: -5.92, gz: -4.27, OX: -0.02
1746024875.1533048 N:   10, t: 26041242, dt: 25625, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -0.86, VEL_AVG:  0.14, I: -4.71, D:  0.07, VEL_OUT: -10.15, MS_MPC: 27034.38, ax: -0.00, ay: -0.05, az:  1.07, gx: -2.87, gy: -4.03, gz: -3.42, OX: -0.02
1746024875.1593094 N:   11, t: 26056462, dt: 15220, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -4.86, D:  0.00, VEL_OUT: -11.15, MS_MPC: 27034.38, ax: -0.00, ay: -0.05, az:  1.07, gx: -3.72, gy: -2.93, gz: -2.87, OX: -0.06
1746024875.1652734 N:   12, t: 26075723, dt: 19261, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.01, I: -4.87, D:  0.13, VEL_OUT: -8.57, MS_MPC: 27027.58, ax: -0.00, ay: -0.06, az:  1.07, gx: -5.13, gy: -0.55, gz: -1.40, OX: -0.04
1746024875.2131765 N:   13, t: 26100199, dt: 24476, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.29, I: -5.16, D: -0.28, VEL_OUT: -16.05, MS_MPC: 27027.58, ax:  0.00, ay: -0.05, az:  1.06, gx: -5.49, gy:  2.56, gz:  0.31, OX:  0.04
1746024875.2201252 N:   14, t: 26117408, dt: 17209, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  1.28, VEL_AVG: -0.19, I: -5.35, D:  0.11, VEL_OUT: -11.50, MS_MPC: 27020.77, ax:  0.01, ay: -0.05, az:  1.05, gx: -5.49, gy:  4.58, gz:  2.14, OX: -0.03
1746024875.2261095 N:   15, t: 26138036, dt: 20628, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.02, I: -5.37, D:  0.17, VEL_OUT: -9.23, MS_MPC: 27013.95, ax: -0.00, ay: -0.05, az:  1.02, gx: -5.37, gy:  6.41, gz:  4.76, OX:  0.06
