1746025248.1775975 N:    0, t: 54880417, dt: 54880417, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  1.36, VEL_AVG:  0.11, I: -0.11, D: -0.11, VEL_OUT: -2.49, MS_MPC: 27940.25, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.21, gz:  0.43, OX:  0.06
1746025248.1835706 N:    1, t: 54899929, dt: 19512, ENC_DEG: 74.47, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.21, I: -0.32, D: -0.09, VEL_OUT: -3.65, MS_MPC: 27935.14, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.37, gy: -0.03, gz:  0.24, OX:  0.02
1746025248.1901145 N:    2, t: 54919308, dt: 19379, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -2.27, VEL_AVG:  0.02, I: -0.34, D:  0.19, VEL_OUT:  1.04, MS_MPC: 27945.35, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.24, gy: -0.46, gz: -0.06, OX: -0.04
1746025248.1960995 N:    3, t: 54939424, dt: 20116, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.11, I: -0.45, D: -0.09, VEL_OUT: -2.89, MS_MPC: 27940.25, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.40, gz:  0.12, OX:  0.00
1746025248.2380192 N:    4, t: 54961871, dt: 22447, ENC_DEG: 74.40, REF:  0.00, VEL_RAW: -1.96, VEL_AVG: -0.05, I: -0.50, D:  0.05, VEL_OUT: -1.00, MS_MPC: 27950.44, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.34, gz:  0.61, OX: -0.02
1746025248.2439718 N:    5, t: 54979216, dt: 17345, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  2.53, VEL_AVG:  0.16, I: -0.66, D: -0.10, VEL_OUT: -3.91, MS_MPC: 27940.25, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy:  0.09, gz:  0.49, OX: -0.03
1746025248.3576677 N:    6, t: 55002882, dt: 23666, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -0.81, D:  0.00, VEL_OUT: -3.20, MS_MPC: 27940.25, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.43, gy: -0.15, gz:  0.73, OX:  0.02
1746025248.36365   N:    7, t: 55019647, dt: 16765, ENC_DEG: 74.47, REF:  0.00, VEL_RAW:  1.31, VEL_AVG:  0.27, I: -1.08, D: -0.11, VEL_OUT: -5.92, MS_MPC: 27935.14, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.43, gy: -0.03, gz:  1.04, OX:  0.05
1746025248.369636  N:    8, t: 55038882, dt: 19235, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -2.28, VEL_AVG:  0.08, I: -1.16, D:  0.19, VEL_OUT: -1.17, MS_MPC: 27945.35, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.24, gy:  0.21, gz:  0.98, OX: -0.01
1746025248.3766553 N:    9, t: 55063381, dt: 24499, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.15, I: -1.31, D: -0.07, VEL_OUT: -4.87, MS_MPC: 27940.25, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.24, gy:  0.52, gz:  1.34, OX:  0.02
1746025248.4185054 N:   13, t: 55140767, dt: 20838, ENC_DEG: 74.49, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.15, I: -1.86, D:  0.01, VEL_OUT: -5.17, MS_MPC: 27930.02, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.67, gy:  0.52, gz:  1.46, OX:  0.05
1746025248.4739907 N:   14, t: 55160307, dt: 19540, ENC_DEG: 74.40, REF:  0.00, VEL_RAW: -4.50, VEL_AVG: -0.03, I: -1.89, D:  0.12, VEL_OUT: -2.95, MS_MPC: 27950.44, ax: -0.01, ay:  0.01, az:  0.99, gx: -0.67, gy:  0.64, gz:  0.67, OX:  0.01
1746025248.4799721 N:   15, t: 55178830, dt: 18523, ENC_DEG: 74.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -2.02, D: -0.09, VEL_OUT: -6.19, MS_MPC: 27950.44, ax: -0.01, ay:  0.00, az:  1.00, gx: -0.61, gy:  0.70, gz: -0.06, OX: -0.04
1746025248.4859235 N:   16, t: 55202690, dt: 23860, ENC_DEG: 74.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -2.05, D:  0.09, VEL_OUT: -3.61, MS_MPC: 27950.44, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.15, gz: -0.61, OX:  0.03
1746025248.4919398 N:   17, t: 55219772, dt: 17082, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  2.57, VEL_AVG:  0.04, I: -2.09, D: -0.00, VEL_OUT: -4.63, MS_MPC: 27940.25, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.52, gz: -1.16, OX: -0.06
1746025248.4978907 N:   18, t: 55240099, dt: 20327, ENC_DEG: 74.47, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.13, I: -2.23, D: -0.09, VEL_OUT: -6.66, MS_MPC: 27935.14, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.58, gz: -0.85, OX: -0.04
1746025248.5387828 N:   19, t: 55260525, dt: 20426, ENC_DEG: 74.49, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.11, I: -2.34, D:  0.02, VEL_OUT: -5.59, MS_MPC: 27930.02, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.40, gz: -0.49, OX:  0.02
1746025248.5438008 N:   20, t: 55279106, dt: 18581, ENC_DEG: 74.44, REF:  0.00, VEL_RAW: -2.36, VEL_AVG:  0.10, I: -2.44, D:  0.01, VEL_OUT: -5.86, MS_MPC: 27940.25, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.40, gz: -0.18, OX: -0.10
1746025248.6524787 N:   21, t: 55304348, dt: 25242, ENC_DEG: 74.47, REF:  0.00, VEL_RAW:  0.87, VEL_AVG:  0.10, I: -2.54, D:  0.00, VEL_OUT: -6.09, MS_MPC: 27935.14, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.34, gz:  0.61, OX:  0.02
1746025248.7153106 N:   22, t: 55320937, dt: 16589, ENC_DEG: 74.44, REF:  0.00, VEL_RAW: -1.32, VEL_AVG:  0.08, I: -2.62, D:  0.02, VEL_OUT: -5.81, MS_MPC: 27940.25, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.03, gz:  0.85, OX:  0.00
1746025248.7213528 N:   23, t: 55340196, dt: 19259, ENC_DEG: 74.47, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.06, I: -2.69, D:  0.02, VEL_OUT: -5.80, MS_MPC: 27935.14, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.27, gz:  0.98, OX:  0.01
1746025248.7273157 N:   24, t: 55360300, dt: 20104, ENC_DEG: 74.40, REF:  0.00, VEL_RAW: -3.28, VEL_AVG: -0.31, I: -2.99, D: -0.24, VEL_OUT: -11.49, MS_MPC: 27950.44, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.46, gz:  1.10, OX: -0.01
1746025248.7332618 N:   27, t: 55422858, dt: 22620, ENC_DEG: 74.49, REF:  0.00, VEL_RAW:  2.91, VEL_AVG:  0.30, I: -3.67, D: -0.24, VEL_OUT: -12.78, MS_MPC: 27930.02, ax:  0.00, ay:  0.01, az:  1.01, gx: -1.53, gy: -1.31, gz:  0.43, OX:  0.05
1746025248.7403789 N:   30, t: 55485593, dt: 25385, ENC_DEG: 74.38, REF:  0.00, VEL_RAW: -2.60, VEL_AVG: -0.42, I: -4.39, D: -0.31, VEL_OUT: -16.02, MS_MPC: 27955.52, ax:  0.01, ay:  0.00, az:  0.99, gx: -2.14, gy: -1.74, gz: -0.92, OX: -0.00
1746025248.7781575 N:   31, t: 55499498, dt: 13905, ENC_DEG: 74.40, REF:  0.00, VEL_RAW:  1.58, VEL_AVG: -0.38, I: -4.76, D:  0.04, VEL_OUT: -12.87, MS_MPC: 27950.44, ax:  0.01, ay:  0.00, az:  0.99, gx: -2.08, gy: -1.50, gz: -0.37, OX:  0.03
1746025248.8349895 N:   32, t: 55520262, dt: 20764, ENC_DEG: 74.42, REF:  0.00, VEL_RAW:  1.06, VEL_AVG: -0.09, I: -4.85, D:  0.29, VEL_OUT: -7.76, MS_MPC: 27945.35, ax:  0.01, ay:  0.01, az:  0.98, gx: -1.16, gy: -1.19, gz:  0.24, OX:  0.08
1746025248.840975  N:   33, t: 55539843, dt: 19581, ENC_DEG: 74.42, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -5.02, D: -0.07, VEL_OUT: -12.39, MS_MPC: 27945.35, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.24, gy: -0.70, gz:  0.18, OX: -0.02
1746025248.84696   N:   34, t: 55559328, dt: 19485, ENC_DEG: 74.49, REF:  0.00, VEL_RAW:  3.38, VEL_AVG:  0.23, I: -5.25, D: -0.07, VEL_OUT: -13.45, MS_MPC: 27930.02, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.67, gy: -0.40, gz:  0.24, OX: -0.02
1746025248.8529434 N:   35, t: 55580457, dt: 21129, ENC_DEG: 74.44, REF:  0.00, VEL_RAW: -2.08, VEL_AVG: -0.04, I: -5.29, D:  0.19, VEL_OUT: -9.05, MS_MPC: 27940.25, ax: -0.00, ay:  0.00, az:  1.00, gx:  1.22, gy: -0.40, gz:  0.73, OX: -0.02
1746025248.8589582 N:   36, t: 55604779, dt: 24322, ENC_DEG: 74.49, REF:  0.00, VEL_RAW:  1.81, VEL_AVG:  0.38, I: -5.67, D: -0.35, VEL_OUT: -18.65, MS_MPC: 27930.02, ax: -0.00, ay:  0.01, az:  1.00, gx:  1.46, gy:  0.15, gz:  0.67, OX:  0.03
1746025248.8988202 N:   37, t: 55622623, dt: 17844, ENC_DEG: 74.40, REF:  0.00, VEL_RAW: -4.93, VEL_AVG: -0.10, I: -5.77, D:  0.28, VEL_OUT: -9.76, MS_MPC: 27950.44, ax:  0.00, ay:  0.01, az:  1.00, gx:  1.34, gy:  0.34, gz:  0.55, OX:  0.05
1746025248.9576626 N:   38, t: 55640097, dt: 17474, ENC_DEG: 74.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -5.88, D:  0.00, VEL_OUT: -12.78, MS_MPC: 27950.44, ax:  0.00, ay:  0.02, az:  1.01, gx:  1.22, gy:  0.46, gz:  0.31, OX:  0.06
1746025248.9636452 N:   39, t: 55661587, dt: 21490, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  2.04, VEL_AVG: -0.18, I: -6.05, D: -0.07, VEL_OUT: -14.58, MS_MPC: 27940.25, ax:  0.00, ay:  0.02, az:  1.01, gx:  0.55, gy:  0.40, gz: -0.31, OX: -0.00
1746025249.0145102 N:   40, t: 55680766, dt: 19179, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.16, I: -6.21, D:  0.01, VEL_OUT: -13.92, MS_MPC: 27945.35, ax: -0.00, ay:  0.02, az:  1.00, gx:  0.12, gy:  0.40, gz: -0.43, OX:  0.02
1746025249.0763454 N:   41, t: 55699179, dt: 18413, ENC_DEG: 74.47, REF:  0.00, VEL_RAW:  2.39, VEL_AVG:  0.13, I: -6.34, D:  0.04, VEL_OUT: -13.58, MS_MPC: 27935.14, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.12, gy:  0.64, gz: -0.85, OX: -0.05
1746025249.0823302 N:   42, t: 55719704, dt: 20525, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.16, I: -6.50, D: -0.04, VEL_OUT: -15.03, MS_MPC: 27945.35, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.31, gy:  0.70, gz: -0.73, OX: -0.04
1746025249.0883148 N:   43, t: 55739072, dt: 19368, ENC_DEG: 74.49, REF:  0.00, VEL_RAW:  3.40, VEL_AVG:  0.32, I: -6.82, D: -0.15, VEL_OUT: -18.32, MS_MPC: 27930.02, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.43, gy:  0.34, gz: -0.73, OX:  0.01
1746025249.0942962 N:   45, t: 55780861, dt: 21475, ENC_DEG: 74.40, REF:  0.00, VEL_RAW: -1.02, VEL_AVG: -0.13, I: -6.99, D: -0.09, VEL_OUT: -16.11, MS_MPC: 27950.44, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.12, gy: -0.34, gz: -1.59, OX: -0.01
1746025249.1012805 N:   48, t: 55840920, dt: 19300, ENC_DEG: 74.40, REF:  0.00, VEL_RAW: -5.69, VEL_AVG: -0.42, I: -7.84, D: -0.21, VEL_OUT: -21.88, MS_MPC: 27950.44, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.79, gy: -1.25, gz: -2.62, OX: -0.05
1746025249.1948981 N:   49, t: 55858869, dt: 17949, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  2.45, VEL_AVG:  0.20, I: -8.04, D:  0.22, VEL_OUT: -15.91, MS_MPC: 27940.25, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.79, gy: -0.89, gz: -2.26, OX: -0.05
1746025249.2008765 N:   50, t: 55879690, dt: 20821, ENC_DEG: 74.51, REF:  0.00, VEL_RAW:  3.17, VEL_AVG:  0.46, I: -8.50, D: -0.26, VEL_OUT: -24.27, MS_MPC: 27924.89, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -1.13, gz: -2.01, OX: -0.02
1746025249.2078493 N:   51, t: 55899142, dt: 19452, ENC_DEG: 74.44, REF:  0.00, VEL_RAW: -3.39, VEL_AVG:  0.01, I: -8.51, D:  0.45, VEL_OUT: -12.60, MS_MPC: 27940.25, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.64, gz: -1.59, OX:  0.06
1746025249.2138338 N:   52, t: 55922563, dt: 23421, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -0.94, VEL_AVG:  0.03, I: -8.54, D: -0.02, VEL_OUT: -17.53, MS_MPC: 27945.35, ax:  0.01, ay:  0.00, az:  1.01, gx: -0.24, gy: -0.40, gz: -1.83, OX: -0.04
1746025249.2198184 N:   54, t: 55963000, dt: 23316, ENC_DEG: 74.38, REF:  0.00, VEL_RAW: -3.77, VEL_AVG: -0.09, I: -8.67, D: -0.05, VEL_OUT: -18.78, MS_MPC: 27955.52, ax:  0.01, ay:  0.00, az:  1.02, gx: -1.22, gy: -0.46, gz: -1.22, OX:  0.01
1746025249.257718  N:   55, t: 55980903, dt: 17903, ENC_DEG: 74.47, REF:  0.00, VEL_RAW:  4.91, VEL_AVG:  0.03, I: -8.71, D:  0.06, VEL_OUT: -17.14, MS_MPC: 27935.14, ax:  0.01, ay:  0.00, az:  1.01, gx: -1.28, gy:  0.64, gz: -0.85, OX: -0.05
1746025249.2646978 N:   56, t: 56000381, dt: 19478, ENC_DEG: 74.40, REF:  0.00, VEL_RAW: -3.38, VEL_AVG:  0.02, I: -8.73, D:  0.01, VEL_OUT: -17.55, MS_MPC: 27950.44, ax:  0.01, ay: -0.00, az:  0.99, gx: -1.16, gy:  1.43, gz: -0.18, OX: -0.05
1746025249.3205485 N:   57, t: 56023928, dt: 23547, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  1.87, VEL_AVG:  0.26, I: -8.99, D: -0.24, VEL_OUT: -23.00, MS_MPC: 27940.25, ax:  0.01, ay: -0.00, az:  0.98, gx: -0.31, gy:  1.43, gz:  0.55, OX:  0.10
1746025249.35745   N:   58, t: 56039478, dt: 15550, ENC_DEG: 74.44, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -9.06, D:  0.19, VEL_OUT: -17.00, MS_MPC: 27940.25, ax:  0.01, ay:  0.00, az:  0.98, gx:  0.37, gy:  1.31, gz:  0.61, OX:  0.04
1746025249.3584473 N:   59, t: 56058775, dt: 19297, ENC_DEG: 74.42, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.28, I: -9.34, D: -0.21, VEL_OUT: -23.53, MS_MPC: 27945.35, ax:  0.00, ay:  0.01, az:  0.98, gx:  0.73, gy:  1.31, gz:  0.85, OX:  0.12
1746025249.3594444 N:   60, t: 56079086, dt: 20311, ENC_DEG: 74.51, REF:  0.00, VEL_RAW:  4.33, VEL_AVG:  0.56, I: -9.90, D: -0.28, VEL_OUT: -28.11, MS_MPC: 27924.89, ax:  0.00, ay:  0.02, az:  0.99, gx:  1.28, gy:  1.13, gz:  0.31, OX:  0.06
