1746025553.4010386 N:    0, t: 34188586, dt: 34188586, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  1.89, VEL_AVG:  0.16, I: -0.16, D: -0.16, VEL_OUT: -3.47, MS_MPC: 29364.81, ax:  0.01, ay: -0.05, az:  1.01, gx:  1.40, gy: -0.92, gz:  1.25, OX:  0.00
1746025553.4070225 N:    1, t: 34210177, dt: 21591, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -0.32, D:  0.00, VEL_OUT: -2.21, MS_MPC: 29364.81, ax:  0.00, ay: -0.05, az:  1.01, gx:  0.92, gy: -1.95, gz:  0.58, OX:  0.03
1746025553.4130075 N:    2, t: 34227245, dt: 17068, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -0.47, D:  0.00, VEL_OUT: -2.53, MS_MPC: 29364.81, ax: -0.00, ay: -0.04, az:  1.01, gx:  0.55, gy: -2.50, gz: -0.09, OX: -0.03
1746025553.4200008 N:    3, t: 34247621, dt: 20376, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -0.63, D:  0.00, VEL_OUT: -2.84, MS_MPC: 29364.81, ax: -0.01, ay: -0.04, az:  1.02, gx:  0.06, gy: -2.81, gz: -0.82, OX: -0.00
1746025553.5177286 N:    4, t: 34272460, dt: 24839, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -0.79, D:  0.00, VEL_OUT: -3.16, MS_MPC: 29364.81, ax: -0.01, ay: -0.05, az:  1.04, gx: -0.49, gy: -3.05, gz: -1.74, OX: -0.04
1746025553.6394038 N:    5, t: 34287900, dt: 15440, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -0.95, D:  0.00, VEL_OUT: -3.47, MS_MPC: 29364.81, ax: -0.01, ay: -0.05, az:  1.04, gx: -0.61, gy: -2.99, gz: -2.29, OX: -0.02
1746025553.645386  N:    6, t: 34308943, dt: 21043, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -1.11, D:  0.00, VEL_OUT: -3.79, MS_MPC: 29364.81, ax: -0.00, ay: -0.06, az:  1.04, gx: -1.10, gy: -2.56, gz: -3.08, OX: -0.09
1746025553.6513722 N:    7, t: 34329079, dt: 20136, ENC_DEG: 64.73, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.02, I: -1.13, D:  0.13, VEL_OUT: -1.16, MS_MPC: 29368.12, ax:  0.00, ay: -0.07, az:  1.03, gx: -1.34, gy: -2.08, gz: -2.90, OX: -0.03
1746025553.6573904 N:   10, t: 34387794, dt: 19174, ENC_DEG: 64.73, REF:  0.00, VEL_RAW: -3.44, VEL_AVG: -0.04, I: -1.55, D:  0.21, VEL_OUT: -1.45, MS_MPC: 29368.12, ax:  0.01, ay: -0.07, az:  1.01, gx: -2.62, gy:  0.79, gz:  0.89, OX:  0.02
1746025553.663372  N:   12, t: 34427154, dt: 19308, ENC_DEG: 64.75, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.11, I: -1.90, D:  0.12, VEL_OUT: -3.74, MS_MPC: 29366.47, ax: -0.00, ay: -0.05, az:  1.01, gx: -3.48, gy:  1.46, gz:  2.35, OX:  0.03
1746025553.669322  N:   13, t: 34507848, dt: 80694, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.27, VEL_AVG: -0.09, I: -1.99, D:  0.02, VEL_OUT: -4.66, MS_MPC: 29364.81, ax: -0.02, ay: -0.04, az:  1.02, gx: -1.10, gy: -1.71, gz: -0.95, OX:  0.09
