1746025649.3429623 N:    0, t: 28128769, dt: 28128769, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  0.16, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.29, MS_MPC: 21988.80, ax:  0.00, ay:  0.00, az:  0.99, gx: -0.12, gy: -0.43, gz: -0.12, OX:  0.02
1746025649.401743  N:    1, t: 28150374, dt: 21605, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.10, I: -0.11, D: -0.08, VEL_OUT: -2.05, MS_MPC: 21993.95, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.24, gz: -0.06, OX:  0.03
1746025649.407726  N:    2, t: 28169553, dt: 19179, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -0.21, D:  0.00, VEL_OUT: -1.39, MS_MPC: 21993.95, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.37, gz: -0.24, OX:  0.02
1746025649.5214217 N:    3, t: 28189784, dt: 20231, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -0.31, D:  0.00, VEL_OUT: -1.59, MS_MPC: 21993.95, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.61, gy: -0.61, gz: -0.61, OX: -0.03
1746025649.5772736 N:    4, t: 28208850, dt: 19066, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.00, I: -0.31, D:  0.10, VEL_OUT:  0.33, MS_MPC: 21988.80, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.61, gy: -0.55, gz: -0.79, OX: -0.01
1746025649.5832586 N:    6, t: 28249691, dt: 16289, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -1.35, VEL_AVG: -0.19, I: -0.57, D: -0.11, VEL_OUT: -4.11, MS_MPC: 21978.52, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.85, gz: -0.73, OX: -0.01
1746025649.6371133 N:    7, t: 28273145, dt: 23454, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.81, VEL_AVG:  0.05, I: -0.61, D:  0.14, VEL_OUT: -0.35, MS_MPC: 21993.95, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.31, gy: -1.10, gz: -1.04, OX:  0.01
1746025649.643095  N:   10, t: 28331773, dt: 22132, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  0.99, VEL_AVG: -0.07, I: -0.99, D:  0.08, VEL_OUT: -1.85, MS_MPC: 21988.80, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.18, gy: -1.04, gz: -1.22, OX: -0.01
1746025649.7009418 N:   12, t: 28409403, dt: 19467, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.07, I: -1.16, D:  0.03, VEL_OUT: -2.79, MS_MPC: 21993.95, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.49, gy: -0.79, gz: -0.98, OX: -0.01
1746025649.706959  N:   13, t: 28451314, dt: 41911, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -1.18, D:  0.06, VEL_OUT: -1.83, MS_MPC: 21993.95, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.61, gy: -0.49, gz: -0.61, OX:  0.01
1746025649.713907  N:   15, t: 28491779, dt: 23306, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.89, VEL_AVG: -0.07, I: -1.47, D:  0.16, VEL_OUT: -2.03, MS_MPC: 21993.95, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.43, gy: -0.37, gz: -0.67, OX: -0.00
1746025649.7198923 N:   16, t: 28512155, dt: 20376, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.15, I: -1.62, D: -0.08, VEL_OUT: -5.58, MS_MPC: 21983.66, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.31, gy: -0.12, gz: -0.43, OX: -0.02
1746025649.7258763 N:   18, t: 28552667, dt: 23222, ENC_DEG:  4.31, REF:  0.00, VEL_RAW: -2.84, VEL_AVG: -0.09, I: -1.74, D: -0.06, VEL_OUT: -5.08, MS_MPC: 21973.37, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.06, gz: -0.24, OX:  0.00
1746025649.7318594 N:   19, t: 28570985, dt: 18318, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  4.80, VEL_AVG:  0.07, I: -1.81, D:  0.02, VEL_OUT: -4.10, MS_MPC: 21993.95, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.06, gz: -0.06, OX:  0.01
1746025649.8784678 N:   20, t: 28594033, dt: 23048, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -1.91, VEL_AVG:  0.11, I: -1.93, D: -0.04, VEL_OUT: -5.42, MS_MPC: 21983.66, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.24, gz:  0.12, OX:  0.01
1746025649.9403021 N:   21, t: 28612347, dt: 18314, ENC_DEG:  4.35, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -2.04, D:  0.00, VEL_OUT: -5.22, MS_MPC: 21983.66, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.43, gz:  0.06, OX:  0.03
1746025649.9463007 N:   22, t: 28630510, dt: 18163, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.42, VEL_AVG:  0.23, I: -2.27, D: -0.12, VEL_OUT: -8.06, MS_MPC: 21993.95, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.37, gz:  0.24, OX:  0.00
1746025649.9522939 N:   23, t: 28649824, dt: 19314, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.26, I: -2.54, D: -0.03, VEL_OUT: -8.03, MS_MPC: 21993.95, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.24, gz:  0.00, OX: -0.04
1746025649.9582546 N:   26, t: 28711654, dt: 23223, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.89, VEL_AVG:  0.14, I: -2.91, D:  0.09, VEL_OUT: -6.32, MS_MPC: 21988.80, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.18, gz:  0.12, OX: -0.00
1746025650.0609796 N:   28, t: 28772010, dt: 23112, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  2.85, VEL_AVG:  0.35, I: -3.33, D: -0.29, VEL_OUT: -13.03, MS_MPC: 21999.09, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.06, gz: -0.24, OX: -0.01
1746025650.066964  N:   29, t: 28809581, dt: 37571, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -0.58, VEL_AVG:  0.20, I: -3.53, D:  0.15, VEL_OUT: -7.48, MS_MPC: 21993.95, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.12, gy:  0.00, gz: -0.49, OX: -0.07
1746025650.0729492 N:   30, t: 28831389, dt: 21808, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.43, I: -3.96, D: -0.24, VEL_OUT: -14.62, MS_MPC: 21993.95, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.18, gz: -0.37, OX:  0.00
1746025650.0789318 N:   31, t: 28850679, dt: 19290, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -4.00, D:  0.40, VEL_OUT: -4.33, MS_MPC: 21993.95, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.31, gz: -0.37, OX: -0.01
1746025650.0849168 N:   34, t: 28909512, dt: 17230, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.02, I: -4.32, D:  0.10, VEL_OUT: -7.87, MS_MPC: 21993.95, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.37, gz:  0.12, OX:  0.02
1746025650.0918968 N:   35, t: 28930795, dt: 21283, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -3.10, VEL_AVG: -0.24, I: -4.56, D: -0.22, VEL_OUT: -13.73, MS_MPC: 21978.52, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.31, gz: -0.12, OX: -0.01
1746025650.41902   N:   36, t: 28951795, dt: 21000, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  3.14, VEL_AVG:  0.10, I: -4.66, D:  0.14, VEL_OUT: -9.01, MS_MPC: 21993.95, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.24, gz: -0.18, OX:  0.00
1746025650.4818761 N:   37, t: 28969124, dt: 17329, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -2.54, VEL_AVG:  0.12, I: -4.78, D: -0.01, VEL_OUT: -10.87, MS_MPC: 21983.66, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.12, gz: -0.24, OX: -0.03
1746025650.4868639 N:   38, t: 28988577, dt: 19453, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.05, I: -4.83, D:  0.06, VEL_OUT: -9.57, MS_MPC: 21988.80, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.31, gz: -0.31, OX: -0.02
