1746024707.151339  N:    0, t: 51824862, dt: 51824862, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.09, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.16, MS_MPC: 22029.90, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.24, gz:  0.43, OX:  0.03
1746024707.1573222 N:    1, t: 51846576, dt: 21714, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.01, VEL_AVG:  0.09, I: -0.10, D: -0.08, VEL_OUT: -1.96, MS_MPC: 22035.04, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.37, gz:  0.06, OX:  0.00
1746024707.164264  N:    2, t: 51865928, dt: 19352, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.00, I: -0.10, D:  0.09, VEL_OUT:  0.65, MS_MPC: 22029.90, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.55, gz: -0.24, OX: -0.02
1746024707.1692882 N:    3, t: 51886237, dt: 20309, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -0.10, D:  0.00, VEL_OUT: -0.24, MS_MPC: 22029.90, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.43, gz: -0.06, OX: -0.05
1746024707.2121482 N:    4, t: 51907084, dt: 20847, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.08, I: -0.19, D: -0.08, VEL_OUT: -2.05, MS_MPC: 22035.04, ax: -0.01, ay: -0.00, az:  1.01, gx:  0.49, gy: -0.06, gz:  0.12, OX:  0.02
1746024707.2181184 N:    5, t: 51924741, dt: 17657, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -0.27, D:  0.00, VEL_OUT: -1.40, MS_MPC: 22035.04, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.18, gz:  0.18, OX: -0.00
1746024707.2231383 N:    6, t: 51944767, dt: 20026, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  2.19, VEL_AVG:  0.27, I: -0.54, D: -0.18, VEL_OUT: -5.59, MS_MPC: 22045.30, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.43, gy:  0.12, gz:  0.43, OX: -0.03
1746024707.2719746 N:    7, t: 51964773, dt: 20006, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -2.20, VEL_AVG:  0.08, I: -0.63, D:  0.18, VEL_OUT: -0.27, MS_MPC: 22035.04, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.79, gy: -0.12, gz:  0.49, OX: -0.01
1746024707.2779593 N:    8, t: 51984520, dt: 19747, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -0.71, D:  0.00, VEL_OUT: -2.27, MS_MPC: 22035.04, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.73, gy:  0.00, gz:  0.67, OX:  0.03
1746024707.283943  N:    9, t: 52005647, dt: 21127, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.17, I: -0.88, D: -0.09, VEL_OUT: -4.35, MS_MPC: 22040.17, ax: -0.01, ay: -0.00, az:  1.01, gx:  0.73, gy:  0.12, gz:  0.92, OX:  0.02
1746024707.3318155 N:   10, t: 52026691, dt: 21044, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.26, I: -1.14, D: -0.09, VEL_OUT: -5.74, MS_MPC: 22045.30, ax: -0.01, ay: -0.00, az:  1.01, gx:  0.55, gy:  0.37, gz:  0.73, OX:  0.01
