1746026981.542397  N:    0, t: 75824976, dt: 75824976, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.06, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.11, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.85, gy:  0.24, gz: -0.46, OX: -0.03
1746026981.548397  N:    1, t: 75845295, dt: 20319, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.01, I: -0.01, D:  0.00, VEL_OUT: -0.07, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.98, gy:  0.61, gz:  0.03, OX:  0.01
1746026981.5543728 N:    2, t: 75870286, dt: 24991, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.76, VEL_AVG: -0.14, I: -0.15, D: -0.14, VEL_OUT: -3.08, MS_MPC: 22024.77, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.73, gy:  0.55, gz:  0.27, OX:  0.02
1746026981.5603614 N:    3, t: 75888469, dt: 18183, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  3.63, VEL_AVG:  0.16, I: -0.31, D: -0.02, VEL_OUT: -2.42, MS_MPC: 22040.17, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.49, gy:  0.31, gz:  0.15, OX:  0.00
1746026981.5663326 N:    4, t: 75907515, dt: 19046, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.06, I: -0.38, D:  0.10, VEL_OUT: -0.44, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.06, gz: -0.09, OX: -0.06
1746026981.604232  N:    5, t: 75925653, dt: 18138, ENC_DEG:  4.66, REF:  0.00, VEL_RAW:  4.85, VEL_AVG:  0.47, I: -0.84, D: -0.40, VEL_OUT: -10.41, MS_MPC: 22055.56, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.43, gy:  0.18, gz:  0.09, OX: -0.01
1746026981.6092248 N:    6, t: 75946313, dt: 20660, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -5.32, VEL_AVG:  0.03, I: -0.87, D:  0.44, VEL_OUT:  2.44, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.37, gy:  0.31, gz:  0.40, OX:  0.01
1746026981.615204  N:    7, t: 75966516, dt: 20203, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.21, I: -1.08, D: -0.18, VEL_OUT: -6.03, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.67, gy:  0.24, gz:  0.64, OX:  0.07
1746026981.7229142 N:    8, t: 75985552, dt: 19036, ENC_DEG:  4.64, REF:  0.00, VEL_RAW:  2.31, VEL_AVG:  0.40, I: -1.47, D: -0.19, VEL_OUT: -8.86, MS_MPC: 22050.43, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.73, gy: -0.12, gz:  0.03, OX:  0.02
1746026981.7288976 N:    9, t: 76007529, dt: 21977, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -3.00, VEL_AVG:  0.15, I: -1.62, D:  0.25, VEL_OUT: -2.23, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.55, gy:  0.00, gz: -0.52, OX: -0.05
1746026981.7827532 N:   10, t: 76025484, dt: 17955, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.22, VEL_AVG:  0.05, I: -1.67, D:  0.10, VEL_OUT: -2.78, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.06, gz: -0.70, OX: -0.02
1746026981.788737  N:   11, t: 76045833, dt: 20349, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.04, I: -1.71, D:  0.00, VEL_OUT: -3.84, MS_MPC: 22024.77, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.18, gz: -0.70, OX: -0.02
1746026981.7947218 N:   13, t: 76087190, dt: 22371, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.96, VEL_AVG:  0.17, I: -2.22, D:  0.16, VEL_OUT: -4.54, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.31, gy: -0.12, gz: -0.76, OX:  0.02
1746026981.8007066 N:   14, t: 76104821, dt: 17631, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  2.49, VEL_AVG:  0.53, I: -2.75, D: -0.35, VEL_OUT: -14.32, MS_MPC: 22045.30, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.06, gz: -0.64, OX: -0.03
1746026981.8066893 N:   16, t: 76146272, dt: 21251, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.23, I: -3.12, D: -0.10, VEL_OUT: -9.50, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.01, gx: -0.31, gy: -0.24, gz: -0.95, OX: -0.06
1746026981.812675  N:   17, t: 76165485, dt: 19213, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -3.29, D:  0.06, VEL_OUT: -7.73, MS_MPC: 22040.17, ax: -0.02, ay: -0.02, az:  1.01, gx: -0.37, gy:  0.49, gz: -0.21, OX: -0.02
1746026981.902433  N:   18, t: 76190054, dt: 24569, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -0.89, VEL_AVG:  0.20, I: -3.49, D: -0.02, VEL_OUT: -9.16, MS_MPC: 22035.04, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.18, gy:  0.31, gz:  0.03, OX:  0.05
1746026981.9094143 N:   19, t: 76208490, dt: 18436, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.08, I: -3.57, D:  0.11, VEL_OUT: -6.88, MS_MPC: 22029.90, ax: -0.01, ay: -0.01, az:  0.99, gx:  0.18, gy: -0.06, gz: -0.09, OX: -0.01
1746026981.915406  N:   20, t: 76225499, dt: 17009, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.29, VEL_AVG: -0.17, I: -3.74, D: -0.08, VEL_OUT: -10.02, MS_MPC: 22035.04, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.12, gz: -0.03, OX: -0.01
1746026981.921384  N:   21, t: 76246525, dt: 21026, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.01, I: -3.75, D:  0.16, VEL_OUT: -5.92, MS_MPC: 22029.90, ax: -0.02, ay: -0.02, az:  1.00, gx:  0.31, gy:  0.12, gz:  0.15, OX: -0.01
1746026981.959281  N:   22, t: 76270871, dt: 24346, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.81, VEL_AVG:  0.25, I: -3.99, D: -0.24, VEL_OUT: -12.85, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.31, gy:  0.43, gz:  1.31, OX:  0.04
1746026981.9652681 N:   23, t: 76287889, dt: 17018, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.58, VEL_AVG:  0.12, I: -4.11, D:  0.13, VEL_OUT: -8.18, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.01, gx:  0.37, gy:  0.24, gz:  1.07, OX:  0.03
1746026981.9712498 N:   24, t: 76305459, dt: 17570, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  3.75, VEL_AVG:  0.05, I: -4.16, D:  0.07, VEL_OUT: -8.07, MS_MPC: 22045.30, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.37, gy:  0.61, gz:  0.70, OX:  0.01
1746026981.977233  N:   25, t: 76330963, dt: 25504, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.72, VEL_AVG:  0.07, I: -4.23, D: -0.02, VEL_OUT: -9.34, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.24, gy:  0.49, gz:  0.82, OX: -0.04
1746026982.0231104 N:   26, t: 76345833, dt: 14870, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -4.37, D: -0.07, VEL_OUT: -10.85, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.00, gy:  0.49, gz:  1.07, OX:  0.00
1746026982.0290945 N:   27, t: 76366931, dt: 21098, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.14, I: -4.50, D:  0.00, VEL_OUT: -10.33, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.37, gy:  0.55, gz:  1.19, OX:  0.01
1746026982.0360768 N:   28, t: 76385100, dt: 18169, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.04, I: -4.54, D:  0.10, VEL_OUT: -8.42, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.55, gy:  0.61, gz:  0.95, OX: -0.01
1746026982.0849566 N:   29, t: 76411740, dt: 26640, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -0.82, VEL_AVG: -0.10, I: -4.64, D: -0.07, VEL_OUT: -11.01, MS_MPC: 22029.90, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.79, gy:  0.79, gz:  0.64, OX:  0.01
