1746027463.646511  N:    0, t: 30001549, dt: 30001549, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.15, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.28, MS_MPC: 22040.17, ax: -0.01, ay:  0.04, az:  1.03, gx: -4.12, gy:  4.12, gz:  5.55, OX:  0.14
1746027463.7083452 N:    1, t: 30020941, dt: 19392, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.08, I: -0.09, D: -0.07, VEL_OUT: -1.69, MS_MPC: 22035.04, ax: -0.01, ay:  0.05, az:  1.02, gx: -3.27, gy:  5.83, gz:  5.31, OX:  0.06
1746027463.7143292 N:    2, t: 30044065, dt: 23124, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.90, VEL_AVG:  0.08, I: -0.17, D:  0.00, VEL_OUT: -1.06, MS_MPC: 22045.30, ax:  0.01, ay:  0.04, az:  1.01, gx: -2.78, gy:  6.50, gz:  4.64, OX: -0.12
1746027463.7651937 N:    3, t: 30060990, dt: 16925, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -5.19, VEL_AVG: -0.36, I: -0.53, D: -0.28, VEL_OUT: -7.41, MS_MPC: 22024.77, ax:  0.01, ay:  0.03, az:  1.01, gx: -1.86, gy:  6.56, gz:  4.03, OX: -0.06
1746027463.9457512 N:    4, t: 30081272, dt: 20282, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  3.25, VEL_AVG: -0.09, I: -0.61, D:  0.27, VEL_OUT:  0.63, MS_MPC: 22040.17, ax:  0.01, ay:  0.03, az:  1.01, gx: -0.82, gy:  6.32, gz:  6.04, OX:  0.04
1746027463.951732  N:    6, t: 30146659, dt: 25908, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  0.85, VEL_AVG: -0.01, I: -0.71, D:  0.07, VEL_OUT: -0.86, MS_MPC: 22045.30, ax:  0.04, ay:  0.09, az:  0.94, gx:  4.43, gy:  3.81, gz:  6.65, OX:  0.14
1746027463.95768   N:    7, t: 30181223, dt: 34564, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -0.64, VEL_AVG: -0.07, I: -0.78, D: -0.05, VEL_OUT: -2.76, MS_MPC: 22040.17, ax:  0.04, ay:  0.09, az:  0.95, gx:  6.93, gy:  1.68, gz:  2.56, OX:  0.00
1746027463.963663  N:   10, t: 30241959, dt: 21175, ENC_DEG:  4.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -1.12, D:  0.00, VEL_OUT: -3.36, MS_MPC: 22050.43, ax:  0.02, ay:  0.00, az:  1.02, gx:  5.16, gy:  2.04, gz: -4.27, OX: -0.43
1746027463.9710004 N:   12, t: 30301657, dt: 21208, ENC_DEG:  4.88, REF:  0.00, VEL_RAW:  3.11, VEL_AVG:  0.74, I: -2.35, D: -0.25, VEL_OUT: -14.56, MS_MPC: 22106.78, ax:  0.02, ay: -0.01, az:  0.98, gx: -3.33, gy:  1.50, gz: -7.45, OX: -0.05
1746027464.0065484 N:   13, t: 30401529, dt: 99872, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -3.52, VEL_AVG:  0.54, I: -2.89, D:  0.20, VEL_OUT: -9.20, MS_MPC: 22024.77, ax:  0.00, ay:  0.05, az:  0.95, gx: -3.63, gy: -0.21, gz: -4.70, OX:  1.68
1746027464.0135314 N:   14, t: 30420952, dt: 19423, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -2.26, VEL_AVG:  0.19, I: -3.08, D:  0.35, VEL_OUT: -4.63, MS_MPC: 22014.50, ax:  0.02, ay:  0.03, az:  0.94, gx: -1.74, gy:  1.13, gz: -5.74, OX: -0.05
1746027464.0185175 N:   15, t: 30445399, dt: 24447, ENC_DEG:  4.53, REF:  0.00, VEL_RAW:  1.80, VEL_AVG:  0.78, I: -3.86, D: -0.58, VEL_OUT: -21.31, MS_MPC: 22024.77, ax:  0.05, ay:  0.00, az:  0.96, gx:  1.62, gy: -1.19, gz: -6.04, OX: -0.23
1746027464.0254996 N:   16, t: 30464949, dt: 19550, ENC_DEG:  4.46, REF:  0.00, VEL_RAW: -3.37, VEL_AVG:  0.22, I: -4.08, D:  0.55, VEL_OUT: -4.89, MS_MPC: 22009.37, ax:  0.05, ay: -0.03, az:  0.99, gx:  4.18, gy: -3.27, gz: -6.04, OX: -0.31
1746027464.0693824 N:   17, t: 30484195, dt: 19246, ENC_DEG:  4.44, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.13, I: -4.21, D:  0.10, VEL_OUT: -8.77, MS_MPC: 22004.22, ax:  0.05, ay: -0.03, az:  1.02, gx:  5.28, gy: -3.94, gz: -5.37, OX: -0.07
1746027464.0753753 N:   18, t: 30500216, dt: 16021, ENC_DEG:  4.48, REF:  0.00, VEL_RAW:  2.74, VEL_AVG:  0.29, I: -4.50, D: -0.16, VEL_OUT: -13.45, MS_MPC: 22014.50, ax:  0.05, ay: -0.03, az:  1.03, gx:  5.46, gy: -4.36, gz: -4.58, OX:  0.01
1746027464.1840892 N:   19, t: 30520761, dt: 20545, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  3.21, VEL_AVG:  0.61, I: -5.11, D: -0.32, VEL_OUT: -19.49, MS_MPC: 22029.90, ax:  0.06, ay: -0.02, az:  1.04, gx:  5.77, gy: -4.91, gz: -3.11, OX:  0.15
1746027464.1900659 N:   20, t: 30542963, dt: 22202, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -0.99, VEL_AVG:  0.34, I: -5.45, D:  0.26, VEL_OUT: -11.73, MS_MPC: 22024.77, ax:  0.05, ay:  0.01, az:  1.03, gx:  4.97, gy: -5.58, gz: -2.14, OX:  0.25
1746027464.1970391 N:   21, t: 30560923, dt: 17960, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.45, I: -5.90, D: -0.10, VEL_OUT: -17.29, MS_MPC: 22029.90, ax:  0.04, ay:  0.02, az:  1.02, gx:  4.55, gy: -5.65, gz: -2.20, OX:  0.23
1746027464.2489011 N:   22, t: 30581995, dt: 21072, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.53, I: -6.43, D: -0.09, VEL_OUT: -19.07, MS_MPC: 22035.04, ax:  0.03, ay:  0.02, az:  1.01, gx:  3.88, gy: -6.20, gz: -3.11, OX: -0.05
