1746027585.8710172 N:    0, t: 41540424, dt: 41540424, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  0.11, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.19, MS_MPC: 21988.80, ax: -0.00, ay:  0.03, az:  0.97, gx:  3.45, gy: -1.01, gz: -0.37, OX: -0.10
1746027585.8770015 N:    1, t: 41565783, dt: 25359, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -1.73, VEL_AVG: -0.14, I: -0.14, D: -0.13, VEL_OUT: -2.91, MS_MPC: 21978.52, ax: -0.00, ay:  0.01, az:  0.99, gx:  5.40, gy: -1.43, gz:  0.18, OX: -0.06
1746027585.8829875 N:    2, t: 41580904, dt: 15121, ENC_DEG:  4.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -0.28, D:  0.00, VEL_OUT: -1.92, MS_MPC: 21978.52, ax:  0.00, ay:  0.01, az:  0.99, gx:  6.20, gy: -1.31, gz:  0.31, OX: -0.01
1746027585.9308572 N:    3, t: 41599827, dt: 18923, ENC_DEG:  4.31, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.23, I: -0.51, D: -0.10, VEL_OUT: -4.32, MS_MPC: 21973.37, ax:  0.01, ay:  0.01, az:  0.99, gx:  7.54, gy: -1.68, gz:  1.40, OX:  0.05
1746027585.9887123 N:    4, t: 41619100, dt: 19273, ENC_DEG:  4.35, REF:  0.00, VEL_RAW:  2.28, VEL_AVG: -0.04, I: -0.55, D:  0.19, VEL_OUT:  0.37, MS_MPC: 21983.66, ax:  0.00, ay:  0.01, az:  0.98, gx:  7.54, gy: -2.47, gz:  1.40, OX: -0.02
1746027586.1097085 N:    5, t: 41639433, dt: 20333, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.05, I: -0.60, D: -0.01, VEL_OUT: -1.73, MS_MPC: 21988.80, ax: -0.00, ay:  0.01, az:  0.98, gx:  6.62, gy: -2.78, gz:  1.04, OX: -0.02
1746027586.1146595 N:    6, t: 41659143, dt: 19710, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  8.92, VEL_AVG:  0.79, I: -1.39, D: -0.74, VEL_OUT: -18.13, MS_MPC: 22029.90, ax: -0.00, ay: -0.00, az:  1.00, gx:  4.24, gy: -3.45, gz: -0.18, OX: -0.24
1746027586.1685157 N:    7, t: 41679353, dt: 20210, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.88, I: -2.27, D: -0.09, VEL_OUT: -14.27, MS_MPC: 22035.04, ax: -0.02, ay: -0.00, az:  1.03, gx:  1.56, gy: -4.12, gz: -0.73, OX:  0.02
1746027586.17451   N:    8, t: 41699600, dt: 20247, ENC_DEG:  4.66, REF:  0.00, VEL_RAW:  4.34, VEL_AVG:  1.24, I: -3.52, D: -0.36, VEL_OUT: -23.09, MS_MPC: 22055.56, ax: -0.03, ay:  0.03, az:  1.03, gx: -0.34, gy: -4.00, gz: -3.05, OX:  0.10
1746027586.1804879 N:   12, t: 41779528, dt: 20375, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -6.47, VEL_AVG:  0.79, I: -7.93, D:  0.55, VEL_OUT: -18.24, MS_MPC: 22029.90, ax: -0.02, ay:  0.01, az:  1.03, gx: -5.28, gy: -1.31, gz: -2.32, OX:  0.01
1746027586.186503  N:   13, t: 41845777, dt: 66249, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -2.65, VEL_AVG:  0.71, I: -8.64, D:  0.08, VEL_OUT: -23.61, MS_MPC: 21988.80, ax: -0.03, ay: -0.01, az:  0.98, gx: -3.63, gy: -0.34, gz: -1.34, OX:  0.00
1746027586.229353  N:   15, t: 41879862, dt: 20175, ENC_DEG:  4.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.41, I: -9.37, D: -0.10, VEL_OUT: -23.81, MS_MPC: 21973.37, ax: -0.02, ay: -0.02, az:  1.00, gx: -0.64, gy:  1.19, gz:  1.89, OX:  0.23
1746027586.235337  N:   16, t: 41899093, dt: 19231, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -4.57, VEL_AVG: -0.16, I: -9.52, D:  0.25, VEL_OUT: -18.12, MS_MPC: 21952.78, ax: -0.02, ay: -0.01, az:  1.01, gx:  0.89, gy:  1.37, gz:  2.81, OX:  0.05
1746027586.289863  N:   17, t: 41922064, dt: 22971, ENC_DEG:  4.29, REF:  0.00, VEL_RAW:  2.87, VEL_AVG: -0.01, I: -9.53, D:  0.15, VEL_OUT: -17.68, MS_MPC: 21968.23, ax: -0.02, ay:  0.00, az:  1.01, gx:  3.27, gy:  1.68, gz:  3.54, OX:  0.13
