1746522255.5588717 N:    0, t: 64016311, dt: 64016311, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  0.07, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.12, MS_MPC: 21957.93, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.79, gz:  0.58, OX:  0.06
1746522255.5648553 N:    1, t: 64035811, dt: 19500, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.09, I: -0.09, D: -0.08, VEL_OUT: -1.90, MS_MPC: 21952.78, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.43, gy:  0.55, gz:  0.70, OX:  0.03
1746522255.5708404 N:    2, t: 64054796, dt: 18985, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -0.18, D:  0.00, VEL_OUT: -1.25, MS_MPC: 21952.78, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.43, gy:  0.61, gz:  0.64, OX:  0.04
1746522255.5768676 N:    3, t: 64081093, dt: 26297, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -0.27, D:  0.00, VEL_OUT: -1.43, MS_MPC: 21952.78, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.18, gz:  0.34, OX: -0.03
1746522255.618855  N:    4, t: 64096083, dt: 14990, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  1.47, VEL_AVG:  0.03, I: -0.30, D:  0.05, VEL_OUT: -0.40, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.24, gz:  0.34, OX:  0.02
1746522255.6775112 N:    5, t: 64120586, dt: 24503, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.04, I: -0.35, D: -0.01, VEL_OUT: -1.17, MS_MPC: 21952.78, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.61, gz:  0.58, OX:  0.01
1746522255.6825411 N:    6, t: 64134834, dt: 14248, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -0.39, D:  0.00, VEL_OUT: -1.18, MS_MPC: 21952.78, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.43, gz:  0.58, OX:  0.01
1746522255.6894805 N:    7, t: 64159318, dt: 24484, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.03, I: -0.42, D:  0.01, VEL_OUT: -1.11, MS_MPC: 21957.93, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.37, gz:  0.34, OX:  0.00
1746522255.7338064 N:    8, t: 64177534, dt: 18216, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -0.45, D:  0.00, VEL_OUT: -1.25, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.31, gz:  0.40, OX: -0.06
1746522255.7390866 N:    9, t: 64196657, dt: 19123, ENC_DEG:  4.29, REF:  0.00, VEL_RAW:  2.30, VEL_AVG:  0.23, I: -0.68, D: -0.19, VEL_OUT: -5.53, MS_MPC: 21968.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.12, gz:  0.46, OX:  0.00
1746522255.7458513 N:   10, t: 64216023, dt: 19366, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -3.40, VEL_AVG: -0.06, I: -0.74, D:  0.17, VEL_OUT: -0.39, MS_MPC: 21952.78, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.00, gz:  0.27, OX:  0.01
1746522255.7518346 N:   11, t: 64235004, dt: 18981, ENC_DEG:  4.31, REF:  0.00, VEL_RAW:  4.63, VEL_AVG:  0.33, I: -1.07, D: -0.27, VEL_OUT: -8.09, MS_MPC: 21973.37, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.49, gy:  0.18, gz:  0.40, OX:  0.00
1746522255.7578185 N:   12, t: 64256174, dt: 21170, ENC_DEG:  4.18, REF:  0.00, VEL_RAW: -6.23, VEL_AVG: -0.20, I: -1.26, D:  0.13, VEL_OUT: -3.19, MS_MPC: 21942.48, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.43, gy:  0.31, gz:  0.40, OX:  0.02
1746522255.7986383 N:   13, t: 64275756, dt: 19582, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  4.49, VEL_AVG:  0.27, I: -1.53, D: -0.07, VEL_OUT: -6.51, MS_MPC: 21963.08, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.18, gz: -0.21, OX: -0.02
1746522255.8578925 N:   14, t: 64295578, dt: 19822, ENC_DEG:  4.24, REF:  0.00, VEL_RAW: -1.11, VEL_AVG:  0.18, I: -1.71, D:  0.09, VEL_OUT: -4.28, MS_MPC: 21957.93, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.06, gz: -0.34, OX: -0.04
1746522255.8638592 N:   15, t: 64314904, dt: 19326, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.27, I: -1.98, D: -0.09, VEL_OUT: -7.65, MS_MPC: 21963.08, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.00, gz: -0.40, OX: -0.01
1746522255.9143052 N:   16, t: 64338328, dt: 23424, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -1.88, VEL_AVG: -0.01, I: -1.99, D:  0.27, VEL_OUT: -1.35, MS_MPC: 21952.78, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.00, gz: -0.09, OX: -0.02
1746522255.9196484 N:   18, t: 64374821, dt: 19249, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.26, I: -2.32, D: -0.19, VEL_OUT: -9.14, MS_MPC: 21963.08, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.12, gz: -0.03, OX: -0.01
