1746522374.1186132 N:    0, t: 26125726, dt: 26125726, ENC_DEG: 65.41, REF:  0.00, VEL_RAW:  2.50, VEL_AVG:  0.21, I: -0.21, D: -0.21, VEL_OUT: -4.59, MS_MPC: 29314.08, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.12, gz:  0.18, OX:  0.01
1746522374.1784556 N:    1, t: 26146275, dt: 20549, ENC_DEG: 65.37, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.03, I: -0.24, D:  0.18, VEL_OUT:  1.00, MS_MPC: 29317.74, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.31, gz: -0.12, OX: -0.02
1746522374.1844387 N:    2, t: 26165649, dt: 19374, ENC_DEG: 65.33, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.16, I: -0.40, D: -0.13, VEL_OUT: -3.66, MS_MPC: 29321.38, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.24, gz: -0.18, OX: -0.05
1746522374.1904218 N:    3, t: 26187924, dt: 22275, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  0.99, VEL_AVG: -0.08, I: -0.47, D:  0.08, VEL_OUT: -0.89, MS_MPC: 29319.57, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.24, gz:  0.00, OX:  0.01
1746522374.196403  N:    4, t: 26206023, dt: 18099, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.02, I: -0.50, D:  0.05, VEL_OUT: -0.73, MS_MPC: 29317.74, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.12, gz:  0.18, OX:  0.03
1746522374.2023878 N:    6, t: 26248723, dt: 23288, ENC_DEG: 65.41, REF:  0.00, VEL_RAW:  3.77, VEL_AVG:  0.15, I: -0.81, D:  0.01, VEL_OUT: -3.00, MS_MPC: 29314.08, ax: -0.01, ay:  0.01, az:  1.01, gx:  0.31, gy: -0.12, gz: -0.31, OX:  0.07
1746522374.2393043 N:    7, t: 26266019, dt: 17296, ENC_DEG: 65.37, REF:  0.00, VEL_RAW: -2.54, VEL_AVG: -0.06, I: -0.87, D:  0.09, VEL_OUT: -1.46, MS_MPC: 29317.74, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.00, gz: -1.22, OX: -0.04
1746522374.2452745 N:    8, t: 26286311, dt: 20292, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.15, I: -1.03, D: -0.09, VEL_OUT: -4.47, MS_MPC: 29319.57, ax: -0.00, ay: -0.00, az:  0.99, gx:  0.18, gy: -0.31, gz: -1.71, OX: -0.20
1746522374.2991307 N:    9, t: 26306971, dt: 20660, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  1.06, VEL_AVG: -0.06, I: -1.09, D:  0.09, VEL_OUT: -1.92, MS_MPC: 29317.74, ax:  0.01, ay: -0.01, az:  0.98, gx:  0.00, gy: -0.98, gz: -1.59, OX: -0.02
1746522374.3051138 N:   10, t: 26325310, dt: 18339, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.16, I: -1.25, D: -0.10, VEL_OUT: -5.13, MS_MPC: 29319.57, ax:  0.00, ay: -0.01, az:  0.98, gx:  0.00, gy: -1.16, gz: -1.65, OX: -0.01
1746522374.311097  N:   11, t: 26350775, dt: 25465, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -1.41, D:  0.00, VEL_OUT: -4.45, MS_MPC: 29319.57, ax: -0.00, ay: -0.01, az:  0.99, gx:  0.24, gy: -1.16, gz: -1.28, OX:  0.01
1746522374.3170831 N:   12, t: 26369025, dt: 18250, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  1.20, VEL_AVG: -0.27, I: -1.68, D: -0.11, VEL_OUT: -7.16, MS_MPC: 29317.74, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.43, gy: -0.49, gz:  0.00, OX:  0.04
1746522374.3589704 N:   13, t: 26389248, dt: 20223, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -1.78, D:  0.18, VEL_OUT: -2.70, MS_MPC: 29317.74, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.55, gy:  0.00, gz:  0.98, OX:  0.06
1746522374.3649523 N:   14, t: 26405298, dt: 16050, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -1.87, D: -0.00, VEL_OUT: -4.75, MS_MPC: 29317.74, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.43, gy: -0.12, gz:  0.79, OX:  0.06
