1746520298.8104925 N:    0, t: 87405087, dt: 87405087, ENC_DEG: 12.28, REF:  0.00, VEL_RAW:  0.14, VEL_AVG:  0.01, I: -0.01, D: -0.01, VEL_OUT: -0.26, MS_MPC: 23764.76, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.49, gy: -0.40, gz: -1.10, OX: -0.08
1746520298.8166213 N:    1, t: 87430444, dt: 25357, ENC_DEG: 12.37, REF:  0.00, VEL_RAW:  3.47, VEL_AVG:  0.30, I: -0.31, D: -0.29, VEL_OUT: -6.52, MS_MPC: 23783.61, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy: -0.27, gz: -1.53, OX: -0.09
1746520298.8702261 N:    2, t: 87444961, dt: 14517, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -6.04, VEL_AVG: -0.20, I: -0.52, D:  0.10, VEL_OUT: -2.08, MS_MPC: 23764.76, ax:  0.01, ay: -0.02, az:  1.01, gx:  0.18, gy: -0.21, gz: -0.85, OX: -0.09
1746520298.9282038 N:    3, t: 87466182, dt: 21221, ENC_DEG: 12.37, REF:  0.00, VEL_RAW:  4.15, VEL_AVG:  0.14, I: -0.66, D:  0.06, VEL_OUT: -2.14, MS_MPC: 23783.61, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.03, gz:  0.06, OX:  0.14
1746520298.9342113 N:    4, t: 87484275, dt: 18093, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -3.64, VEL_AVG: -0.16, I: -0.82, D: -0.02, VEL_OUT: -3.42, MS_MPC: 23769.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.43, gy:  0.15, gz:  0.49, OX:  0.06
1746520298.9392912 N:    5, t: 87509095, dt: 24820, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -0.98, D:  0.00, VEL_OUT: -3.57, MS_MPC: 23769.47, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.27, gz:  0.61, OX:  0.02
1746520298.9452786 N:    6, t: 87524195, dt: 15100, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -1.14, D:  0.00, VEL_OUT: -3.89, MS_MPC: 23769.47, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.09, gz:  0.49, OX:  0.03
1746520298.9516025 N:    8, t: 87568756, dt: 23656, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  1.86, VEL_AVG: -0.09, I: -1.48, D:  0.15, VEL_OUT: -2.35, MS_MPC: 23774.19, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.58, gz: -0.06, OX: -0.04
1746520298.9909742 N:    9, t: 87583881, dt: 15125, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -1.58, D:  0.00, VEL_OUT: -4.09, MS_MPC: 23774.19, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.27, gz:  0.12, OX:  0.03
1746520298.9969554 N:   10, t: 87606930, dt: 23049, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -0.95, VEL_AVG: -0.17, I: -1.75, D: -0.08, VEL_OUT: -6.02, MS_MPC: 23769.47, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.21, gz:  0.55, OX:  0.02
1746520299.067126  N:   11, t: 87625535, dt: 18605, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -1.92, D:  0.00, VEL_OUT: -5.57, MS_MPC: 23769.47, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.21, gz:  0.43, OX: -0.01
1746520299.0681236 N:   12, t: 87643816, dt: 18281, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.28, I: -2.21, D: -0.11, VEL_OUT: -8.38, MS_MPC: 23764.76, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.43, gy: -0.34, gz:  0.18, OX: -0.01
1746520299.1048603 N:   13, t: 87664090, dt: 20274, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.48, I: -2.69, D: -0.20, VEL_OUT: -12.20, MS_MPC: 23769.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.46, gz:  0.37, OX: -0.06
1746520299.1121883 N:   14, t: 87684518, dt: 20428, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -2.71, D:  0.46, VEL_OUT: -0.99, MS_MPC: 23769.47, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.73, gy: -0.15, gz:  0.67, OX:  0.12
1746520299.1168082 N:   15, t: 87705262, dt: 20744, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.33, I: -3.04, D: -0.31, VEL_OUT: -12.38, MS_MPC: 23769.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.55, gy: -0.21, gz:  0.55, OX:  0.02
1746520299.123516  N:   16, t: 87725504, dt: 20242, ENC_DEG: 12.35, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.16, I: -3.19, D:  0.17, VEL_OUT: -6.31, MS_MPC: 23778.90, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.40, gz:  0.12, OX: -0.09
1746520299.1288698 N:   17, t: 87745154, dt: 19650, ENC_DEG: 12.33, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.07, I: -3.26, D:  0.09, VEL_OUT: -6.24, MS_MPC: 23774.19, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.46, gz:  0.12, OX: -0.03
1746520299.172943  N:   18, t: 87764216, dt: 19062, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -2.31, VEL_AVG: -0.13, I: -3.39, D: -0.06, VEL_OUT: -8.64, MS_MPC: 23764.76, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.24, gy: -0.27, gz:  0.18, OX: -0.01
1746520299.2895873 N:   19, t: 87785515, dt: 21299, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  2.06, VEL_AVG:  0.13, I: -3.52, D: -0.01, VEL_OUT: -8.44, MS_MPC: 23774.19, ax:  0.00, ay: -0.00, az:  1.01, gx: -0.24, gy:  0.40, gz:  0.98, OX:  0.08
1746520299.2955768 N:   20, t: 87806442, dt: 20927, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -2.10, VEL_AVG: -0.20, I: -3.72, D: -0.06, VEL_OUT: -10.04, MS_MPC: 23764.76, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.52, gz:  0.73, OX:  0.13
1746520299.3475425 N:   21, t: 87824299, dt: 17857, ENC_DEG: 12.28, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.20, I: -3.91, D:  0.00, VEL_OUT: -9.79, MS_MPC: 23764.76, ax:  0.01, ay:  0.01, az:  1.01, gx: -0.37, gy:  0.03, gz:  0.24, OX:  0.01
1746520299.3537474 N:   22, t: 87845503, dt: 21204, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.03, I: -3.94, D:  0.17, VEL_OUT: -6.54, MS_MPC: 23769.47, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.21, gz: -0.79, OX: -0.06
1746520299.3596315 N:   26, t: 87928587, dt: 23325, ENC_DEG: 12.35, REF:  0.00, VEL_RAW:  0.94, VEL_AVG:  0.24, I: -4.63, D: -0.08, VEL_OUT: -12.42, MS_MPC: 23778.90, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.12, gy: -0.34, gz:  0.12, OX:  0.00
1746520299.3656142 N:   27, t: 87946895, dt: 18308, ENC_DEG: 12.33, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.14, I: -4.77, D:  0.10, VEL_OUT: -9.91, MS_MPC: 23774.19, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.34, gz:  0.06, OX:  0.02
1746520299.373752  N:   29, t: 87989695, dt: 25590, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -4.87, D: -0.01, VEL_OUT: -10.28, MS_MPC: 23774.19, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.06, gy: -0.46, gz: -0.49, OX: -0.06
1746520299.4702423 N:   30, t: 88004418, dt: 14723, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.24, I: -5.11, D: -0.19, VEL_OUT: -14.55, MS_MPC: 23774.19, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.34, gz: -0.06, OX: -0.02
1746520299.4763334 N:   31, t: 88023729, dt: 19311, ENC_DEG: 12.35, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.16, I: -5.27, D:  0.08, VEL_OUT: -11.41, MS_MPC: 23778.90, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.31, gy: -0.46, gz:  0.37, OX:  0.02
1746520299.4823232 N:   32, t: 88043918, dt: 20189, ENC_DEG: 12.33, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.25, I: -5.52, D: -0.08, VEL_OUT: -14.37, MS_MPC: 23774.19, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.40, gz:  0.67, OX:  0.05
1746520299.488303  N:   33, t: 88064165, dt: 20247, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -2.17, VEL_AVG:  0.07, I: -5.59, D:  0.18, VEL_OUT: -10.04, MS_MPC: 23764.76, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.55, gy:  0.03, gz:  0.67, OX:  0.12
1746520299.4952831 N:   35, t: 88106480, dt: 22154, ENC_DEG: 12.35, REF:  0.00, VEL_RAW:  0.99, VEL_AVG:  0.05, I: -5.80, D:  0.12, VEL_OUT: -10.90, MS_MPC: 23778.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.85, gy: -0.52, gz: -0.55, OX: -0.09
1746520299.5303187 N:   36, t: 88125733, dt: 19253, ENC_DEG: 12.33, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.09, I: -5.89, D: -0.04, VEL_OUT: -13.14, MS_MPC: 23774.19, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.55, gy: -0.46, gz: -0.37, OX: -0.09
1746520299.5359278 N:   37, t: 88145070, dt: 19337, ENC_DEG: 12.28, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.22, I: -6.11, D: -0.13, VEL_OUT: -15.67, MS_MPC: 23764.76, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.67, gy: -0.52, gz:  0.24, OX:  0.06
1746520299.5902033 N:   38, t: 88164131, dt: 19061, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.20, I: -6.31, D:  0.02, VEL_OUT: -14.45, MS_MPC: 23769.47, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.61, gy: -0.46, gz:  0.55, OX:  0.14
1746520299.596186  N:   39, t: 88184525, dt: 20394, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -6.41, D:  0.10, VEL_OUT: -12.83, MS_MPC: 23769.47, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.52, gz:  0.37, OX:  0.03
1746520299.6021698 N:   40, t: 88204504, dt: 19979, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.10, I: -6.51, D:  0.00, VEL_OUT: -14.03, MS_MPC: 23769.47, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.76, gz: -0.24, OX:  0.00
1746520299.608154  N:   41, t: 88225498, dt: 20994, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.01, I: -6.52, D:  0.09, VEL_OUT: -12.31, MS_MPC: 23774.19, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -1.01, gz: -1.22, OX: -0.05
1746520299.6496017 N:   42, t: 88244517, dt: 19019, ENC_DEG: 12.35, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.08, I: -6.61, D: -0.07, VEL_OUT: -14.73, MS_MPC: 23778.90, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.43, gy: -0.95, gz: -1.16, OX: -0.06
1746520299.6566267 N:   43, t: 88265493, dt: 20976, ENC_DEG: 12.33, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.10, I: -6.71, D: -0.02, VEL_OUT: -14.58, MS_MPC: 23774.19, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.64, gz: -0.92, OX:  0.01
1746520299.7101042 N:   44, t: 88284619, dt: 19126, ENC_DEG: 12.35, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.09, I: -6.79, D:  0.01, VEL_OUT: -14.33, MS_MPC: 23778.90, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.76, gz: -0.49, OX:  0.03
1746520299.7158878 N:   45, t: 88309102, dt: 24483, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -1.79, VEL_AVG:  0.12, I: -6.91, D: -0.03, VEL_OUT: -15.32, MS_MPC: 23769.47, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.89, gz: -0.24, OX: -0.00
1746520299.7707417 N:   46, t: 88325214, dt: 16112, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -6.97, D:  0.05, VEL_OUT: -14.03, MS_MPC: 23769.47, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.82, gz: -0.18, OX:  0.01
1746520299.7767282 N:   47, t: 88346196, dt: 20982, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -7.12, D: -0.08, VEL_OUT: -16.53, MS_MPC: 23769.47, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.55, gy: -0.58, gz: -0.61, OX:  0.01
