1746520894.6164722 N:    0, t: 27984894, dt: 27984894, ENC_DEG: 11.21, REF:  0.00, VEL_RAW:  0.40, VEL_AVG:  0.03, I: -0.03, D: -0.03, VEL_OUT: -0.73, MS_MPC: 23532.24, ax: -0.03, ay:  0.04, az:  1.01, gx: -0.34, gy:  1.71, gz:  3.39, OX:  0.07
1746520894.6767592 N:    1, t: 28006304, dt: 21410, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.12, I: -0.15, D: -0.09, VEL_OUT: -2.35, MS_MPC: 23537.02, ax: -0.03, ay:  0.05, az:  1.01, gx: -0.40, gy:  1.95, gz:  2.66, OX:  0.06
1746520894.6826975 N:    2, t: 28028648, dt: 22344, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  1.97, VEL_AVG:  0.28, I: -0.44, D: -0.16, VEL_OUT: -5.34, MS_MPC: 23546.57, ax: -0.02, ay:  0.04, az:  1.00, gx:  0.09, gy:  2.14, gz:  1.68, OX: -0.03
1746520894.6887045 N:    3, t: 28045910, dt: 17262, ENC_DEG: 11.25, REF:  0.00, VEL_RAW: -1.27, VEL_AVG:  0.18, I: -0.61, D:  0.11, VEL_OUT: -1.93, MS_MPC: 23541.79, ax: -0.01, ay:  0.03, az:  1.00, gx:  0.21, gy:  1.71, gz:  0.70, OX: -0.09
1746520894.6946924 N:    4, t: 28065223, dt: 19313, ENC_DEG: 11.27, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.27, I: -0.88, D: -0.09, VEL_OUT: -5.43, MS_MPC: 23546.57, ax: -0.01, ay:  0.01, az:  0.99, gx:  0.09, gy:  1.34, gz:  0.03, OX: -0.27
1746520894.7361925 N:    5, t: 28085217, dt: 19994, ENC_DEG: 11.21, REF:  0.00, VEL_RAW: -3.30, VEL_AVG: -0.00, I: -0.89, D:  0.27, VEL_OUT:  0.88, MS_MPC: 23532.24, ax: -0.02, ay:  0.00, az:  0.99, gx: -0.40, gy:  1.53, gz:  0.64, OX: -0.01
1746520894.7428424 N:    6, t: 28105441, dt: 20224, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.09, I: -0.97, D: -0.08, VEL_OUT: -3.66, MS_MPC: 23537.02, ax: -0.02, ay:  0.01, az:  0.98, gx: -0.89, gy:  1.71, gz:  0.52, OX:  0.08
1746520894.7482548 N:    7, t: 28126435, dt: 20994, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -1.06, D:  0.00, VEL_OUT: -3.00, MS_MPC: 23537.02, ax: -0.03, ay:  0.02, az:  0.97, gx: -1.01, gy:  0.37, gz: -0.64, OX:  0.08
1746520894.7961948 N:    8, t: 28151128, dt: 24693, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -1.15, D:  0.00, VEL_OUT: -3.17, MS_MPC: 23537.02, ax: -0.03, ay:  0.02, az:  0.98, gx: -0.82, gy: -1.16, gz: -2.11, OX: -0.03
1746520894.802168  N:    9, t: 28166415, dt: 15287, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -1.24, D:  0.00, VEL_OUT: -3.34, MS_MPC: 23537.02, ax: -0.02, ay:  0.00, az:  0.99, gx: -1.07, gy: -1.95, gz: -3.81, OX: -0.07
1746520894.8551726 N:   10, t: 28185460, dt: 19045, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -1.32, D:  0.00, VEL_OUT: -3.52, MS_MPC: 23537.02, ax: -0.02, ay: -0.01, az:  1.01, gx: -1.31, gy: -2.50, gz: -4.18, OX: -0.16
