1746520988.3397365 N:    0, t: 32665374, dt: 32665374, ENC_DEG: 55.61, REF:  0.00, VEL_RAW:  1.70, VEL_AVG:  0.14, I: -0.14, D: -0.14, VEL_OUT: -3.12, MS_MPC: 29600.48, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.67, gz: -0.52, OX:  0.03
1746520988.399932  N:    1, t: 32684813, dt: 19439, ENC_DEG: 55.55, REF:  0.00, VEL_RAW: -3.39, VEL_AVG: -0.14, I: -0.28, D:  0.00, VEL_OUT: -1.95, MS_MPC: 29599.29, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -1.22, gz: -1.25, OX: -0.08
1746520988.404915  N:    2, t: 32705778, dt: 20965, ENC_DEG: 55.57, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.05, I: -0.34, D:  0.09, VEL_OUT: -0.32, MS_MPC: 29599.69, ax: -0.01, ay: -0.01, az:  1.01, gx: -0.24, gy: -1.89, gz: -1.68, OX: -0.01
1746520988.4104857 N:    3, t: 32724484, dt: 18706, ENC_DEG: 55.72, REF:  0.00, VEL_RAW:  8.22, VEL_AVG:  0.63, I: -0.97, D: -0.58, VEL_OUT: -14.05, MS_MPC: 29602.38, ax: -0.01, ay: -0.00, az:  1.01, gx: -0.85, gy: -1.95, gz: -1.68, OX:  0.00
1746520988.4164336 N:    4, t: 32745935, dt: 21451, ENC_DEG: 55.75, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.72, I: -1.69, D: -0.09, VEL_OUT: -11.40, MS_MPC: 29602.74, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.79, gy: -2.01, gz: -1.50, OX:  0.03
1746520988.457976  N:    5, t: 32765799, dt: 19864, ENC_DEG: 55.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.72, I: -2.40, D:  0.00, VEL_OUT: -11.98, MS_MPC: 29602.74, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.55, gy: -2.32, gz: -1.31, OX:  0.01
1746520988.464604  N:    6, t: 32784122, dt: 18323, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  2.40, VEL_AVG:  0.92, I: -3.32, D: -0.20, VEL_OUT: -17.82, MS_MPC: 29603.47, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.37, gy: -2.38, gz: -1.13, OX: -0.06
1746520988.5185843 N:    7, t: 32804512, dt: 20390, ENC_DEG: 55.81, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  1.01, I: -4.33, D: -0.09, VEL_OUT: -19.63, MS_MPC: 29603.82, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.37, gy: -1.46, gz: -0.03, OX:  0.06
1746520988.524942  N:    8, t: 32825409, dt: 20897, ENC_DEG: 55.75, REF:  0.00, VEL_RAW: -3.15, VEL_AVG:  0.74, I: -5.07, D:  0.26, VEL_OUT: -14.96, MS_MPC: 29602.74, ax: -0.00, ay: -0.01, az:  1.02, gx: -0.18, gy: -0.79, gz:  0.27, OX: -0.07
1746520988.5789082 N:    9, t: 32845543, dt: 20134, ENC_DEG: 55.77, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.84, I: -5.91, D: -0.09, VEL_OUT: -21.08, MS_MPC: 29603.10, ax: -0.01, ay: -0.01, az:  1.02, gx:  0.06, gy: -0.06, gz:  0.95, OX:  0.02
1746520988.6937459 N:   10, t: 32867124, dt: 21581, ENC_DEG: 55.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.84, I: -6.74, D:  0.00, VEL_OUT: -21.84, MS_MPC: 29603.10, ax: -0.01, ay: -0.01, az:  1.01, gx: -0.43, gy:  1.16, gz:  0.89, OX: -0.03
1746520988.7002923 N:   11, t: 32886174, dt: 19050, ENC_DEG: 55.75, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.74, I: -7.48, D:  0.10, VEL_OUT: -21.40, MS_MPC: 29602.74, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.49, gy:  2.08, gz:  1.31, OX:  0.02
1746520988.7062767 N:   12, t: 32905121, dt: 18947, ENC_DEG: 55.79, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.79, I: -8.27, D: -0.05, VEL_OUT: -24.97, MS_MPC: 29603.47, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.31, gy:  2.26, gz:  1.31, OX:  0.05
1746520988.712258  N:   14, t: 32944089, dt: 18656, ENC_DEG: 55.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  1.08, I: -10.51, D:  0.09, VEL_OUT: -30.91, MS_MPC: 29603.82, ax: -0.00, ay:  0.01, az:  0.99, gx: -0.37, gy:  3.30, gz:  1.56, OX:  0.13
1746520988.7556028 N:   18, t: 33025784, dt: 20238, ENC_DEG: 55.59, REF:  0.00, VEL_RAW: -5.43, VEL_AVG: -0.77, I: -11.89, D: -0.65, VEL_OUT: -37.98, MS_MPC: 29600.09, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.61, gy:  1.95, gz: -0.40, OX:  0.01
1746520988.76212   N:   19, t: 33064331, dt: 38547, ENC_DEG: 55.57, REF:  0.00, VEL_RAW: -0.57, VEL_AVG: -0.90, I: -12.80, D: -0.14, VEL_OUT: -36.02, MS_MPC: 29599.69, ax:  0.00, ay: -0.00, az:  0.99, gx: -0.85, gy:  0.61, gz: -0.64, OX: -0.01
1746520988.7681384 N:   20, t: 33085785, dt: 21454, ENC_DEG: 55.59, REF:  0.00, VEL_RAW:  1.02, VEL_AVG: -0.56, I: -13.36, D:  0.35, VEL_OUT: -28.79, MS_MPC: 29600.09, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.98, gy: -0.24, gz: -1.13, OX: -0.04
1746520988.7741435 N:   21, t: 33104796, dt: 19011, ENC_DEG: 55.66, REF:  0.00, VEL_RAW:  3.47, VEL_AVG: -0.36, I: -13.71, D:  0.20, VEL_OUT: -29.03, MS_MPC: 29601.25, ax:  0.00, ay: -0.01, az:  1.00, gx: -1.34, gy: -0.79, gz: -1.13, OX: -0.00
1746520988.8191543 N:   22, t: 33123963, dt: 19167, ENC_DEG: 55.68, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.26, I: -13.98, D:  0.10, VEL_OUT: -29.63, MS_MPC: 29601.63, ax:  0.01, ay:  0.00, az:  1.01, gx: -1.53, gy: -0.61, gz: -0.95, OX:  0.02
1746520988.9375381 N:   23, t: 33144348, dt: 20385, ENC_DEG: 55.75, REF:  0.00, VEL_RAW:  3.23, VEL_AVG:  0.10, I: -14.08, D:  0.16, VEL_OUT: -27.59, MS_MPC: 29602.74, ax:  0.02, ay: -0.00, az:  0.99, gx: -0.92, gy: -0.67, gz: -1.25, OX: -0.05
