1746521238.0608244 N:    0, t: 23894284, dt: 23894284, ENC_DEG: 49.62, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.17, I: -0.17, D: -0.17, VEL_OUT: -3.81, MS_MPC: 29356.23, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.24, gz:  0.43, OX:  0.03
1746521238.0668032 N:    1, t: 23912863, dt: 18579, ENC_DEG: 49.62, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -0.35, D:  0.00, VEL_OUT: -2.42, MS_MPC: 29356.23, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.24, gz:  0.18, OX:  0.02
1746521238.0727525 N:    2, t: 23933699, dt: 20836, ENC_DEG: 49.59, REF:  0.00, VEL_RAW: -1.05, VEL_AVG:  0.09, I: -0.43, D:  0.09, VEL_OUT: -0.84, MS_MPC: 29354.86, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.18, gz: -0.06, OX: -0.00
1746521238.0787377 N:    3, t: 23954975, dt: 21276, ENC_DEG: 49.70, REF:  0.00, VEL_RAW:  5.16, VEL_AVG:  0.52, I: -0.95, D: -0.43, VEL_OUT: -11.35, MS_MPC: 29361.65, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.24, gy:  0.00, gz: -0.43, OX: -0.01
1746521238.0847232 N:    4, t: 23973230, dt: 18255, ENC_DEG: 49.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.52, I: -1.46, D:  0.00, VEL_OUT: -8.08, MS_MPC: 29361.65, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.00, gz:  0.00, OX: -0.02
1746521238.1203218 N:    5, t: 23993391, dt: 20161, ENC_DEG: 49.68, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.42, I: -1.89, D:  0.09, VEL_OUT: -7.11, MS_MPC: 29360.30, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.06, gz: -0.18, OX:  0.01
1746521238.1271799 N:    6, t: 24013651, dt: 20260, ENC_DEG: 49.66, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.33, I: -2.22, D:  0.09, VEL_OUT: -6.88, MS_MPC: 29358.95, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.12, gz: -0.24, OX: -0.01
1746521238.1802855 N:    7, t: 24033833, dt: 20182, ENC_DEG: 49.57, REF:  0.00, VEL_RAW: -4.36, VEL_AVG: -0.03, I: -2.25, D:  0.31, VEL_OUT: -1.73, MS_MPC: 29353.49, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.06, gz: -0.49, OX: -0.00
1746521238.186522  N:    8, t: 24058285, dt: 24452, ENC_DEG: 49.68, REF:  0.00, VEL_RAW:  4.49, VEL_AVG:  0.35, I: -2.60, D: -0.32, VEL_OUT: -11.82, MS_MPC: 29360.30, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.06, gz: -0.67, OX: -0.01
1746521238.1920674 N:    9, t: 24077206, dt: 18921, ENC_DEG: 49.59, REF:  0.00, VEL_RAW: -4.65, VEL_AVG: -0.04, I: -2.64, D:  0.30, VEL_OUT: -2.64, MS_MPC: 29354.86, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.06, gy:  0.00, gz: -0.49, OX: -0.05
1746521238.1993132 N:   10, t: 24098216, dt: 21010, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  3.14, VEL_AVG:  0.22, I: -2.86, D: -0.18, VEL_OUT: -9.70, MS_MPC: 29358.95, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.31, gz: -0.12, OX:  0.01
