1746520395.051582  N:    0, t: 27427459, dt: 27427459, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  1.92, VEL_AVG:  0.16, I: -0.16, D: -0.16, VEL_OUT: -3.51, MS_MPC: 29510.13, ax:  0.01, ay:  0.00, az:  1.01, gx: -1.16, gy:  0.06, gz:  0.12, OX: -0.01
1746520395.0585642 N:    1, t: 27447684, dt: 20225, ENC_DEG: 52.54, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.02, I: -0.18, D:  0.14, VEL_OUT:  0.81, MS_MPC: 29508.30, ax:  0.01, ay:  0.00, az:  1.01, gx: -1.71, gy:  0.12, gz:  0.24, OX:  0.02
1746520395.1108544 N:    2, t: 27470346, dt: 22662, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  1.94, VEL_AVG:  0.14, I: -0.32, D: -0.12, VEL_OUT: -3.23, MS_MPC: 29510.13, ax:  0.01, ay:  0.01, az:  1.00, gx: -1.65, gy:  0.06, gz: -0.18, OX:  0.03
1746520395.1706748 N:    3, t: 27491692, dt: 21346, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  2.06, VEL_AVG:  0.31, I: -0.63, D: -0.17, VEL_OUT: -6.10, MS_MPC: 29511.94, ax:  0.01, ay:  0.01, az:  0.99, gx: -1.10, gy: -0.12, gz: -0.43, OX: -0.02
1746520395.1766448 N:    4, t: 27507712, dt: 16020, ENC_DEG: 52.54, REF:  0.00, VEL_RAW: -5.49, VEL_AVG: -0.15, I: -0.78, D:  0.17, VEL_OUT: -1.35, MS_MPC: 29508.30, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.49, gy: -0.12, gz: -0.31, OX: -0.00
1746520395.2314956 N:    5, t: 27530699, dt: 22987, ENC_DEG: 52.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -0.92, D:  0.00, VEL_OUT: -3.30, MS_MPC: 29508.30, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.37, gy:  0.12, gz: -0.67, OX:  0.00
1746520395.2374825 N:    6, t: 27547635, dt: 16936, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  2.59, VEL_AVG:  0.07, I: -0.99, D:  0.07, VEL_OUT: -1.95, MS_MPC: 29510.13, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.37, gy: -0.06, gz: -0.92, OX: -0.06
1746520395.2434657 N:    8, t: 27591300, dt: 23590, ENC_DEG: 52.60, REF:  0.00, VEL_RAW: -0.93, VEL_AVG:  0.18, I: -1.42, D:  0.08, VEL_OUT: -3.83, MS_MPC: 29511.04, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.12, gy: -0.12, gz: -0.49, OX:  0.08
1746520395.2504454 N:    9, t: 27609529, dt: 18229, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.08, I: -1.50, D:  0.10, VEL_OUT: -2.75, MS_MPC: 29510.13, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.06, gy: -0.12, gz:  0.06, OX: -0.00
1746520395.2574272 N:   11, t: 27652258, dt: 23545, ENC_DEG: 52.56, REF:  0.00, VEL_RAW: -1.87, VEL_AVG:  0.02, I: -1.68, D:  0.16, VEL_OUT: -1.97, MS_MPC: 29509.22, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.43, gz:  0.31, OX:  0.00
1746520395.2913356 N:   12, t: 27673151, dt: 20893, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  3.15, VEL_AVG:  0.12, I: -1.80, D: -0.10, VEL_OUT: -5.82, MS_MPC: 29511.94, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.55, gy: -0.61, gz: -0.18, OX:  0.03
1746520395.3480911 N:   13, t: 27688314, dt: 15163, ENC_DEG: 52.60, REF:  0.00, VEL_RAW: -1.45, VEL_AVG:  0.18, I: -1.98, D: -0.06, VEL_OUT: -6.35, MS_MPC: 29511.04, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.73, gy: -0.67, gz: -0.67, OX:  0.01
1746520395.3543801 N:   14, t: 27710240, dt: 21926, ENC_DEG: 52.60, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -2.00, D:  0.16, VEL_OUT: -2.55, MS_MPC: 29511.04, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.55, gy: -0.98, gz: -0.92, OX: -0.04
1746520395.360364  N:   15, t: 27727534, dt: 17294, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -1.27, VEL_AVG: -0.26, I: -2.26, D: -0.24, VEL_OUT: -9.56, MS_MPC: 29510.13, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.61, gz: -0.73, OX: -0.02
1746520395.366349  N:   16, t: 27748526, dt: 20992, ENC_DEG: 52.56, REF:  0.00, VEL_RAW: -1.05, VEL_AVG:  0.11, I: -2.37, D:  0.15, VEL_OUT: -4.32, MS_MPC: 29509.22, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.12, gy:  0.00, gz:  0.12, OX:  0.05
1746520395.3733308 N:   17, t: 27769299, dt: 20773, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.20, I: -2.57, D: -0.09, VEL_OUT: -7.99, MS_MPC: 29510.13, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.00, gz:  0.18, OX:  0.07
1746520395.4112282 N:   18, t: 27787799, dt: 18500, ENC_DEG: 52.56, REF:  0.00, VEL_RAW: -1.19, VEL_AVG: -0.12, I: -2.68, D:  0.08, VEL_OUT: -5.74, MS_MPC: 29509.22, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.06, gy: -0.24, gz: -0.12, OX:  0.01
1746520395.6474752 N:   19, t: 27808262, dt: 20463, ENC_DEG: 52.60, REF:  0.00, VEL_RAW:  2.15, VEL_AVG: -0.12, I: -2.81, D: -0.00, VEL_OUT: -6.85, MS_MPC: 29511.04, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.49, gy: -0.49, gz: -0.67, OX: -0.07
1746520395.707591  N:   20, t: 27828885, dt: 20623, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.13, I: -2.94, D: -0.01, VEL_OUT: -7.31, MS_MPC: 29510.13, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.49, gy: -0.43, gz: -0.31, OX: -0.05
1746520395.7696617 N:   21, t: 27847948, dt: 19063, ENC_DEG: 52.52, REF:  0.00, VEL_RAW: -3.46, VEL_AVG: -0.32, I: -3.26, D: -0.19, VEL_OUT: -11.59, MS_MPC: 29507.38, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.37, gy:  0.12, gz:  0.43, OX:  0.02
1746520395.8315134 N:   22, t: 27873113, dt: 25165, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  4.37, VEL_AVG: -0.05, I: -3.31, D:  0.27, VEL_OUT: -4.45, MS_MPC: 29511.94, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.12, gz:  0.61, OX:  0.02
1746520395.8374984 N:   26, t: 27947913, dt: 17200, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  1.28, VEL_AVG: -0.18, I: -4.52, D:  0.11, VEL_OUT: -9.82, MS_MPC: 29510.13, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.18, gz: -1.04, OX: -0.03
1746520395.8434813 N:   28, t: 28088373, dt: 14863, ENC_DEG: 52.65, REF:  0.00, VEL_RAW:  4.43, VEL_AVG:  0.38, I: -4.98, D: -0.30, VEL_OUT: -16.75, MS_MPC: 29512.84, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.61, gz: -0.18, OX: -0.05
1746520395.8494687 N:   30, t: 28153210, dt: 23272, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  2.83, VEL_AVG:  0.36, I: -5.37, D: -0.34, VEL_OUT: -17.70, MS_MPC: 29510.13, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  1.65, gz:  1.16, OX:  0.13
1746520395.948863  N:   31, t: 28268795, dt: 115585, ENC_DEG: 52.56, REF:  0.00, VEL_RAW: -0.19, VEL_AVG:  0.17, I: -5.53, D:  0.19, VEL_OUT: -10.78, MS_MPC: 29509.22, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.61, gy:  0.31, gz:  0.31, OX:  0.03
1746520396.0684147 N:   32, t: 28287948, dt: 19153, ENC_DEG: 52.54, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.16, I: -5.69, D:  0.01, VEL_OUT: -12.91, MS_MPC: 29508.30, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.49, gy:  0.31, gz:  0.85, OX:  0.06
1746520396.1876945 N:   33, t: 28312226, dt: 24278, ENC_DEG: 52.56, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.52, I: -6.22, D: -0.36, VEL_OUT: -21.30, MS_MPC: 29509.22, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.18, gz:  0.12, OX:  0.10
1746520396.1941254 N:   34, t: 28329587, dt: 17361, ENC_DEG: 52.56, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -6.38, D:  0.36, VEL_OUT: -10.71, MS_MPC: 29509.22, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.49, gy:  0.12, gz: -0.31, OX:  0.01
1746520396.2000687 N:   36, t: 28372960, dt: 24519, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -0.90, VEL_AVG:  0.53, I: -7.04, D: -0.40, VEL_OUT: -23.41, MS_MPC: 29510.13, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.31, gz: -0.18, OX: -0.03
1746520396.2050529 N:   40, t: 28448953, dt: 16996, ENC_DEG: 52.60, REF:  0.00, VEL_RAW: -1.29, VEL_AVG:  0.07, I: -8.49, D:  0.48, VEL_OUT: -12.87, MS_MPC: 29511.04, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.49, gz:  0.12, OX:  0.03
1746520396.2110372 N:   42, t: 28530951, dt: 22098, ENC_DEG: 52.54, REF:  0.00, VEL_RAW: -2.98, VEL_AVG: -0.15, I: -8.98, D:  0.18, VEL_OUT: -17.73, MS_MPC: 29508.30, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.00, gz: -0.67, OX: -0.05
1746520396.2172859 N:   43, t: 28608682, dt: 77731, ENC_DEG: 52.56, REF:  0.00, VEL_RAW:  0.28, VEL_AVG: -0.11, I: -9.09, D:  0.04, VEL_OUT: -18.94, MS_MPC: 29509.22, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.37, gy: -0.24, gz: -0.67, OX:  0.08
1746520396.3109412 N:   44, t: 28629590, dt: 20908, ENC_DEG: 52.56, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -9.11, D:  0.10, VEL_OUT: -17.46, MS_MPC: 29509.22, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.24, gz: -0.61, OX: -0.02
1746520396.3169274 N:   45, t: 28649023, dt: 19433, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.00, I: -9.11, D:  0.02, VEL_OUT: -18.04, MS_MPC: 29510.13, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.12, gz: -0.12, OX:  0.02
1746520396.32291   N:   46, t: 28673510, dt: 24487, ENC_DEG: 52.65, REF:  0.00, VEL_RAW:  2.69, VEL_AVG:  0.22, I: -9.34, D: -0.22, VEL_OUT: -23.14, MS_MPC: 29512.84, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.24, gz:  0.06, OX: -0.02
1746520396.3288555 N:   47, t: 28690628, dt: 17118, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -3.85, VEL_AVG: -0.29, I: -9.63, D: -0.07, VEL_OUT: -22.84, MS_MPC: 29510.13, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.18, gz:  0.37, OX: -0.05
1746520396.3358505 N:   49, t: 28731464, dt: 22675, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  1.94, VEL_AVG: -0.06, I: -9.90, D:  0.16, VEL_OUT: -18.73, MS_MPC: 29511.94, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.37, gy:  0.12, gz:  0.12, OX:  0.03
1746520396.371744  N:   50, t: 28748392, dt: 16928, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -9.95, D:  0.00, VEL_OUT: -20.43, MS_MPC: 29511.94, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.55, gy: -0.43, gz: -0.61, OX: -0.00
1746520396.3777258 N:   51, t: 28769967, dt: 21575, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -10.13, D: -0.12, VEL_OUT: -23.19, MS_MPC: 29511.94, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.79, gz: -1.22, OX: -0.04
1746520396.4315846 N:   52, t: 28788233, dt: 18266, ENC_DEG: 52.60, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.17, I: -10.29, D:  0.01, VEL_OUT: -22.17, MS_MPC: 29511.04, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.31, gz: -0.24, OX: -0.01
1746520396.437566  N:   53, t: 28809034, dt: 20801, ENC_DEG: 52.58, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.25, I: -10.55, D: -0.09, VEL_OUT: -24.51, MS_MPC: 29510.13, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.06, gz:  0.73, OX:  0.01
1746520396.4435503 N:   54, t: 28827264, dt: 18230, ENC_DEG: 52.58, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -10.55, D:  0.25, VEL_OUT: -18.67, MS_MPC: 29510.13, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.31, gy:  0.00, gz:  0.85, OX:  0.05
1746520396.6084385 N:   55, t: 28850246, dt: 22982, ENC_DEG: 52.54, REF:  0.00, VEL_RAW: -1.91, VEL_AVG: -0.19, I: -10.74, D: -0.18, VEL_OUT: -25.19, MS_MPC: 29508.30, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.49, gz: -0.31, OX: -0.01
1746520396.6144226 N:   56, t: 28868730, dt: 18484, ENC_DEG: 52.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.19, I: -10.93, D:  0.00, VEL_OUT: -23.74, MS_MPC: 29508.30, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.61, gz: -0.37, OX:  0.02
1746520396.620409  N:   57, t: 28888952, dt: 20222, ENC_DEG: 52.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.28, I: -11.21, D: -0.09, VEL_OUT: -26.19, MS_MPC: 29508.30, ax:  0.01, ay:  0.01, az:  1.01, gx: -0.12, gy: -0.73, gz: -1.10, OX: -0.02
1746520396.6273892 N:   58, t: 28913238, dt: 24286, ENC_DEG: 52.63, REF:  0.00, VEL_RAW:  3.62, VEL_AVG: -0.21, I: -11.42, D:  0.08, VEL_OUT: -24.11, MS_MPC: 29511.94, ax:  0.01, ay:  0.00, az:  1.01, gx:  0.12, gy: -0.73, gz: -0.98, OX: -0.02
1746520396.6333895 N:   62, t: 28988957, dt: 16997, ENC_DEG: 52.56, REF:  0.00, VEL_RAW: -1.29, VEL_AVG: -0.36, I: -12.14, D: -0.11, VEL_OUT: -28.96, MS_MPC: 29509.22, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.06, gz:  0.43, OX:  0.07
1746520396.6722677 N:   63, t: 29047694, dt: 58737, ENC_DEG: 52.56, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.36, I: -12.50, D:  0.00, VEL_OUT: -28.60, MS_MPC: 29509.22, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.18, gz: -1.04, OX: -0.01
1746520396.7289252 N:   64, t: 29067841, dt: 20147, ENC_DEG: 52.60, REF:  0.00, VEL_RAW:  2.18, VEL_AVG: -0.08, I: -12.58, D:  0.28, VEL_OUT: -23.12, MS_MPC: 29511.04, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.37, gz: -0.67, OX: -0.08
