1746521158.4407337 N:    0, t: 24524120, dt: 24524120, ENC_DEG: 53.83, REF:  0.00, VEL_RAW:  2.20, VEL_AVG:  0.18, I: -0.18, D: -0.18, VEL_OUT: -4.02, MS_MPC: 29556.11, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.18, gz:  0.61, OX:  0.08
1746521158.4467149 N:    1, t: 24544432, dt: 20312, ENC_DEG: 53.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -0.37, D:  0.00, VEL_OUT: -2.56, MS_MPC: 29556.11, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.49, gy: -0.06, gz:  0.18, OX: -0.13
1746521158.4527354 N:    2, t: 24568757, dt: 24325, ENC_DEG: 53.81, REF:  0.00, VEL_RAW: -0.90, VEL_AVG:  0.11, I: -0.47, D:  0.08, VEL_OUT: -1.27, MS_MPC: 29555.40, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.61, gz:  0.37, OX: -0.13
1746521158.5001013 N:    3, t: 24585702, dt: 16945, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  3.88, VEL_AVG:  0.43, I: -0.90, D: -0.32, VEL_OUT: -9.36, MS_MPC: 29557.51, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.67, gz:  0.61, OX:  0.06
1746521158.5545535 N:    4, t: 24603929, dt: 18227, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.43, I: -1.34, D:  0.00, VEL_OUT: -6.99, MS_MPC: 29557.51, ax:  0.00, ay: -0.00, az:  0.99, gx: -0.06, gy: -0.61, gz:  0.61, OX:  0.03
1746521158.5605083 N:    5, t: 24624060, dt: 20131, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.61, I: -1.95, D: -0.18, VEL_OUT: -11.85, MS_MPC: 29558.88, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.37, gy: -0.37, gz:  0.67, OX:  0.04
1746521158.5664542 N:    6, t: 24643995, dt: 19935, ENC_DEG: 53.90, REF:  0.00, VEL_RAW: -1.10, VEL_AVG:  0.52, I: -2.47, D:  0.09, VEL_OUT: -9.24, MS_MPC: 29558.20, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.73, gy: -0.49, gz:  0.12, OX:  0.03
1746521158.5734391 N:    7, t: 24665076, dt: 21081, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -2.08, VEL_AVG:  0.35, I: -2.82, D:  0.17, VEL_OUT: -7.38, MS_MPC: 29556.80, ax: -0.00, ay: -0.00, az:  1.00, gx:  1.53, gy: -0.85, gz: -1.04, OX: -0.08
1746521158.5790908 N:    8, t: 24684028, dt: 18952, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  3.48, VEL_AVG:  0.64, I: -3.46, D: -0.29, VEL_OUT: -16.18, MS_MPC: 29558.88, ax: -0.00, ay: -0.01, az:  1.01, gx:  1.59, gy: -0.43, gz: -1.46, OX: -0.03
1746521158.5850885 N:    9, t: 24704353, dt: 20325, ENC_DEG: 53.88, REF:  0.00, VEL_RAW: -2.16, VEL_AVG:  0.46, I: -3.91, D:  0.18, VEL_OUT: -10.60, MS_MPC: 29557.51, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.98, gy: -0.24, gz: -1.59, OX: -0.03
1746521158.6197314 N:   10, t: 24725284, dt: 20931, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  2.10, VEL_AVG:  0.63, I: -4.55, D: -0.17, VEL_OUT: -17.16, MS_MPC: 29558.88, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.43, gy: -0.06, gz: -0.92, OX: -0.03
1746521158.6802788 N:   11, t: 24745426, dt: 20142, ENC_DEG: 53.90, REF:  0.00, VEL_RAW: -1.09, VEL_AVG:  0.54, I: -5.09, D:  0.09, VEL_OUT: -14.68, MS_MPC: 29558.20, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.43, gy: -0.06, gz:  0.06, OX:  0.01
1746521158.6872954 N:   12, t: 24769020, dt: 23594, ENC_DEG: 53.94, REF:  0.00, VEL_RAW:  1.86, VEL_AVG:  0.51, I: -5.60, D:  0.03, VEL_OUT: -16.06, MS_MPC: 29559.57, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.37, gy:  0.43, gz:  0.18, OX:  0.04
1746521158.734254  N:   13, t: 24785442, dt: 16422, ENC_DEG: 53.92, REF:  0.00, VEL_RAW: -1.34, VEL_AVG:  0.40, I: -6.00, D:  0.11, VEL_OUT: -14.91, MS_MPC: 29558.88, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.12, gy:  0.18, gz: -0.31, OX:  0.11
1746521158.7398813 N:   14, t: 24805760, dt: 20318, ENC_DEG: 53.88, REF:  0.00, VEL_RAW: -2.16, VEL_AVG:  0.30, I: -6.30, D:  0.10, VEL_OUT: -14.52, MS_MPC: 29557.51, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.06, gz: -0.92, OX:  0.03
1746521158.7458727 N:   15, t: 24826900, dt: 21140, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -6.33, D:  0.27, VEL_OUT: -10.21, MS_MPC: 29557.51, ax:  0.01, ay: -0.00, az:  0.99, gx: -0.37, gy: -0.92, gz: -1.53, OX: -0.06
1746521158.752055  N:   16, t: 24844978, dt: 18078, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.18, I: -6.50, D: -0.15, VEL_OUT: -16.26, MS_MPC: 29558.88, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.37, gy: -1.46, gz: -1.16, OX: -0.02
1746521158.759027  N:   17, t: 24866435, dt: 21457, ENC_DEG: 53.88, REF:  0.00, VEL_RAW: -2.05, VEL_AVG: -0.18, I: -6.68, D: -0.00, VEL_OUT: -15.13, MS_MPC: 29557.51, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy: -1.40, gz: -0.98, OX: -0.01
1746521158.7647371 N:   18, t: 24884637, dt: 18202, ENC_DEG: 53.97, REF:  0.00, VEL_RAW:  4.83, VEL_AVG:  0.32, I: -7.00, D: -0.14, VEL_OUT: -18.58, MS_MPC: 29560.25, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.06, gy: -1.46, gz: -1.04, OX:  0.01
1746521158.8550482 N:   19, t: 24904447, dt: 19810, ENC_DEG: 53.97, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.49, I: -7.49, D: -0.17, VEL_OUT: -21.63, MS_MPC: 29560.25, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.24, gy: -1.40, gz: -1.16, OX:  0.00
1746521158.8615603 N:   20, t: 24925764, dt: 21317, ENC_DEG: 53.92, REF:  0.00, VEL_RAW: -2.06, VEL_AVG:  0.03, I: -7.52, D:  0.46, VEL_OUT: -10.72, MS_MPC: 29558.88, ax:  0.02, ay: -0.01, az:  1.01, gx: -0.49, gy: -1.22, gz: -1.22, OX:  0.01
1746521158.8675117 N:   21, t: 24944278, dt: 18514, ENC_DEG: 53.94, REF:  0.00, VEL_RAW:  1.19, VEL_AVG:  0.31, I: -7.83, D: -0.28, VEL_OUT: -21.53, MS_MPC: 29559.57, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.61, gy: -1.16, gz: -0.67, OX: -0.03
1746521158.8734605 N:   22, t: 24964412, dt: 20134, ENC_DEG: 53.90, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.05, I: -7.87, D:  0.26, VEL_OUT: -13.62, MS_MPC: 29558.20, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.61, gy: -1.04, gz: -0.00, OX:  0.00
1746521158.9195814 N:   23, t: 24986735, dt: 22323, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  0.98, VEL_AVG:  0.12, I: -8.00, D: -0.08, VEL_OUT: -18.02, MS_MPC: 29558.88, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.31, gy:  0.00, gz:  0.73, OX: -0.04
1746521158.9253182 N:   24, t: 25005772, dt: 19037, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -8.03, D:  0.09, VEL_OUT: -15.42, MS_MPC: 29558.88, ax:  0.01, ay: -0.01, az:  1.02, gx: -0.18, gy:  0.31, gz:  0.43, OX:  0.01
1746521158.9316206 N:   25, t: 25024021, dt: 18249, ENC_DEG: 53.97, REF:  0.00, VEL_RAW:  2.41, VEL_AVG:  0.28, I: -8.31, D: -0.25, VEL_OUT: -21.96, MS_MPC: 29560.25, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.24, gy:  0.79, gz:  0.43, OX: -0.02
1746521158.9383082 N:   26, t: 25049409, dt: 25388, ENC_DEG: 53.92, REF:  0.00, VEL_RAW: -1.73, VEL_AVG:  0.32, I: -8.63, D: -0.04, VEL_OUT: -20.80, MS_MPC: 29558.88, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy:  1.46, gz:  1.53, OX:  0.19
1746521158.9796667 N:   27, t: 25066938, dt: 17529, ENC_DEG: 53.88, REF:  0.00, VEL_RAW: -2.51, VEL_AVG:  0.11, I: -8.74, D:  0.21, VEL_OUT: -16.48, MS_MPC: 29557.51, ax:  0.02, ay:  0.00, az:  0.99, gx:  0.49, gy:  1.83, gz:  2.08, OX:  0.04
1746521158.9856324 N:   28, t: 25085323, dt: 18385, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.01, I: -8.74, D:  0.10, VEL_OUT: -16.52, MS_MPC: 29558.20, ax:  0.01, ay:  0.02, az:  0.99, gx:  1.40, gy:  2.44, gz:  2.50, OX:  0.16
1746521158.991615  N:   29, t: 25104365, dt: 19042, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -8.92, D: -0.17, VEL_OUT: -21.32, MS_MPC: 29558.20, ax:  0.01, ay:  0.02, az:  0.99, gx:  1.77, gy:  2.08, gz:  1.71, OX: -0.02
1746521159.0397146 N:   30, t: 25125153, dt: 20788, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -9.15, D: -0.05, VEL_OUT: -21.04, MS_MPC: 29558.20, ax:  0.00, ay:  0.01, az:  1.00, gx:  1.77, gy:  1.59, gz:  0.37, OX: -0.04
1746521159.0456953 N:   31, t: 25145362, dt: 20209, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -9.37, D:  0.00, VEL_OUT: -21.00, MS_MPC: 29558.20, ax:  0.00, ay:  0.00, az:  1.00, gx:  1.34, gy:  0.55, gz: -1.16, OX: -0.04
1746521159.09877   N:   32, t: 25164342, dt: 18980, ENC_DEG: 53.90, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -9.43, D:  0.17, VEL_OUT: -17.67, MS_MPC: 29558.20, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.98, gy: -0.06, gz: -1.40, OX:  0.01
1746521159.1054971 N:   33, t: 25189000, dt: 24658, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -1.78, VEL_AVG: -0.30, I: -9.73, D: -0.25, VEL_OUT: -24.94, MS_MPC: 29556.80, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.55, gy: -0.31, gz: -1.53, OX:  0.01
1746521159.110549  N:   34, t: 25206355, dt: 17355, ENC_DEG: 53.94, REF:  0.00, VEL_RAW:  5.06, VEL_AVG:  0.30, I: -10.03, D: -0.00, VEL_OUT: -23.10, MS_MPC: 29559.57, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.85, gz: -2.01, OX: -0.01
1746521159.1175134 N:   35, t: 25225299, dt: 18944, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -4.64, VEL_AVG: -0.17, I: -10.20, D:  0.14, VEL_OUT: -20.69, MS_MPC: 29556.80, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.67, gy: -1.40, gz: -2.44, OX: -0.10
1746521159.1594157 N:   36, t: 25247665, dt: 22366, ENC_DEG: 53.86, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -10.36, D:  0.00, VEL_OUT: -22.38, MS_MPC: 29556.80, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.10, gy: -1.89, gz: -2.44, OX: -0.04
1746521159.165494  N:   37, t: 25264987, dt: 17322, ENC_DEG: 53.92, REF:  0.00, VEL_RAW:  3.81, VEL_AVG: -0.05, I: -10.41, D:  0.12, VEL_OUT: -20.15, MS_MPC: 29558.88, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.04, gy: -1.77, gz: -1.95, OX:  0.00
1746521159.171514  N:   38, t: 25284269, dt: 19282, ENC_DEG: 53.86, REF:  0.00, VEL_RAW: -3.42, VEL_AVG: -0.19, I: -10.60, D: -0.14, VEL_OUT: -24.51, MS_MPC: 29556.80, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.61, gy: -1.65, gz: -2.01, OX: -0.03
1746521159.2213929 N:   39, t: 25305679, dt: 21410, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.10, I: -10.71, D:  0.09, VEL_OUT: -21.60, MS_MPC: 29557.51, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.55, gy: -1.53, gz: -1.89, OX:  0.01
1746521159.2769551 N:   40, t: 25328904, dt: 23225, ENC_DEG: 53.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.00, I: -10.71, D:  0.10, VEL_OUT: -20.47, MS_MPC: 29557.51, ax:  0.01, ay: -0.02, az:  1.01, gx: -0.18, gy: -1.22, gz: -1.40, OX: -0.05
